document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/introduction/accessing_and_using_anti-ddos/how_to_access_anti-ddos.rst,How to Access Anti-DDoS,en-us_image_0237050217.png,icon,pass,0.83,"The image is a small blue location-pin / map-marker symbol, i.e., an isolated UI icon rather than a full screenshot. | The RST references this image as the control to click in the upper-left corner of the management console to select region and project, which matches a location/region selector icon. | The icon is semantically consistent with the 'Management console' access flow described in the document. | No visible interactive button or control is rendered in the image itself, only a symbolic pictogram.","No text or label on the icon to explicitly confirm its function as the region/project selector. | The image is low-resolution and blurry, so fine details of the icon are unclear."
umn/source/introduction/accessing_and_using_anti-ddos/how_to_use_anti-ddos.rst,How to Use Anti-DDoS,en-us_image_0258870399.png,screenshot,pass,1.00,"Image shows a 'Set Default Protection Policy' dialog matching Figure 1 caption in the RST | Dialog contains Traffic Cleaning Threshold, CC Defense, and HTTP Request Threshold fields consistent with setting a default protection policy | The RST describes clicking 'Set Default Protection Policy' on the Public IP Addresses tab, and this dialog is the resulting UI | OK and Cancel buttons are visible as interactive controls","The surrounding page context (Public IP Addresses tab) is not visible, only the modal dialog is shown"
umn/source/introduction/accessing_and_using_anti-ddos/how_to_use_anti-ddos.rst,How to Use Anti-DDoS,en-us_image_0258875446.png,screenshot,pass,1.00,"Image shows a 'Set Protection' dialog with Protection Settings in Default mode, matching Figure 2 caption | The highlighted values (UDP 300 Mbps, TCP 90,000 pps) exactly match the thresholds stated in the RST note | CC Defense is shown as Disabled, consistent with default protection settings description | The RST explicitly references this figure for the default protection settings applied to new IP addresses","The full page context is not visible, only the modal dialog is shown | The public IP address is partially redacted"
umn/source/introduction/accessing_and_using_anti-ddos/related_services.rst,Related Services,en-us_image_0237050217.png,icon,pass,0.90,"The image is a blue location pin icon, consistent with a region/project selector in a management console. | The RST step 2 states 'Click |image1| in the upper left corner to select a region or project,' which matches the location pin icon. | The icon is directly referenced in the CTS section of the Related Services document. | The visual clearly shows a location/marker pin symbol appropriate for region selection.","The image is small and slightly blurry, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper left corner of a console."
umn/source/introduction/accessing_and_using_anti-ddos/related_services.rst,Related Services,en-us_image_0204851462.png,icon,pass,0.90,"The image is a small downward-pointing chevron (v-shape), a standard UI expand/collapse indicator. | The RST step 6 states 'Click |image2| on the left of the record to be queried to extend its details,' which matches an expand chevron. | The icon is directly referenced in the CTS section of the Related Services document. | The visual clearly shows a downward chevron consistent with expanding a record's details.",The image is very small and slightly blurry. | No surrounding table or record context is visible to confirm placement on the left of a record.
umn/source/introduction/application_scenarios.rst,Application Scenarios,en-us_image_0204851523.png,other,pass,1.00,"The image is a network topology diagram matching the RST's 'Figure 1 Network topology' reference. | It shows Internet, Data center, Anti-DDoS, Cleaning center, Detection center, and IP addresses, consistent with the described deployment at data center egresses. | The legend (Detection flow, Normal traffic, Abnormal traffic, Unprotected traffic) aligns with the RST's description of detection, diversion, cleaning, and forwarding. | No interactive UI controls are present; it is a static schematic diagram.","The diagram does not explicitly label EIPs, though IP address 1/2 are shown. | No explicit 'egress' label is visible, though the topology implies it."
umn/source/operation_guide/adjusting_security_settings.rst,Adjusting Security Settings,en-us_image_0217719114.png,screenshot,pass,1.00,"Image shows a Public IP Addresses table with columns matching the RST description: Public IP Addresses, Protection Status, Protection Settings, Operation | The 'Set Protection' button is highlighted in the Operation column, exactly as described in step 4 | Two IP address rows are visible with their protection settings (Traffic Cleaning Threshold, CC Defense, HTTP Request Threshold) | The table structure and content align perfectly with the figure caption 'Public IP address list'",
umn/source/operation_guide/adjusting_security_settings.rst,Adjusting Security Settings,en-us_image_0248191753.png,screenshot,pass,1.00,"Image shows the 'Set Protection' dialog box as described in step 5 | All parameters from Table 1 are visible: Protection Settings (Default/Manual), Traffic Cleaning Threshold, CC Defense (Enable/Disable), HTTP Request Threshold | The dialog shows Manual selected for Protection Settings, Enable for CC Defense, matching the RST description of manual configuration | OK and Cancel buttons are present at the bottom of the dialog",
umn/source/operation_guide/adjusting_security_settings.rst,Adjusting Security Settings,en-us_image_0237050217.png,icon,pass,0.88,"Image is a small blue location pin icon, consistent with a region/project selector in the upper left corner as described in step 2 | The icon is used as |image1| in the RST for clicking to select region or project | A location pin is a standard UI symbol for geographic/region selection | The icon is very blurry and low resolution, making fine details hard to discern",The icon is too blurry to confirm exact design details | No surrounding UI context is visible to confirm it is in the upper left corner of a console
umn/source/operation_guide/enabling_alarm_notification.rst,Enabling Alarm Notification,en-us_image_0217501082.png,screenshot,pass,1.00,"Screenshot shows the Alarm Notifications tab in the Security Console, matching Figure 1 in the RST | Displays all elements described: Alarm Notifications toggle, SMN Topic dropdown, View Topic link, Apply button | The warning message about junk information and the note about 'Confirmed' status are visible | Directly corresponds to step 4 of the procedure",
