document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/introduction/accessing_and_using_anti-ddos/how_to_access_anti-ddos.rst,How to Access Anti-DDoS,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/introduction/accessing_and_using_anti-ddos/how_to_use_anti-ddos.rst,How to Use Anti-DDoS,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/introduction/accessing_and_using_anti-ddos/related_services.rst,Related Services,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/introduction/application_scenarios.rst,Application Scenarios,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/operation_guide/adjusting_security_settings.rst,Adjusting Security Settings,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/operation_guide/enabling_alarm_notification.rst,Enabling Alarm Notification,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/operation_guide/enabling_anti-ddos.rst,Enabling Anti-DDoS,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/operation_guide/setting_a_default_protection_policy_for_newly_purchased_public_ip_addresses.rst,Setting a Default Protection Policy for Newly Purchased Public IP Addresses,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/operation_guide/viewing_a_monitoring_report.rst,Viewing a Monitoring Report,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/operation_guide/viewing_an_interception_report.rst,Viewing an Interception Report,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
