document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start.rst,Before You Start,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000002120347354.png,figure,49,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000002155592541.png,figure,33,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000002120352414.png,figure,61,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000002120194306.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000002155714161.png,figure,73,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000002155592549.png,figure,25,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/api_management/cors.rst,CORS,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001176135930.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/api_management/cors.rst,CORS,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001538755042.png,figure,72,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The image is a UI form screenshot showing URL, Method, Protocol, Subdomain Name, and Path fields, matching Figure 2 'Defining the API request'. | Method dropdown shows OPTIONS and Path shows '/', consistent with the RST instructions for the preflight OPTIONS API. | Red highlight boxes emphasize the Method, Protocol, and Path fields, aligning with the step-by-step configuration described in the document. | The screenshot belongs to the 'Configuring CORS' / Not-So-Simple Request section, so it is topically and sectionally relevant.","The Method dropdown value is truncated ('OPTIO...') and the Subdomain Name value is partially cut off, so full values are not fully visible. | No explicit label 'Figure 2' is visible within the image itself; the caption is provided only in the RST."
umn/source/api_management/creating_an_environment_variable.rst,Creating an Environment Variable,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001178542512.png,figure,15,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/api_policies/custom_authorizers.rst,Custom Authorizers,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001176294490.png,figure,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/api_policies/request_throttling_2.0.rst,Request Throttling 2.0,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001270381908.png,substitution_image,199,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small pencil/edit pictogram, matching the inline reference |image1| used in the Rules row of the Parameter Description table. | The RST states 'Click |image1| to set condition expressions', and a pencil icon is a conventional symbol for an edit/click action, so the icon semantically fits the described interaction. | The icon is placed within the Request Throttling 2.0 parameter documentation, which is the correct section for configuring throttling rules. | The visual content (a pencil with an underline) is clearly legible and unambiguous as an edit icon.","The image is an isolated icon without surrounding UI context, so the exact button label or target panel it opens is not visible. | No screenshot of the actual condition-expression editor is provided to confirm the icon's destination."
umn/source/api_policies/signature_keys.rst,Signature Keys,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001228425421.png,figure,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/api_policies/ssl_certificates.rst,SSL Certificates,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001475355676.png,substitution_image,110,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/api_policies/ssl_certificates.rst,SSL Certificates,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001485758705.png,substitution_image,111,other,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a sequence diagram titled 'Two-way authentication' showing Caller (Client) and APIG (Server) exchanging SSL handshake steps. | Directly matches the RST bullet 'Two-way authentication: ... a client verifies the server and the server also verifies the client.' | Steps 3 and 5 depict mutual certificate verification, consistent with the two-way authentication description. | Image is referenced as |image2| immediately under the two-way authentication bullet, so placement is correct. | No interactive UI controls are present; it is a static explanatory diagram.","Diagram does not explicitly label PEM format or RSA/ECDSA/DSA algorithms mentioned in prerequisites, but those are not required for this illustration."
umn/source/api_policies/third-party_authorizer.rst,Third-Party Authorizer,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001560598294.png,substitution_image,158,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
