document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/api_management/cors.rst,CORS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_management/creating_an_api.rst,Creating an API,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_management/creating_an_environment_variable.rst,Creating an Environment Variable,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_policies/circuit_breaker.rst,Circuit Breaker,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_policies/custom_authorizers.rst,Custom Authorizers,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_policies/load_balance_channels.rst,Load Balance Channels,,,,,,,,,,,,,,,fail,backend_error,,,2,,
umn/source/api_policies/request_throttling_2.0.rst,Request Throttling 2.0,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_policies/signature_keys.rst,Signature Keys,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_policies/ssl_certificates.rst,SSL Certificates,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/api_policies/third-party_authorizer.rst,Third-Party Authorizer,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/auditing/querying_real-time_traces.rst,Querying Real-Time Traces,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/api_calling/can_applications_deployed_in_a_vpc_call_apis.rst,Can Applications Deployed in a VPC Call APIs?,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/faqs/other_faqs/how_can_i_use_apig.rst,How Can I Use APIG?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/gateway_management/managing_tags.rst,Managing Tags,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/gateway_management/managing_vpc_endpoints.rst,Managing VPC Endpoints,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/gateway_management/viewing_or_modifying_gateway_information.rst,Viewing or Modifying Gateway Information,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/calling_apis/calling_an_api.rst,Calling an API,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/calling_apis/process_flow.rst,Process Flow,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/opening_apis/process_flow.rst,Process Flow,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/monitoring_and_analysis/log_analysis.rst,Log Analysis,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/permissions_management/creating_a_user_and_granting_apig_permissions.rst,Creating a User and Granting APIG Permissions,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001221455679.png,figure,42,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,The image is a flowchart that directly illustrates the 'Process Flow' section described in the RST. | The sequence of steps in the diagram matches the numbered list in the document exactly. | No contradictions are present between the image and the text.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0168722756.png,substitution_image,29,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram illustrates internal system decoupling by showing multiple services registering APIs with APIG. | Matches the 'Internal System Decoupling' section text.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0168722761.png,substitution_image,30,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram shows API providers exposing services and data to API callers. | Aligns with the 'Enterprise Capabilities Opening' section describing partner ecosystem building.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0168722767.png,substitution_image,31,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Diagram explicitly depicts FunctionGraph services being registered and called via APIG. | Directly supports the 'FunctionGraph Services Opening' section.,
umn/source/service_overview/what_is_apig.rst,What Is APIG?,/home/ubuntu/repotesting/api-gateway/umn/source/_static/images/en-us_image_0000001239189917.png,figure,14,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is an architecture diagram that matches the figure caption 'APIG architecture' in the RST. | The diagram illustrates the relationship between API providers, APIG features, and API callers, which aligns with the document's description of APIG as a hosting service. | Key features shown in the diagram (e.g., VPC channels, Request throttling, Monitoring and alarms, Authentication) correspond to the 'Product Functions' listed in the text. | The visual evidence clearly supports the topic of APIG architecture and its components.",
