document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
doc/guidelines/source/calling_apis/ak_sk_authentication/index.rst,AK/SK Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/guidelines/source/calling_apis/ak_sk_authentication/index.rst,AK/SK Authentication,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0161965716.png,figure,38,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/ak_sk_authentication/sample_code.rst,Sample Code,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/guidelines/source/calling_apis/ak_sk_authentication/sample_code.rst,Sample Code,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0132432937.png,figure,33,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/ak_sk_authentication/sample_code.rst,Sample Code,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0132432939.png,figure,39,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/ak_sk_authentication/sample_code.rst,Sample Code,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0132518357.png,figure,45,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/ak_sk_authentication/signing_a_request.rst,Signing a Request,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/guidelines/source/calling_apis/ak_sk_authentication/signing_a_request.rst,Signing a Request,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0132557229.png,substitution_image,32,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/obtaining_required_information.rst,Obtaining Required Information,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/guidelines/source/calling_apis/obtaining_required_information.rst,Obtaining Required Information,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0132451568.jpg,figure,70,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/obtaining_required_information.rst,Obtaining Required Information,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0132453772.png,figure,91,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/token_authentication.rst,Token Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/guidelines/source/calling_apis/token_authentication.rst,Token Authentication,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0139098594.png,figure,96,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/guidelines/source/calling_apis/token_authentication.rst,Token Authentication,/home/ubuntu/repotesting/api-usage/umn/source/_static/images/en-us_image_0139099203.png,figure,102,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
