document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/alarm_monitoring/configuring_aom_alarm_rules/creating_aom_alarm_rules_in_batches.rst,Creating AOM Alarm Rules in Batches,,,,,,,,,,,,,,,warning,,API response did not contain valid parsed JSON.,,200,length,1,,
umn/source/connecting_to_aom/managing_collector_base_uniagent/viewing_operation_logs.rst,Viewing Operation Logs,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002337031080.png,substitution_image,60,icon,False,False,False,,2,3,2,2,3,0.78,partial,,,,200,stop,1,"The image is a small diamond-shaped icon with a horizontal line, consistent with a sort indicator. | The RST references this icon (|image6|) in the 'Other Operations' table for 'Sorting tasks'. | The diamond shape is a common visual representation for sort order in table headers. | It is a supporting UI symbol for the Operation Logs page.","The icon is very small and low-resolution, making it slightly ambiguous whether it represents ascending/descending sort or a generic sort toggle."
umn/source/faqs/collection_management/why_cannot_the_installation_script_be_downloaded_when_i_try_to_install_uniagent_on_a_cloud_server.rst,Why Cannot the Installation Script Be Downloaded When I Try to Install UniAgent on a Cloud Server?,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002371028873.png,substitution_image,105,icon,True,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small pencil/edit icon representing a clickable button in the management console UI | Referenced in the RST as |image1| in the step to click following 'DNS Server Address' in the Gateway and DNS Information area | The icon is a generic edit symbol, not specific to the AOM/UniAgent context but appropriate for the UI action described | No contradiction with the document; it serves as a visual cue for the user to click the edit control","The icon is very small and low-resolution, making it difficult to confirm exact UI context | No surrounding UI elements visible to confirm it belongs to the specific 'Gateway and DNS Information' area"
umn/source/faqs/dashboard/can_i_import_grafana_views_to_aom_dashboards.rst,Can I Import Grafana Views to AOM Dashboards?,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002371028841.png,substitution_image,38,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"The image is a small isolated UI symbol (a pin/bell-like glyph), matching the |image1| reference in step 6 of the procedure. | It corresponds to the button clicked in the upper right corner of the metric list to add a metric to a dashboard, consistent with the AOM dashboard import workflow. | No full application interface is visible, so it is classified as an icon rather than a screenshot. | No contradiction between the icon and the surrounding RST text.","The image is low-resolution and pixelated, making the exact glyph hard to confirm. | No surrounding UI context is shown to verify it is specifically the 'Add to Dashboard' button."
umn/source/infrastructure_monitoring/monitoring_processes_using_aom/configuring_aom_application_discovery_rules.rst,Configuring AOM Application Discovery Rules,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002337030788.png,substitution_image,194,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small pencil/edit icon, a standard UI symbol for renaming or editing. | The RST references this icon in step 6c: 'click |image1| in the Preview Component Name table to rename the component,' which aligns with the edit/pencil meaning. | The icon is generic and not specific to AOM or the application discovery feature, but it is correctly placed in the configuration workflow context. | No contradiction between the icon's meaning (edit/rename) and the RST description of its use.",The icon is a generic pencil symbol with no AOM-specific branding or labeling. | No surrounding UI context is visible to confirm it appears in the Preview Component Name table.
umn/source/new_connecting_to_aom/managing_collector_base_uniagent/installing_uniagents.rst,Installing UniAgents,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002337031932.png,substitution_image,251,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"The image shows a gear-like or flower-shaped icon with a center circle, commonly used for settings or column customization. | The RST states: 'Click |image3| in the upper right corner of the host list to select the columns to display.' | The icon is in the Other Operations section under 'Customizing columns to display.' | The icon is somewhat blurry, making it harder to confirm it is specifically a column-customization icon versus a general settings icon.",The icon is low-resolution and slightly ambiguous; it could be interpreted as a settings gear rather than a column-customization icon.
umn/source/new_connecting_to_aom/managing_collector_base_uniagent/installing_uniagents.rst,Installing UniAgents,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002336872196.png,substitution_image,253,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"The image shows a small diamond or arrow-like icon, which could represent a sort indicator. | The RST states: 'In the table heading of the host list, click |image5| next to UniAgent Heartbeat Time to sort hosts.' | The icon is in the Other Operations section under 'Sorting hosts.' | The icon is low-resolution and somewhat ambiguous; it could be a sort arrow or a diamond-shaped indicator.",The icon is low-resolution and the exact shape (sort arrow vs. diamond) is not entirely clear.
umn/source/new_connecting_to_aom/managing_collector_base_uniagent/new_installing_uniagents.rst,(New) Installing UniAgents,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002370949109.png,substitution_image,274,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gear/cog icon representing a settings or column-customization control. | It is referenced in the RST as |image1| for 'select or deselect columns to display' in the Add Server dialog. | The icon is consistent with a column-configuration button in a table UI. | It is a standalone symbolic graphic, not a full screenshot.",No surrounding UI context is visible; only the isolated icon is shown. | The exact label or tooltip for the button is not visible.
umn/source/new_connecting_to_aom/managing_collector_base_uniagent/new_installing_uniagents.rst,(New) Installing UniAgents,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002371029225.png,substitution_image,275,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a circular arrow (refresh) icon with orange and blue coloring. | It is referenced in the RST as |image2| for 'manually refresh the server list'. | The circular arrow is a standard refresh/reload symbol in UI design. | It is a standalone symbolic graphic, not a full screenshot.",No surrounding UI context is visible; only the isolated icon is shown. | The exact label or tooltip for the button is not visible.
umn/source/new_connecting_to_aom/managing_collector_base_uniagent/new_installing_uniagents.rst,(New) Installing UniAgents,/home/ubuntu/repotesting/application-operations-management-2/umn/source/_static/images/en-us_image_0000002371029237.png,substitution_image,276,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gear/cog icon, visually identical to image1. | It is referenced in the RST as |image3| for 'select or deselect columns to display' in the Check Transition Host page. | The icon is consistent with a column-configuration button in a table UI. | It is a standalone symbolic graphic, not a full screenshot.",No surrounding UI context is visible; only the isolated icon is shown. | The exact label or tooltip for the button is not visible.
