document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/alarm_management/alarm_noise_reduction/creating_a_grouping_rule.rst,Creating a Grouping Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001404765705.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/alarm_management/alarm_noise_reduction/creating_a_grouping_rule.rst,Creating a Grouping Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001412095554.png,figure,30,screenshot,True,False,False,,3,3,3,3,2,0.95,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is a UI screenshot of the 'Creating a grouping rule' form, matching Figure 2 in the RST. | All parameters from Table 1 are visible: Rule Name, Description, Grouping Condition (Alarm Severity = Critical), Combine Notifications, Initial Wait Time, Batch Processing Interval, Repeat Interval. | The grouping condition example (Alarm Severity = Critical) matches the RST description exactly. | The image is placed in step 2 of the 'Creating a Grouping Rule' procedure, which is the correct section. | Minor discrepancy: RST states Repeat Interval range as '0 minutes to 15 days' but the image shows 'Range: 1 min to 15 days'.",The 'Create Now' button mentioned in step 3 is not visible in the screenshot (likely below the visible area).
umn/source/alarm_management/alarm_noise_reduction/creating_a_grouping_rule.rst,Creating a Grouping Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001261759895.png,substitution_image,101,icon,False,False,False,,3,2,3,2,3,0.88,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"The image is a small magnifying glass (search) icon, referenced as |image1| in Table 2 for the 'Searching for a grouping rule' operation. | The RST instructs users to 'click' this icon in the search box, and the magnifying glass is the standard search icon. | It is correctly placed in the 'More Operations' section under the search operation row. | The icon is low-resolution and small, making fine detail hard to assess, but it is clearly a search/magnifying glass symbol.","The icon is very small and slightly blurry, making it difficult to confirm exact styling or whether it includes any additional elements."
umn/source/alarm_management/alarm_noise_reduction/overview.rst,Overview,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001353985836.png,figure,15,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/connecting_resources_to_aom/configuring_vm_log_collection_paths.rst,Configuring VM Log Collection Paths,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0263893495.png,substitution_image,99,icon,True,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Small document-with-arrow glyph used as the add-path button in the Operation column (|image1|/|image2|). | Matches the RST instruction to click this icon to add a path to the log collection list. | Isolated UI symbol, not a full interface.",No label or tooltip visible to confirm exact function beyond context.
umn/source/connecting_resources_to_aom/configuring_vm_log_collection_paths.rst,Configuring VM Log Collection Paths,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0263893507.png,substitution_image,100,icon,True,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Small document-with-magnifying-glass glyph used as the view-configured-paths button (|image3|). | Matches the RST step to click this icon in the Log Collection Path column to view configured paths. | Isolated UI symbol, not a full interface.",No label or tooltip visible to confirm exact function beyond context.
umn/source/getting_started/process_of_using_aom.rst,Process of Using AOM,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001199786128.png,figure,11,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/permissions_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0263893658.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/resource_monitoring/component_monitoring.rst,Component Monitoring,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001163172426.png,substitution_image,72,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small grid-of-four-squares icon, consistent with a UI options/filter control. | The RST references this icon as the control to click in the upper right corner to select 'Hide system component'. | The icon is a generic options symbol; it does not explicitly depict a 'hide system component' action but is plausible as a settings/filter toggle. | No contradiction between the icon and the described action.",The icon is generic and does not visually indicate the specific 'Hide system component' function. | No label or tooltip is visible in the image to confirm the exact function.
umn/source/resource_monitoring/component_monitoring.rst,Component Monitoring,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001163172776.png,substitution_image,73,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,The image is identical to image1: a grid-of-four-squares icon used as a UI control. | The RST references this icon in the context of selecting or deselecting 'Hide system component' for tags. | The icon is a generic options symbol; it does not explicitly depict the tag-related action. | No contradiction between the icon and the described action.,The icon is generic and does not visually indicate the specific 'Hide system component' tag filter function. | No label or tooltip is visible in the image to confirm the exact function.
