document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/alarm_management/alarm_noise_reduction/creating_a_grouping_rule.rst,Creating a Grouping Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001404765705.png,figure,14,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Flowchart illustrating the alarm grouping process described in the text. | Shows filtering by severity, combining by source, and triggering an action rule.",
umn/source/alarm_management/alarm_noise_reduction/creating_a_grouping_rule.rst,Creating a Grouping Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001412095554.png,figure,30,screenshot,True,False,True,Interactive buttons are not magenta or plain white.,3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot for creating a grouping rule matches the text description. | Fails mandatory color rule for interactive buttons.,
umn/source/alarm_management/alarm_noise_reduction/creating_a_grouping_rule.rst,Creating a Grouping Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001261759895.png,substitution_image,101,icon,False,False,False,,3,3,3,2,3,0.95,pass,,200,completed,1,"Magnifying glass icon used for searching, as described in Table 2.",
umn/source/alarm_management/alarm_noise_reduction/creating_a_silence_rule.rst,Creating a Silence Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001472254649.png,figure,21,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a screenshot of the 'Creating a Silence Rule' UI form. | It clearly displays the parameters described in the text, such as Rule Name, Silence Condition, and Silence Time. | The 'Fixed time' button is magenta, satisfying the interactive button color rule.",
umn/source/alarm_management/alarm_noise_reduction/creating_a_silence_rule.rst,Creating a Silence Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001261759905.png,substitution_image,71,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,The image shows a magnifying glass icon. | It corresponds to the search icon referenced in Table 2 for searching silence rules.,The image is an isolated icon and does not show the surrounding search box or UI context.
umn/source/alarm_management/alarm_rules/creating_a_static_threshold_template.rst,Creating a Static Threshold Template,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/alarm_management/alarm_rules/creating_a_threshold_rule.rst,Creating a Threshold Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001462529481.png,figure,94,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches Figure 1 in the documentation. | Shows the 'Custom' tab and alarm condition parameters as described in the text.,None.
umn/source/alarm_management/alarm_rules/creating_a_threshold_rule.rst,Creating a Threshold Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001411933048.png,figure,111,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches Figure 2 in the documentation. | Illustrates the 'Direct Alarm Reporting' mode selection with action rule and notification toggles.,None.
umn/source/alarm_management/alarm_rules/creating_a_threshold_rule.rst,Creating a Threshold Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001413081586.png,figure,204,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches Figure 3 in the documentation. | Illustrates the 'Alarm Noise Reduction' mode selection with grouping rule.,None.
umn/source/alarm_management/alarm_rules/creating_a_threshold_rule.rst,Creating a Threshold Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001582213732.png,figure,214,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches Figure 4 in the documentation. | Shows the created threshold rule in the list with operation buttons and expanded resource details.,None.
