document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/alarm_management/alarm_noise_reduction/creating_a_grouping_rule.rst,Creating a Grouping Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001412095554.png,figure,30,screenshot,True,False,True,Interactive buttons are not magenta or plain white.,3,3,3,3,3,1.00,fail,,200,completed,1,UI screenshot for creating a grouping rule matches the text description. | Fails mandatory color rule for interactive buttons.,
umn/source/alarm_management/alarm_rules/creating_a_static_threshold_template.rst,Creating a Static Threshold Template,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/alarm_management/alarm_rules/creating_an_event_alarm_rule.rst,Creating an Event Alarm Rule,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001462896701.png,figure,84,screenshot,True,False,True,"Interactive controls (dropdowns, links) are blue, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Matches the final created event alarm rule list view. | Shows the 'AOM_services' rule with status 'Enabled' and 'Started', along with operation links.",
umn/source/configuration_management/log_configuration/setting_log_collection.rst,Setting Log Collection,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001462420845.png,figure,20,screenshot,True,False,True,"Interactive toggle switch is blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,The image shows the Log Collection toggle switch as described in the documentation.,
umn/source/connecting_resources_to_aom/configuring_vm_log_collection_paths.rst,Configuring VM Log Collection Paths,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001410647264.png,figure,43,screenshot,True,False,True,"Interactive buttons/icons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,2,Screenshot shows the UI for automatically identified log paths. | Matches the RST description for configuring paths using the ICAgent.,
umn/source/connecting_resources_to_aom/configuring_vm_log_collection_paths.rst,Configuring VM Log Collection Paths,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001410327528.png,figure,53,screenshot,True,False,True,"Interactive buttons/icons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,2,Screenshot shows the UI for manually configuring log collection paths. | Matches the RST description for entering paths manually.,
umn/source/connecting_resources_to_aom/configuring_vm_log_collection_paths.rst,Configuring VM Log Collection Paths,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001412205042.png,figure,72,screenshot,True,False,True,"Interactive buttons/icons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,2,Screenshot shows the batch configuration interface for log collection paths. | Matches the RST description for configuring paths for multiple VMs.,
umn/source/log_management/viewing_bucket_logs.rst,Viewing Bucket Logs,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001479298177.png,figure,49,screenshot,True,False,True,"Interactive buttons (links) are blue, and no magenta elements are present in the UI.",3,3,3,3,3,1.00,fail,,200,completed,1,Screenshot displays the log details list table as described in the section. | Contains interactive links that do not follow the required magenta or plain white color scheme. | No other magenta buttons or text are visible to satisfy the hard-fail exception.,
umn/source/monitoring_overview/dashboard.rst,Dashboard,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001411325438.png,figure,22,screenshot,True,False,True,"Contains interactive dropdown 'Operation' which is blue, not magenta or plain white, and no other magenta buttons or text are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,Screenshot displays a line graph matching the 'Metric Data Graphs' section description. | Visual content aligns with Figure 1 reference in the RST.,
umn/source/monitoring_overview/dashboard.rst,Dashboard,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001461164845.png,figure,32,screenshot,True,False,True,"Contains interactive dropdown 'Operation' which is blue, not magenta or plain white, and no other magenta buttons or text are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,"Screenshot displays a digit graph showing a single real-time metric value, matching the 'Digit graph' description. | Visual content aligns with Figure 2 reference in the RST.",
umn/source/monitoring_overview/dashboard.rst,Dashboard,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001411006006.png,figure,45,screenshot,True,False,True,"Contains interactive dropdown 'Operation' which is blue, not magenta or plain white, and no other magenta buttons or text are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,"Screenshot displays a table showing threshold rules and their statuses (e.g., Exceeded, Insufficient), matching the 'Threshold-crossing status graph' description. | Visual content aligns with Figure 3 reference in the RST.",
umn/source/monitoring_overview/dashboard.rst,Dashboard,/home/ubuntu/repotesting/application-operations-management/umn/source/_static/images/en-us_image_0000001461046213.png,figure,57,screenshot,True,False,True,"Contains interactive dropdown 'Operation' which is blue, not magenta or plain white, and no other magenta buttons or text are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,"Screenshot displays a table showing host names and their health statuses (Normal, Abnormal), matching the 'Host status graph' description. | Visual content aligns with Figure 4 reference in the RST.",
