document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/alarm_management/alarm_policies/configuring_an_alarm_template.rst,Configuring an Alarm Template,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001542018454.png,substitution_image,193,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), used as |image1| in step 2. | The RST references clicking this icon on the left to navigate to Application Performance Management. | The icon is a standard navigation symbol, not a detailed UI screenshot.",The icon alone does not show the full navigation context described in step 2.
umn/source/alarm_management/alarm_policies/configuring_an_alarm_template.rst,Configuring an Alarm Template,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001517956762.png,substitution_image,196,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a small link/chain icon, used as |image4| in the notification content description. | The RST states to click this icon next to the target metric to add it to notification content. | The icon is a symbolic graphic, not a full UI screenshot.",The icon alone does not show the surrounding notification content context.
umn/source/alarm_management/alarm_policies/configuring_an_alarm_template.rst,Configuring an Alarm Template,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000002202703580.png,substitution_image,199,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a toggle switch icon, used as |image7| in Table 5 for starting/stopping a template. | The RST describes turning on or off this button in the Operation column. | The icon is a symbolic UI control, not a full screenshot.",The icon alone does not show the table row context described in Table 5.
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001542177914.png,substitution_image,58,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Hamburger menu icon (three horizontal lines) used as a navigation trigger | Referenced as |image1| in step 2: 'Click |image1| on the left and choose Application > Application Performance Management' | Generic navigation icon, not specific to alarm policy functionality | Serves as the entry point to the APM module in the management console","The icon is very small and low-resolution, making it hard to confirm exact appearance in the actual UI"
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001946108913.png,substitution_image,59,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Gear/settings icon used in the environment tree navigation | Referenced as |image2| in step 4: 'click |image2| next to the target environment' | Matches the gear icon visible next to 'test' in the screenshot (Image 1) | Used to access instance monitoring page for the selected environment,"Icon is very small and slightly blurry, making precise identification difficult"
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001946108901.png,substitution_image,60,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Gear/settings icon similar to Image 3, used in the template-based procedure | Referenced as |image3| in the 'Create an Alarm Policy Based on a Template' section step 2 | Same function as |image2|: clicking next to the target environment in the tree | Appears to be a slightly different rendering or state of the same gear icon",Icon is very small and blurry; difficult to distinguish exact differences from Image 3
umn/source/alarm_management/alarm_policies/recommended_alarm_templates.rst,Recommended Alarm Templates,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001592697669.png,substitution_image,52,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Hamburger menu icon (three horizontal lines) used as the navigation trigger in step 2 | Referenced as |image1| in the RST for clicking to access the Application > APM menu | The icon is generic and not specific to APM, but correctly represents the navigation menu control | Small isolated pictogram consistent with icon classification",No context shown around the icon to confirm it is specifically the APM navigation menu button
umn/source/application_metric_monitoring/application_monitoring_details/call.rst,Call,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001620923917.png,substitution_image,180,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Hamburger menu icon (three horizontal lines) used as a navigation toggle in step 2 | RST states 'Click |image1| on the left and choose Application > Application Performance Management' | Icon is a generic UI navigation element, not specific to the Call monitoring topic | Clearly identifiable as a standard hamburger/menu icon",No specific APM branding or context visible in the icon | Cannot confirm the exact UI context (left panel) from the icon alone
umn/source/application_metric_monitoring/application_monitoring_details/call.rst,Call,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001913972698.png,substitution_image,181,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Monitor/display icon with a line chart, representing an environment or instance in the tree | RST states 'In the tree on the left, click |image2| next to the target environment' | Icon is consistent with representing a monitored environment/instance | Clearly identifiable as a monitor with a chart waveform",Cannot confirm this is specifically an environment icon vs. a generic instance icon | No text label visible to confirm exact meaning
umn/source/application_metric_monitoring/application_monitoring_details/call.rst,Call,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001914229964.png,substitution_image,182,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Gear/cog settings icon used for selecting metric data to display | RST states 'Click |image3| in the upper right corner of the list and select the metric data you want to view' | Gear icon is a common convention for configuration/column selection in data tables | Clearly identifiable as a settings/gear icon,Cannot confirm the exact UI position (upper right corner) from the icon alone | No context showing the list or table it applies to
