document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/alarm_management/alarm_notification.rst,Alarm Notification,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001677135825.png,figure,25,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Notifications' tab highlighted in magenta and the 'Add' button, directly matching step 6 of the RST. | Clearly illustrates the interface for creating a notification object as described in the document.",
umn/source/alarm_management/alarm_notification.rst,Alarm Notification,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001542186458.png,substitution_image,37,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Displays the hamburger menu icon referenced in step 2 of the RST. | Clearly shows the UI element used to open the navigation menu to access Application Performance Management.,
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001788084553.png,figure,26,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Screenshot clearly shows the 'Alarm Policy' tab and the 'Add Custom Alarm Policy' button, directly matching the procedure steps.",
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001542177914.png,substitution_image,58,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon matches the menu button described in the procedure to be clicked on the left side.,
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001946108913.png,substitution_image,59,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon matches the settings button next to the target environment in the tree as described.,
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001946108901.png,substitution_image,60,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon matches the settings button next to the target environment in the tree as described.,
umn/source/alarm_management/alarm_policies/creating_a_custom_alarm_policy.rst,Creating a Custom Alarm Policy,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000002237705905.png,substitution_image,62,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon matches the toggle switch for starting or stopping a policy as described in the table.,
umn/source/alarm_management/alarm_policies/recommended_alarm_templates.rst,Recommended Alarm Templates,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001677005969.png,figure,21,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Alarm Templates' tab selected and the 'Recommended Template' sub-tab, matching the RST description for viewing templates. | UI state aligns perfectly with step 5 instructions.",
umn/source/alarm_management/alarm_policies/recommended_alarm_templates.rst,Recommended Alarm Templates,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001628411172.png,figure,29,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays the recommended template list with 'View Details' and 'Copy' options, aligning with the RST instructions. | Matches the context of step 6 and Figure 2 caption.",
umn/source/alarm_management/alarm_policies/recommended_alarm_templates.rst,Recommended Alarm Templates,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001676892669.png,figure,37,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Copy Alarm Template' dialog with the 'Yes' button highlighted in magenta, matching the copy action described. | Directly illustrates step 7 and step 8 actions.",
umn/source/alarm_management/alarm_policies/recommended_alarm_templates.rst,Recommended Alarm Templates,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001676894365.png,figure,45,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the copied template appearing in the list with a 'Creating' status, matching the post-copy state described. | Aligns with step 8 and Figure 4 caption.",
umn/source/alarm_management/alarm_policies/recommended_alarm_templates.rst,Recommended Alarm Templates,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001592697669.png,substitution_image,52,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image is the hamburger menu icon referenced in the first step of the instructions. | Clearly depicts the navigation toggle mentioned in step 2.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuration_details.rst,Configuration Details,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001627759792.png,figure,31,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Screenshot directly illustrates the 'Configuring a monitoring item' section. | Shows the 'Monitoring Item' tab and the 'Modify' action column as described in step 6.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuration_details.rst,Configuration Details,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001627280752.png,figure,39,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Screenshot matches the 'Editing the JVM monitoring configuration' section. | Displays the configuration form with collection interval and call chain stack settings.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuration_details.rst,Configuration Details,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001675961513.png,figure,62,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Screenshot corresponds to the 'Enabling or disabling a monitoring item' section. | Highlights the 'Enable/Disable Monitoring Item' toggle column as referenced in step 7.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuration_details.rst,Configuration Details,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001541509380.png,substitution_image,69,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon represents the navigation menu referenced in steps 2 and 3. | Matches the visual cue for clicking on the left side to access Application Performance Management.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuration_details.rst,Configuration Details,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001914229912.png,substitution_image,70,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon represents the settings/configuration button referenced in step 4. | Matches the visual cue for clicking next to the target environment.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuration_details.rst,Configuration Details,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001541988552.png,substitution_image,71,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon represents the navigation menu referenced in steps 2 and 3. | Matches the visual cue for accessing the Application Performance Management section.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuration_details.rst,Configuration Details,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001278182205.png,substitution_image,72,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Icon represents the settings/configuration button referenced in step 4. | Matches the visual cue for clicking next to the target environment.,
umn/source/application_metric_monitoring/application_monitoring_configuration/configuring_the_url_monitoring_item.rst,Configuring the URL Monitoring Item,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001675969617.png,figure,71,screenshot,True,False,True,"Interactive buttons (Delete, Add) are not magenta or plain white, and no magenta buttons or text are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Screenshot clearly shows the 'Modify Url Monitoring Configuration' UI matching the RST title. | Tables for URL Collection, URL, and Blocklist configurations align with the RST parameter descriptions. | Interactive controls are visible but are blue, not magenta or plain white.",
umn/source/application_metric_monitoring/application_monitoring_details/call.rst,Call,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001620923917.png,substitution_image,180,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image displays a standard hamburger menu icon. | This matches the RST instruction to click a navigation element on the left side of the interface.,
umn/source/application_metric_monitoring/application_monitoring_details/call.rst,Call,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001913972698.png,substitution_image,181,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image shows a monitor or screen icon containing a graph line. | This aligns with the RST context of selecting an environment or application node in a tree view.,
umn/source/application_metric_monitoring/application_monitoring_details/call.rst,Call,/home/ubuntu/repotesting/application-performance-management/umn/source/_static/images/en-us_image_0000001914229964.png,substitution_image,182,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image depicts a gear or cog icon. | This corresponds to the RST step instructing the user to click an icon in the upper right corner to configure or select metric data.,
