document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/best_practices/service_governance_for_dubbo-based_applications/sdk_adaptation_mode/passthrough_solution.rst,PASSTHROUGH Solution,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001181766534.png,substitution_image,29,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/best_practices/service_governance_for_dubbo-based_applications/service_discovery_model.rst,Service Discovery Model,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001181759886.png,substitution_image,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/best_practices/service_governance_for_dubbo-based_applications/service_discovery_model.rst,Service Discovery Model,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001227360319.png,substitution_image,22,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/configurable_grayscale_release/grayscale_release.rst,Grayscale Release,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001247200741.png,substitution_image,47,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small isolated pictogram (a paper-airplane / send-style symbol), consistent with an icon rather than a screenshot. | In the RST, |image1| is the control the user clicks in the asmtest mesh to start creating a grayscale release task, so the icon is semantically tied to the 'Creating a Grayscale Release Task' section. | The icon is generic and does not itself depict the ASM console, the asmtest mesh, or the grayscale release workflow, limiting detail match. | No element in the image contradicts the surrounding RST text.","The icon does not show any label, tooltip, or surrounding UI to confirm which specific action (e.g., create/launch) it triggers. | No screenshot context is provided to verify the icon's placement within the asmtest mesh page."
umn/source/getting_started/configurable_grayscale_release/overview.rst,Overview,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001202040720.png,figure,18,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/enabling_istio_for_a_cluster/overview.rst,Overview,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001255345827.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001202041610.png,figure,18,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001440024745.png,figure,46,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001389665636.png,figure,55,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001202053160.png,figure,287,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image shows a traffic ratio configuration UI with v1 at 80% and v3 (grayscale version) at 20% | Matches the RST description of configuring a traffic policy based on traffic ratio with v3 set to 20% | Clearly labeled as Figure 4 Traffic policy in the document | Shows Current Pods column with value 1 for both versions,
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001247893125.png,figure,299,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows the BookInfo Sample page for The Comedy of Errors with black stars in Book Reviews | Matches the RST description of v1 page showing black stars | Labeled as Figure 5 v1 page in the document | Book Details section shows type, pages, publisher, language, ISBN-10, ISBN-13",
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001203053124.png,figure,305,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image shows the BookInfo Sample page for The Comedy of Errors with red stars in Book Reviews | Matches the RST description of v3 page showing red stars | Labeled as Figure 6 v3 page in the document | Red stars clearly distinguish this from the v1 black star version,
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001203333110.png,figure,317,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows Traffic Monitoring dashboard with RPS, Success Rate, and Request Latency charts | Charts display data for both v1 and v3 as described in the RST | Labeled as Figure 7 Traffic monitoring data in the document | Time axis shows data around 19:10 to 20:10 with spikes indicating traffic activity",
umn/source/getting_started/grayscale_release_practices_of_bookinfo.rst,Grayscale Release Practices of Bookinfo,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001203040696.png,figure,334,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Image shows the BookInfo Sample page with only red stars in Book Reviews | Matches the RST description after switching all traffic to v3 where only red stars are shown | Labeled as Figure 8 v3 page in the document | Consistent with the Switching All Traffic to the Grayscale Version section,
umn/source/service_overview/related_services.rst,Related Services,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001303344393.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/user_guide/grayscale_release/basic_operations_on_a_grayscale_task.rst,Basic Operations on a Grayscale Task,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001209978068.png,substitution_image,108,icon,False,False,False,,2,1,2,2,3,0.65,partial,,,,200,stop,1,The image is a small symbolic icon (paper-airplane shape with a circle/minus glyph) used as a UI action button. | The RST references this icon in the 'Canceling a Grayscale Release Task' section as a clickable element in the upper-right corner of a task in the grayscale task list. | The icon is semantically related to the grayscale task management topic but does not depict the full console UI or the specific task list context. | No contradiction between the icon and the surrounding text; the text simply instructs the user to click this icon to cancel a task.,"The icon does not show the surrounding UI (task list, upper-right corner placement) described in the RST. | No label or tooltip is visible on the icon to confirm it specifically represents a 'cancel' action. | The icon is very small and low-resolution, making it difficult to identify the exact symbol with certainty."
umn/source/user_guide/grayscale_release/creating_a_grayscale_release_task.rst,Creating a Grayscale Release Task,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001254994843.png,substitution_image,148,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"The image is a small paper-airplane/launch icon referenced as |image1| in the RST, used as a shortcut button in the upper right corner of an Enterprise mesh to create a grayscale release task. | The icon is a generic 'send' or 'deploy' symbol; it does not contain text or specific grayscale-release labeling, so topic match is moderate. | It is correctly placed in step 1 of the 'Creating a Grayscale Release Task' section as a shortcut action.",The icon lacks any text label or contextual UI frame to confirm it is specifically the 'Create a grayscale release task' button. | No surrounding interface elements are visible to verify its placement in the upper right corner of an Enterprise mesh.
umn/source/user_guide/grayscale_release/grayscale_release_overview.rst,Grayscale Release Overview,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001210274518.png,figure,29,other,False,False,False,,1,1,2,3,1,0.50,fail,,,,200,stop,1,"Image is labeled as 'Blue-green deployment process' but uses 'Grayscale Version' terminology, which is more associated with canary release | The text describes blue-green deployment as having two versions online simultaneously in hot backup mode with route weight switched (0 or 100), none of which is depicted | The flow (Release → Observe → normal/abnormal) is nearly identical to the canary release diagram, lacking the 'Configure a Traffic Policy' step but also lacking any blue-green specific elements | The binary normal/abnormal outcome loosely maps to the 0/100 switch but does not show the simultaneous online state of both versions | Placed in the Blue-Green Deployment section as Figure 2, so section placement is correct",No visual representation of two versions (blue and green) running simultaneously | No depiction of 'hot backup mode' where both versions are online at the same time | No illustration of route weight switching (0 or 100) as described in the text | The diagram does not distinguish blue-green deployment from canary release in any meaningful visual way
umn/source/user_guide/traffic_management/configuring_a_traffic_policy.rst,Configuring a Traffic Policy,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001234454572.png,substitution_image,196,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a small circular plus icon, an isolated UI symbol (icon). | Referenced in the RST as |image4| for 'add more request headers' in the HTTP Header section. | The plus symbol semantically matches the 'add' action described in Table 7. | Relevant to the traffic policy / HTTP header configuration topic.",No surrounding UI context; the icon is shown in isolation. | No label or tooltip visible to confirm it is the add-headers button.
umn/source/user_guide/traffic_management/configuring_a_traffic_policy.rst,Configuring a Traffic Policy,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001234773776.png,substitution_image,197,icon,True,False,False,,2,1,2,3,2,0.65,partial,,,,200,stop,1,"Image is a small circular plus icon (icon). | Referenced in the RST as |image5| for 'edit more request headers' in Table 7. | The plus symbol is a generic add/more button, which only loosely matches the described 'edit' action. | Still within the HTTP Header / traffic policy section.","No edit-specific glyph (e.g., pencil) visible; the icon is a plus. | No surrounding UI to confirm the edit-headers context."
