document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/best_practices/service_governance_for_dubbo-based_applications/sdk_adaptation_mode/passthrough_solution.rst,PASSTHROUGH Solution,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001181766534.png,substitution_image,29,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a technical flowchart diagram illustrating the SDK's internal request routing. | It directly visualizes the introduction's statement that the client accesses the service name via the Dubbo interface. | The components (SDK, Dubbo Interface, Service Name, Envoy) align semantically with the document's description of the Passthrough solution.",
umn/source/best_practices/service_governance_for_dubbo-based_applications/service_discovery_model.rst,Service Discovery Model,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001181759886.png,substitution_image,21,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The diagram clearly illustrates the existing Dubbo service model where a single interface directly connects to multiple instances, matching the RST text description.",
umn/source/best_practices/service_governance_for_dubbo-based_applications/service_discovery_model.rst,Service Discovery Model,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001227360319.png,substitution_image,22,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The diagram visualizes the Dubbo Cloud Native model by showing an intermediate 'App' layer between the interface and instances, directly supporting the RST explanation.",
umn/source/best_practices/upgrading_data_plane_sidecars_without_service_interruption.rst,Upgrading Data Plane Sidecars Without Service Interruption,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001145684268.png,substitution_image,89,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Code snippet directly matches the RST section on configuring service pods and rolling update strategy. | Shows replicas set to 2 and strategy type as RollingUpdate, aligning perfectly with the documentation.",
umn/source/best_practices/upgrading_data_plane_sidecars_without_service_interruption.rst,Upgrading Data Plane Sidecars Without Service Interruption,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001191764069.png,substitution_image,90,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Code snippet displays readinessProbe configuration as described in the RST. | Includes httpGet, initialDelaySeconds, and periodSeconds, matching the documentation's explanation of readiness probes.",
umn/source/best_practices/upgrading_data_plane_sidecars_without_service_interruption.rst,Upgrading Data Plane Sidecars Without Service Interruption,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001191923931.png,substitution_image,91,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Code snippet shows the minReadySeconds parameter set to 2, directly supporting the RST section on service ready time. | Visual evidence clearly aligns with the configuration description provided in the text.",
umn/source/best_practices/upgrading_data_plane_sidecars_without_service_interruption.rst,Upgrading Data Plane Sidecars Without Service Interruption,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001191923929.png,substitution_image,92,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Code snippet displays terminationGracePeriodSeconds set to 30, matching the RST explanation for graceful shutdown time. | Directly corresponds to the configuration description in the document.",
umn/source/best_practices/upgrading_data_plane_sidecars_without_service_interruption.rst,Upgrading Data Plane Sidecars Without Service Interruption,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001493677652.png,substitution_image,93,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Code snippet illustrates the lifecycle.preStop.exec.command configuration described in the RST. | Shows the exact nginx -s quit; sleep 10 command mentioned in the documentation for graceful shutdown.,
umn/source/faqs/mesh_management/how_do_i_disable_sidecar_injection_for_workloads.rst,How Do I Disable Sidecar Injection for Workloads?,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000001223579300.png,substitution_image,40,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays a code editor showing a YAML configuration snippet. | It highlights the 'annotations' field containing 'sidecar.istio.io/inject: false', which directly corresponds to the documentation instructions for service meshes earlier than 1.13.",
umn/source/faqs/mesh_management/how_do_i_disable_sidecar_injection_for_workloads.rst,How Do I Disable Sidecar Injection for Workloads?,/home/ubuntu/repotesting/application-service-mesh/umn/source/_static/images/en-us_image_0000002373720729.png,substitution_image,41,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays a code editor showing a YAML configuration snippet. | It highlights the 'sidecar.istio.io/inject: false' entry under the 'labels' field, which directly corresponds to the documentation instructions for service meshes 1.13 or later.",
