document,title,image,image_type,result,score,reasons,missing_evidence
umn/source/as_management/as_configuration/copying_an_as_configuration.rst,Copying an AS Configuration,en-us_image_0210485079.png,icon,pass,0.83,"The image is a small gray location-pin / map-marker pictogram, consistent with an icon rather than a screenshot. | In the RST, |image1| is referenced in step 2 as the control in the upper-left corner used to select a region and a project, and a location pin is a standard symbol for region selection. | The icon is placed within the Procedure section and directly supports the described navigation step. | No interactive button states, labels, or magenta styling are visible; it is a static symbolic graphic.","The image does not show the surrounding console UI, so the exact placement in the upper-left corner cannot be visually confirmed. | No text or label accompanies the icon to explicitly identify it as the region/project selector."
umn/source/as_management/as_configuration/creating_an_as_configuration_from_an_existing_ecs.rst,Creating an AS Configuration from an Existing ECS,en-us_image_0210485079.png,icon,pass,0.90,"The image is a small location-pin / map-marker symbol, i.e. an isolated UI icon, not a full screenshot. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner to select a region and a project.' | A location-pin icon is the standard region/project selector symbol in cloud management consoles, matching the described action. | The icon appears in the Procedure section and directly supports the login/region-selection step of the workflow. | No visible interactive button control is present in the isolated image; it is just a symbol.","The image is a generic pin symbol without any label, so its exact function (region vs. project selector) is inferred from the RST text rather than visible text in the image. | No surrounding UI context (e.g., the upper-left corner placement) is visible in the isolated icon."
umn/source/as_management/as_configuration/creating_an_as_configuration_from_scratch.rst,Creating an AS Configuration from Scratch,en-us_image_0210485079.png,icon,pass,0.90,"The image is a small location-pin pictogram, consistent with a region/project selector symbol. | The RST step 2 instructs to click |image1| in the upper left corner to select a region and a project, which matches a location/region icon. | The icon is placed in the Procedure section and directly supports the region-selection step. | No visible interactive button controls; it is an isolated symbolic graphic.","The image does not show surrounding UI context (e.g., the upper-left corner of the console) to confirm placement. | No label or text in the image explicitly states 'region' or 'project'."
umn/source/as_management/as_configuration/deleting_an_as_configuration.rst,Deleting an AS Configuration,en-us_image_0210485079.png,icon,pass,0.90,"The image is a small gray location-pin / map-marker pictogram, i.e., an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is used in Procedure step 2: 'Click |image1| in the upper left corner and select the desired region and project,' which matches a region/project selector pin icon. | The icon is placed in the Procedure section and directly supports the login/region-selection step of the deletion workflow. | No visible interactive button or control is present in the isolated image; it is only a symbolic graphic.","The image does not show the surrounding management console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
umn/source/as_management/as_group/changing_the_as_configuration_for_an_as_group.rst,Changing the AS Configuration for an AS Group,en-us_image_0282829283.png,screenshot,pass,1.00,"The image shows a table listing two AS configurations (as-config-B and as-config-A) with columns for Name/ID, Status, Specifications, Image, System Disk, Data Disks, Login Mode, Created, Billing Mode, and Operation. | The RST explicitly references this as 'Figure 1 Changing the AS configuration' in the 'Effective Time of New AS Configuration' section. | The configuration names as-config-A and as-config-B in the image match exactly the names used in the RST's example of changing from as-config-A to as-config-B. | The table displays concrete details (instance types, images, disk sizes) that provide visual evidence of what an AS configuration contains.",The image does not show the 'Change Configuration' button or the dialog box mentioned in the procedure steps. | No visual indication of which configuration is currently active vs. pending.
umn/source/as_management/as_group/changing_the_as_configuration_for_an_as_group.rst,Changing the AS Configuration for an AS Group,en-us_image_0210485079.png,icon,partial,0.72,"The image is a small location-pin / map-marker icon, consistent with a region or project selector in a cloud management console. | The RST references this icon in step 2 of the Procedure: 'Click |image1| in the upper left corner to select a region and a project.' | The icon is a generic UI element (region selector) and is not specific to AS configuration, so topic match is moderate. | The icon is small and simple, providing limited visual detail beyond its symbolic meaning.","The icon is shown in isolation without surrounding UI context (no console header, no dropdown menu visible). | No label or tooltip is visible to confirm it is specifically the region/project selector."
umn/source/as_management/as_group/creating_an_as_group.rst,Creating an AS Group,en-us_image_0223979402.png,icon,pass,1.00,"The image is a location pin icon, which is the standard symbol for region/project selection in cloud management consoles. | The RST step 2 explicitly states 'Click |image1| in the upper left corner to select a region and a project,' and a location pin is the conventional icon for that action. | The icon is used within the Procedure section of the 'Creating an AS Group' document, directly supporting the step-by-step instructions. | No contradiction exists between the icon's visual representation and its described function in the text.","The image does not show the surrounding UI context (e.g., the upper-left corner placement or the region/project dropdown that appears after clicking), but this is expected for an isolated icon asset."
umn/source/as_management/as_group/deleting_an_as_group.rst,Deleting an AS Group,en-us_image_0210485079.png,icon,partial,0.77,"The image is a small gray location-pin / map-marker pictogram, consistent with an icon rather than a screenshot. | In the RST, |image1| is referenced in Procedure step 2 as the control to click in the upper left corner to select the desired region and project, which matches a location/region selector icon. | The icon is semantically relevant to the procedure for deleting an AS group, though it is not directly about the deletion action itself. | No interactive buttons or controls are visible within the image; it is an isolated symbol.","The image does not show any surrounding UI context (e.g., the management console header) to confirm it is the region/project selector in situ. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
umn/source/as_management/as_group/disabling_an_as_group.rst,Disabling an AS Group,en-us_image_0210485079.png,icon,partial,0.77,"The image is a small gray location-pin / map-marker pictogram, matching the region/project selector icon referenced in step 2. | The RST step 2 instructs to click the icon in the upper left corner to select a region and a project, which is consistent with a location-pin symbol. | The icon is an isolated UI symbol, not a full screenshot or interactive control, so it is classified as an icon. | No contradiction between the image and the surrounding procedure text.","The image does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
umn/source/as_management/as_group/enabling_an_as_group.rst,Enabling an AS Group,en-us_image_0210485079.png,icon,pass,0.83,"The image is a small location/region pin icon, consistent with the RST instruction to click the icon in the upper left corner to select a region and project. | The icon is referenced as |image1| and |image2| in step 2 of both the 'Enabling an AS Group' and 'Forcibly Enabling an AS Group' procedures. | The visual content (a map-marker/teardrop pin) semantically matches a region/project selector control in a cloud management console. | No interactive buttons or controls are visible; it is an isolated symbolic graphic.","The image does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
