document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/as_management/as_group/changing_the_as_configuration_for_an_as_group.rst,Changing the AS Configuration for an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,45,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location-pin / map-marker icon, consistent with a region or project selector in a cloud management console. | The RST references this icon in step 2 of the Procedure: 'Click |image1| in the upper left corner to select a region and a project.' | The icon is a generic UI element (region selector) and is not specific to AS configuration, so topic match is moderate. | The icon is small and simple, providing limited visual detail beyond its symbolic meaning.","The icon is shown in isolation without surrounding UI context (no console header, no dropdown menu visible). | No label or tooltip is visible to confirm it is specifically the region/project selector."
umn/source/as_management/as_group/deleting_an_as_group.rst,Deleting an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,26,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, consistent with an icon rather than a screenshot. | In the RST, |image1| is referenced in Procedure step 2 as the control to click in the upper left corner to select the desired region and project, which matches a location/region selector icon. | The icon is semantically relevant to the procedure for deleting an AS group, though it is not directly about the deletion action itself. | No interactive buttons or controls are visible within the image; it is an isolated symbol.","The image does not show any surrounding UI context (e.g., the management console header) to confirm it is the region/project selector in situ. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
umn/source/as_management/as_group/disabling_an_as_group.rst,Disabling an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,31,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, matching the region/project selector icon referenced in step 2. | The RST step 2 instructs to click the icon in the upper left corner to select a region and a project, which is consistent with a location-pin symbol. | The icon is an isolated UI symbol, not a full screenshot or interactive control, so it is classified as an icon. | No contradiction between the image and the surrounding procedure text.","The image does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly identify it as the region/project selector."
umn/source/as_management/as_group/modifying_an_as_group.rst,Modifying an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,34,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location/map-pin pictogram, matching the RST reference for selecting a region and project in step 2. | It is an isolated symbolic graphic (icon), not a full UI screenshot. | The icon is semantically consistent with a region/project selector control in a management console. | No contradiction between the image and the surrounding procedure text.","The image does not show the surrounding console UI, so the exact placement in the upper-left corner cannot be verified. | No label or text accompanies the icon to confirm it is the region/project selector."
umn/source/as_management/as_group_and_instance_monitoring/adding_tags_to_as_groups_and_instances.rst,Adding Tags to AS Groups and Instances,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,80,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location-pin icon, consistent with a region/project selector referenced in the RST navigation steps. | The RST instructs the user to click this icon in the upper left corner to select a region and a project, which matches the location-pin semantics. | The icon is used as a procedural navigation aid rather than illustrating the tag-adding topic directly, so topic match is partial. | No contradiction is visible between the icon and the surrounding text.","The image does not show any surrounding UI context (e.g., the upper-left corner of the console), so its exact placement cannot be visually confirmed. | No label or tooltip is visible on the icon to explicitly confirm it is the region/project selector."
umn/source/as_management/as_group_and_instance_monitoring/viewing_monitoring_metrics.rst,Viewing Monitoring Metrics,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,59,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon used as a region/project selector in the upper-left corner of the management console. | The RST states 'Click |image1| in the upper left corner to select a region and a project,' which matches the location pin icon. | The icon is a standard UI element for region selection, consistent with cloud platform navigation patterns. | It is referenced twice (image1 and image3) in two different procedural sections of the document.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper-left corner of a console."
umn/source/as_management/as_group_and_instance_monitoring/viewing_monitoring_metrics.rst,Viewing Monitoring Metrics,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210500918.png,substitution_image,60,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image shows a small square button with diagonal arrows, consistent with an expand/fullscreen icon. | The RST states to 'hover your mouse over a graph, and click |image2|' to view data for a longer time range, which aligns with an expand icon. | The icon is referenced twice (image2 and image4) in both the Auto Scaling and Cloud Eye procedural sections. | It is a standard UI control for expanding a graph view to see more data.","The icon is very small and low-resolution, making the exact arrow direction and button style difficult to confirm. | No surrounding graph or UI context is visible to confirm its placement on a monitoring chart."
umn/source/as_management/as_policy/managing_as_policies.rst,Managing AS Policies,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,68,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, i.e., an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in step 2 of 'Modifying an AS Policy': 'Click |image1| in the upper left corner to select a region and a project.' | A location-pin icon is a standard visual for a region/project selector, which is semantically consistent with the described action of selecting a region and project. | The icon is an isolated symbol without a rendered button state, so no interactive control is visible in the image itself.",The image does not show the surrounding console UI (upper-left corner placement) that the RST describes. | No label or tooltip is visible to confirm it is specifically the region/project selector rather than a generic location icon.
umn/source/as_management/bandwidth_scaling/creating_a_bandwidth_scaling_policy.rst,Creating a Bandwidth Scaling Policy,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,186,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin icon, consistent with a region/project selector in a cloud management console. | The RST instructs the user to 'Click |image1| in the upper left corner to select a region and a project,' which aligns with a location/region selector icon. | The icon is a generic navigation element used in the procedure steps rather than being specific to bandwidth scaling content. | No contradiction exists between the image content and the RST description of its purpose.","The image does not show the surrounding UI context (e.g., the upper-left corner of the console) to confirm placement. | No label or text accompanies the icon to explicitly identify it as a region/project selector."
umn/source/as_management/bandwidth_scaling/managing_a_bandwidth_scaling_policy.rst,Managing a Bandwidth Scaling Policy,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,109,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, i.e., an isolated UI symbol, so it is classified as an icon. | In the RST this image is referenced as |image1|–|image5| with the instruction 'Click ... in the upper left corner to select a region and a project', and a location pin is a fitting symbol for region selection. | The icon is a generic console navigation symbol rather than a bandwidth-scaling-specific graphic, so topic and detail match are moderate. | The visual content (a location pin) is clearly visible and consistent with the described region/project selector, with no contradiction to the text.","The image does not show the surrounding management console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to explicitly tie it to region/project selection."
