document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/as_management/as_configuration/creating_an_as_configuration_from_an_existing_ecs.rst,Creating an AS Configuration from an Existing ECS,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,82,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which aligns with the RST instruction to click the icon to select a region and project. | The visual evidence directly supports the procedural step described in the document.",
umn/source/as_management/as_configuration/deleting_an_as_configuration.rst,Deleting an AS Configuration,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,21,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which directly corresponds to the RST instruction to select a region and project.",
umn/source/as_management/as_group/changing_the_as_configuration_for_an_as_group.rst,Changing the AS Configuration for an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0282829283.png,figure,23,screenshot,True,False,True,"Interactive buttons (Copy, Delete) are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Shows a table of AS configurations (as-config-A, as-config-B) matching the document's topic.",None.
umn/source/as_management/as_group/changing_the_as_configuration_for_an_as_group.rst,Changing the AS Configuration for an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,45,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Matches the RST reference to an icon for selecting a region and project.,None.
umn/source/as_management/as_group/disabling_an_as_group.rst,Disabling an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,31,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,"The image shows a location pin icon, which directly corresponds to the RST instruction to click it for selecting a region and project. | The icon is correctly utilized within the Procedure section to guide the user through the console navigation step. | No contradictions exist between the visual content and the accompanying text.",None.
umn/source/as_management/as_group/modifying_an_as_group.rst,Modifying an AS Group,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,34,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which aligns with the RST instruction to click an icon to select a region and project.",
umn/source/as_management/as_group_and_instance_monitoring/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0000001744598325.png,figure,32,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the CTS console filter interface, matching Figure 1 description. | Visible filters (Trace Type, Trace Source, etc.) and buttons (Query, Export) align with the text. | Primary 'Query' button is magenta, satisfying the color rule.",
umn/source/as_management/as_group_and_instance_monitoring/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0000001696838310.png,substitution_image,65,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the hamburger menu icon. | Matches the |image1| reference in the text for opening the service menu.,
umn/source/as_management/as_group_and_instance_monitoring/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0000001696678850.png,substitution_image,66,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the refresh icon. | Matches the |image2| reference in the text for viewing latest trace information.,
umn/source/as_management/as_group_and_instance_monitoring/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0000001744678489.jpg,substitution_image,67,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the downward-pointing chevron icon. | Matches the |image3| reference in the text for expanding trace details.,
umn/source/as_management/as_group_and_instance_monitoring/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0000001696838318.png,substitution_image,68,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows a table of trace details. | Matches the |image4| reference in the text showing expanded trace information.,
umn/source/as_management/as_group_and_instance_monitoring/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0000001758618249.png,substitution_image,69,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows a JSON view of trace details. | Matches the |image5| reference in the text for the 'View Trace' modal.,
umn/source/as_management/as_group_and_instance_monitoring/viewing_monitoring_metrics.rst,Viewing Monitoring Metrics,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,59,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which directly corresponds to the instruction to select a region and project.",
umn/source/as_management/as_group_and_instance_monitoring/viewing_monitoring_metrics.rst,Viewing Monitoring Metrics,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210500918.png,substitution_image,60,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays an expand/fullscreen icon, which semantically matches the instruction to view details or a longer time range for monitoring data.",
umn/source/as_management/as_policy/managing_as_policies.rst,Managing AS Policies,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,68,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which directly corresponds to the RST instruction to click the icon to select a region and project.",
umn/source/as_management/scaling_action/viewing_a_scaling_action.rst,Viewing a Scaling Action,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0164543452.jpg,substitution_image,36,icon,False,False,False,,2,2,3,3,3,0.83,pass,,200,completed,1,"The image displays a downward chevron icon, which matches the UI element described for expanding scaling action details. | It is directly relevant to the 'Viewing Historical Scaling Actions' section of the documentation. | The icon functions as a clickable control to reveal additional information as stated in the text.","The full application interface context is not visible, only the isolated icon. | Cannot verify the exact surrounding UI elements or text from this cropped image."
umn/source/best_practices/setting_up_an_automatically_scalable_discuz_forum.rst,Setting Up an Automatically Scalable Discuz! Forum,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0077278626.png,substitution_image,79,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image presents a high-level architecture diagram showing ELB, ECS instances, AS, and a Database, which perfectly matches the components and scaling architecture described in the document overview.",
umn/source/faqs/general/what_is_an_as_quota.rst,What Is an AS Quota?,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0275513364.png,substitution_image,30,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which aligns with the instruction to select a region and project.",
umn/source/faqs/general/what_is_an_as_quota.rst,What Is an AS Quota?,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0152727234.png,substitution_image,31,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a bar chart icon, which semantically represents resource usage or quotas as described in the text.",
umn/source/quick_start/wizard-based_process_of_using_as.rst,Wizard-based Process of Using AS,/home/ubuntu/repotesting/auto-scaling/umn/source/_static/images/en-us_image_0134348019.png,figure,12,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image presents a clear flowchart detailing the manual and automatic steps of the AS process, directly aligning with the section title and description.",
umn/source/service_overview/instance_lifecycle.rst,Instance Lifecycle,,,,,,,,,,,,,,,fail,backend_error,,,2,,
