document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/appendix/configuring_the_vnc_service.rst,Configuring the VNC Service,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/converting_the_image_format.rst,Converting the Image Format,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/faq/how_do_i_check_whether_a_physical_server_is_running_properly.rst,How Do I Check Whether a Physical Server Is Running Properly?,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/faq/what_do_i_do_if_cloudbase-init_is_stopped_on_a_provisioned_windows_bms.rst,What Do I Do If Cloudbase-Init Is Stopped on a Provisioned Windows BMS?,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/euleros_openeuler.rst,EulerOS/OpenEuler,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/red_hat_6_centos_6_oracle_linux_6.rst,Red Hat 6/CentOS 6/Oracle Linux 6,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/suse_11_sp4.rst,SUSE 11 SP4,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/suse_12_sp1.rst,SUSE 12 SP1,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/suse_12_sp2_suse_12_sp3_suse_15_oracle_linux_7_red_hat_7_centos_7_centos_8.rst,SUSE 12 SP2/SUSE 12 SP3/SUSE 15/Oracle Linux 7/Red Hat 7/CentOS 7/CentOS 8,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/ubuntu_16.04_ubuntu_18.04.rst,Ubuntu 16.04/Ubuntu 18.04,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_cloud-init/cloud-init_0.7.5.rst,Cloud-Init 0.7.5,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_cloud-init/cloud-init_0.7.6.rst,Cloud-Init 0.7.6,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_cloud-init/cloud-init_0.7.9_or_later.rst,Cloud-Init 0.7.9 or later,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_oracle_linux_6_series_red_hat_6_series_centos_6.rst,x86: Oracle Linux 6 series/Red Hat 6 series/CentOS 6,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_oracle_linux_7.3_oracle_linux_7.4_red_hat_7_centos_7.2_centos_7.4_centos_7.5_centos_7.6.rst,x86: Oracle Linux 7.3/Oracle Linux 7.4/Red Hat 7/CentOS 7.2/CentOS 7.4/CentOS 7.5/CentOS 7.6,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_suse_11_sp4.rst,x86: SUSE 11 SP4,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_ubuntu_16.04_ubuntu_18.04.rst,x86: Ubuntu 16.04/Ubuntu 18.04,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_the_vm_environment/optional_disabling_networkmanager.rst,(Optional) Disabling NetworkManager,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/configuring_the_vm_environment/upload_required_software_packages.rst,Upload Required Software Packages,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/creating_a_linux_vm/creating_a_vm_using_virt-manager/creating_a_linux_vm.rst,Creating a Linux VM,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/centos_7.4_arm.rst,CentOS 7.4 ARM,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/os_partitioning_recommendations.rst,OS Partitioning Recommendations,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/suse_11_sp4.rst,SUSE 11 SP4,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/suse_12.rst,SUSE 12,,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/ubuntu_18.04_ubuntu_16.04_ubuntu_14.04_and_debian_8.6.rst,"Ubuntu 18.04, Ubuntu 16.04, Ubuntu 14.04, and Debian 8.6",,,fail,,kein valides Bild,No model result was produced.
doc/image-creation-guide/source/linux/installing_and_upgrading_drivers_and_firmware_for_ascend_bmss/installation_and_maintenance/installing_the_npu_driver_and_firmware.rst,Installing the NPU Driver and Firmware,,,fail,,kein valides Bild,No model result was produced.
