document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0000001508295281.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/appendix/configuring_the_vnc_service.rst,Configuring the VNC Service,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/image-creation-guide/source/appendix/configuring_the_vnc_service.rst,Configuring the VNC Service,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0110275803.png,substitution_image,88,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/appendix/configuring_the_vnc_service.rst,Configuring the VNC Service,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0094568763.png,substitution_image,89,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/appendix/configuring_the_vnc_service.rst,Configuring the VNC Service,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0094568860.png,substitution_image,90,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/converting_the_image_format.rst,Converting the Image Format,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/image-creation-guide/source/converting_the_image_format.rst,Converting the Image Format,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0146602964.png,figure,11,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/faq/how_do_i_check_whether_a_physical_server_is_running_properly.rst,How Do I Check Whether a Physical Server Is Running Properly?,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/image-creation-guide/source/faq/how_do_i_check_whether_a_physical_server_is_running_properly.rst,How Do I Check Whether a Physical Server Is Running Properly?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0000002022646860.png,substitution_image,28,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/faq/what_do_i_do_if_cloudbase-init_is_stopped_on_a_provisioned_windows_bms.rst,What Do I Do If Cloudbase-Init Is Stopped on a Provisioned Windows BMS?,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/image-creation-guide/source/faq/what_do_i_do_if_cloudbase-init_is_stopped_on_a_provisioned_windows_bms.rst,What Do I Do If Cloudbase-Init Is Stopped on a Provisioned Windows BMS?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0094568749.png,substitution_image,42,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/euleros_openeuler.rst,EulerOS/OpenEuler,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/euleros_openeuler.rst,EulerOS/OpenEuler,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0110253555.png,substitution_image,48,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/euleros_openeuler.rst,EulerOS/OpenEuler,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0000001379117300.png,substitution_image,49,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/red_hat_6_centos_6_oracle_linux_6.rst,Red Hat 6/CentOS 6/Oracle Linux 6,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/red_hat_6_centos_6_oracle_linux_6.rst,Red Hat 6/CentOS 6/Oracle Linux 6,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0110253618.png,substitution_image,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/suse_11_sp4.rst,SUSE 11 SP4,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
