document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/appendix/configuring_the_vnc_service.rst,Configuring the VNC Service,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/converting_the_image_format.rst,Converting the Image Format,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/faq/how_do_i_check_whether_a_physical_server_is_running_properly.rst,How Do I Check Whether a Physical Server Is Running Properly?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/faq/what_do_i_do_if_cloudbase-init_is_stopped_on_a_provisioned_windows_bms.rst,What Do I Do If Cloudbase-Init Is Stopped on a Provisioned Windows BMS?,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/euleros_openeuler.rst,EulerOS/OpenEuler,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/red_hat_6_centos_6_oracle_linux_6.rst,Red Hat 6/CentOS 6/Oracle Linux 6,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/suse_11_sp4.rst,SUSE 11 SP4,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/suse_12_sp1.rst,SUSE 12 SP1,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/suse_12_sp2_suse_12_sp3_suse_15_oracle_linux_7_red_hat_7_centos_7_centos_8.rst,SUSE 12 SP2/SUSE 12 SP3/SUSE 15/Oracle Linux 7/Red Hat 7/CentOS 7/CentOS 8,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/checking_the_cloud-init_status/ubuntu_16.04_ubuntu_18.04.rst,Ubuntu 16.04/Ubuntu 18.04,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_cloud-init/cloud-init_0.7.5.rst,Cloud-Init 0.7.5,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_cloud-init/cloud-init_0.7.6.rst,Cloud-Init 0.7.6,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_cloud-init/cloud-init_0.7.9_or_later.rst,Cloud-Init 0.7.9 or later,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_oracle_linux_6_series_red_hat_6_series_centos_6.rst,x86: Oracle Linux 6 series/Red Hat 6 series/CentOS 6,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_oracle_linux_7.3_oracle_linux_7.4_red_hat_7_centos_7.2_centos_7.4_centos_7.5_centos_7.6.rst,x86: Oracle Linux 7.3/Oracle Linux 7.4/Red Hat 7/CentOS 7.2/CentOS 7.4/CentOS 7.5/CentOS 7.6,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_suse_11_sp4.rst,x86: SUSE 11 SP4,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_remote_login_to_a_bms/x86_ubuntu_16.04_ubuntu_18.04.rst,x86: Ubuntu 16.04/Ubuntu 18.04,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_the_vm_environment/optional_disabling_networkmanager.rst,(Optional) Disabling NetworkManager,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/configuring_the_vm_environment/upload_required_software_packages.rst,Upload Required Software Packages,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/creating_a_linux_vm/creating_a_vm_using_virt-manager/creating_a_linux_vm.rst,Creating a Linux VM,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/centos_7.4_arm.rst,CentOS 7.4 ARM,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/os_partitioning_recommendations.rst,OS Partitioning Recommendations,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/suse_11_sp4.rst,SUSE 11 SP4,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/suse_12.rst,SUSE 12,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_a_linux_os_on_the_vm/ubuntu_18.04_ubuntu_16.04_ubuntu_14.04_and_debian_8.6.rst,"Ubuntu 18.04, Ubuntu 16.04, Ubuntu 14.04, and Debian 8.6",,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_and_upgrading_drivers_and_firmware_for_ascend_bmss/installation_and_maintenance/installing_the_npu_driver_and_firmware.rst,Installing the NPU Driver and Firmware,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_and_upgrading_drivers_and_firmware_for_ascend_bmss/installation_and_maintenance/installing_the_nvme_driver.rst,Installing the NVMe Driver,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_bms-network-config.rst,Installing bms-network-config,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/installing_the_hi1822_driver/hi1822_offload_cards_for_bmss_with_sdi_2.2.rst,Hi1822 Offload Cards (for BMSs with SDI 2.2),,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/modifying_the_boot_file_uefi_boot_mode.rst,Modifying the Boot File (UEFI Boot Mode),,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/modifying_the_hardware_device_drivers_that_boot_the_os.rst,Modifying the Hardware Device Drivers That Boot the OS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/optional_installing_the_ib_driver.rst,(Optional) Installing the IB driver,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/performing_security_configuration/optimizing_udev_and_selinux.rst,Optimizing udev and SELinux,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/linux/performing_security_configuration/optional_setting_the_password_validity_period.rst,(Optional) Setting the Password Validity Period,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/overview.rst,Overview,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/preparing_the_environment.rst,Preparing the Environment,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/stopping_the_vm_and_obtaining_the_image.rst,Stopping the VM and Obtaining the Image,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/configuring_the_vm_environment.rst,Configuring the VM Environment,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/creating_a_windows_vm/creating_a_vm_from_an_iso_image/installing_a_windows_os_and_the_virtio_driver.rst,Installing a Windows OS and the VirtIO Driver,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/creating_a_windows_vm/creating_a_vm_from_an_iso_image/registering_an_iso_file_windows.rst,Registering an ISO File (Windows),,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/creating_a_windows_vm/creating_a_vm_using_virt-manager/creating_a_vm_and_installing_an_os_windows.rst,Creating a VM and Installing an OS (Windows),,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/generating_a_new_iso_file.rst,Generating a New ISO File,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/installing_cloudbase-init/windows_server_1709.rst,Windows Server 1709,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/installing_cloudbase-init/windows_server_2012_r2_windows_server_2016.rst,Windows Server 2012 R2/Windows Server 2016,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/optional_configuring_automatic_windows_update.rst,(Optional) Configuring Automatic Windows Update,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/optional_installing_bms-network-config/windows_server_1709.rst,Windows Server 1709,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/optional_installing_bms-network-config/windows_server_2012_r2_windows_server_2016.rst,Windows Server 2012 R2/Windows Server 2016,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/optional_installing_the_sdi_driver.rst,(Optional) Installing the SDI Driver,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/optional_installing_x86_v5_server_drivers/installing_the_chipset_driver.rst,Installing the chipset Driver,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/setting_the_windows_time_zone.rst,Setting the Windows Time Zone,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/setting_the_windows_virtual_memory.rst,Setting the Windows Virtual Memory,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/image-creation-guide/source/windows/using_dism_to_integrate_the_virtio_driver_into_an_iso_file.rst,Using Dism++ to Integrate the VirtIO Driver into an ISO File,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/auditing_of_key_operations/viewing_traces.rst,Viewing Traces,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/faqs/network_and_security_faq/how_do_i_configure_the_dns_server.rst,How Do I Configure the DNS Server?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0177079630.png,figure,49,screenshot,True,False,True,"Visible interactive buttons are gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,Matches Figure 1 description in RST. | Shows Network and Sharing Center window.,
umn/source/faqs/network_and_security_faq/how_do_i_configure_the_dns_server.rst,How Do I Configure the DNS Server?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0177079750.png,figure,58,screenshot,True,False,True,"Visible interactive buttons are gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,Matches Figure 2 description in RST. | Shows Ethernet 3 Status dialog.,
umn/source/faqs/network_and_security_faq/how_do_i_configure_the_dns_server.rst,How Do I Configure the DNS Server?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0177080622.png,figure,66,screenshot,True,False,True,"Visible interactive buttons are gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,Matches Figure 3 description in RST. | Shows Ethernet 3 Properties dialog.,
umn/source/faqs/network_and_security_faq/how_do_i_configure_the_dns_server.rst,How Do I Configure the DNS Server?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0177079125.png,figure,77,screenshot,True,False,True,"Visible interactive buttons are gray, not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,incomplete,1,Matches Figure 4 description in RST. | Shows IPv4 Properties dialog with DNS configuration section.,
umn/source/faqs/os_faq/how_do_i_change_the_sid_of_a_windows_server_2012_bms.rst,How Do I Change the SID of a Windows Server 2012 BMS?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0165324194.png,figure,82,screenshot,True,False,True,"Interactive buttons (OK, Cancel) are not magenta or plain white, and no other magenta elements are present.",3,3,3,3,3,1.00,fail,,200,completed,1,"Matches Figure 3, showing the System Preparation Tool 3.14 dialog box. | Contains standard UI buttons that violate the color constraint.",
umn/source/instance/logging_in_to_a_linux_bms/logging_in_to_a_bms_using_an_ssh_key_pair.rst,Logging In to a BMS Using an SSH Key Pair,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0080956622.png,figure,63,screenshot,True,False,True,"Screenshot contains interactive UI buttons (e.g., Open, Cancel) that are not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image accurately depicts the PuTTY Configuration window described in the documentation. | Interactive controls like the 'Open' and 'Cancel' buttons are clearly visible and use standard blue/gray styling instead of the required magenta or plain white.,
umn/source/troubleshooting/what_do_i_do_if_a_key_pair_created_using_puttygen_cannot_be_imported_to_the_management_console.rst,What Do I Do If a Key Pair Created Using PuTTYgen Cannot Be Imported to the Management Console?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0157339711.png,figure,28,screenshot,True,False,True,"Interactive buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Screenshot matches step 1, showing the initial PuTTY Key Generator window. | Clearly displays the application interface described in the text.",
umn/source/troubleshooting/what_do_i_do_if_a_key_pair_created_using_puttygen_cannot_be_imported_to_the_management_console.rst,What Do I Do If a Key Pair Created Using PuTTYgen Cannot Be Imported to the Management Console?,/home/ubuntu/repotesting/bare-metal-server/umn/source/_static/images/en-us_image_0157361001.png,figure,39,screenshot,True,False,True,"Interactive buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Screenshot matches step 2, showing the restored public key format. | Red box highlights the public key content as described in the text.",
