document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/backup_management/deleting_a_backup.rst,Deleting a Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0159365094.png,substitution_image,45,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with a region selector in a cloud console. | The RST references this icon in step 1a: 'click |image1| and select a region', which matches a location/region icon. | The icon is small and symbolic, fitting the 'icon' classification. | No contradictions between the image and the RST text.",The icon is generic; it does not show any CBR-specific branding or label. | No surrounding UI context is visible to confirm it is in the upper-left corner of a console.
umn/source/backup_management/deleting_a_backup.rst,Deleting a Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000001599534545.jpg,substitution_image,46,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a standard navigation menu symbol. | The RST references this icon in step 1b: 'Click |image2| and choose Storage > Cloud Backup and Recovery', which matches a navigation menu icon. | The icon is small and symbolic, fitting the 'icon' classification. | No contradictions between the image and the RST text.",The icon is generic; no CBR-specific branding or label is visible. | No surrounding UI context is visible to confirm it is part of a console navigation bar.
umn/source/backup_management/sharing_a_backup.rst,Sharing a Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0159365094.png,substitution_image,99,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Location pin icon used as the region selector in the CBR console navigation steps | Matches the RST instruction 'click |image1| and select a region' | Standard UI icon for region/area selection in cloud console interfaces,No surrounding UI context visible to confirm it is specifically the CBR console region selector
umn/source/backup_management/sharing_a_backup.rst,Sharing a Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000001599534545.jpg,substitution_image,100,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Hamburger menu icon (three horizontal lines) used for navigation to Storage > Cloud Backup and Recovery | Matches the RST instruction 'Click |image2| and choose Storage > Cloud Backup and Recovery' | Standard navigation menu icon in cloud console interfaces,No surrounding UI context visible to confirm it is specifically the CBR console navigation menu
umn/source/backup_management/viewing_a_backup.rst,Viewing a Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0159365094.png,substitution_image,77,icon,False,False,False,,3,3,3,3,3,1.00,pass,,"Expected 4 image results, but received 3 unique valid results. Missing results for: /home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000002118824430.png",,200,stop,1,"The image is a location pin icon, consistent with a region selector in the upper left corner of a cloud console. | The RST references this as |image1| in step 1a: 'click |image1| and select a region.' | The icon is a standard map/location marker used for region selection in cloud interfaces.",
umn/source/backup_management/viewing_a_backup.rst,Viewing a Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000001599534545.jpg,substitution_image,78,icon,False,False,False,,3,3,3,3,3,1.00,pass,,"Expected 4 image results, but received 3 unique valid results. Missing results for: /home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000002118824430.png",,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a standard navigation menu symbol. | The RST references this as |image2| in step 1b: 'Click |image2| and choose Storage > Cloud Backup and Recovery.' | The icon is consistent with a menu button that opens a navigation panel to select services.",
umn/source/backup_management/viewing_a_backup.rst,Viewing a Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000002118823934.png,substitution_image,79,screenshot,True,False,False,,3,2,3,3,2,0.88,pass,,"Expected 4 image results, but received 3 unique valid results. Missing results for: /home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000002118824430.png",,200,stop,1,"The screenshot shows the CBR console Backups tab with a backup list table, matching Figure 1 'Viewing a backup.' | The table includes columns for Name/ID, Status, Server Name, Vault Name, Checkpoint ID, Created, and Operation, consistent with the RST description. | A backup entry with status 'Creating' is visible, matching the status table in the RST. | The RST mentions an 'All statuses' drop-down list above the backup list, but the screenshot shows a search bar with 'Select a property or enter a keyword' placeholder; the explicit 'All statuses' dropdown is not clearly visible.",The 'All statuses' drop-down list mentioned in the RST is not clearly visible in the screenshot; only a generic search bar is shown. | The 'Advanced Search' button mentioned in the RST is not visible in this screenshot.
umn/source/data_restoration/creating_an_image_from_a_cloud_server_backup.rst,Creating an Image from a Cloud Server Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0159365094.png,substitution_image,60,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location pin icon used as a region selector in the CBR console. | It is referenced in step 1a of the Procedure: 'click |image1| and select a region.' | The icon is a generic UI element for region selection, not specific to the backup/image creation topic. | The icon is clearly visible and matches its described purpose of selecting a region.",The icon does not show any text or context indicating it is specifically for the CBR console. | No surrounding UI context is visible to confirm the exact placement in the upper left corner.
umn/source/data_restoration/creating_an_image_from_a_cloud_server_backup.rst,Creating an Image from a Cloud Server Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0000001599534545.jpg,substitution_image,61,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines) used for navigation. | It is referenced in step 1b of the Procedure: 'Click |image2| and choose Storage > Cloud Backup and Recovery.' | The icon is a generic navigation element, not specific to the backup/image creation topic. | The three-line hamburger icon is clearly visible and matches its described purpose of opening a navigation menu.",No surrounding UI context is visible to confirm the exact placement or the menu items that would appear. | The icon does not show any text or branding specific to the CBR console.
umn/source/data_restoration/restoring_from_a_cloud_server_backup.rst,Restoring from a Cloud Server Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0159365094.png,substitution_image,88,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'click |image1| and select a region' in step 1a. | It is a small symbolic graphic (pictogram) used as a UI navigation element, fitting the 'icon' classification. | The icon is semantically relevant to selecting a region in the CBR console procedure. | No contradictions between the image and the RST text.","The icon is very small and low-resolution, making it difficult to confirm exact styling details. | No surrounding UI context is visible to confirm it is in the 'upper left corner' as described."
