document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/backup_management/deleting_a_backup.rst,Deleting a Backup,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/backup_management/replicating_a_backup_across_regions.rst,Replicating a Backup Across Regions,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/backup_management/sharing_a_backup.rst,Sharing a Backup,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/backup_management/viewing_a_backup.rst,Viewing a Backup,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/cloud_eye_monitoring/creating_an_alarm_rule.rst,Creating an Alarm Rule,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/concepts/what_are_full_backup_and_incremental_backup.rst,What Are Full Backup and Incremental Backup?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_1_create_a_vault/creating_a_disk_backup_vault.rst,Creating a Disk Backup Vault,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_1_create_a_vault/creating_a_server_backup_vault.rst,Creating a Server Backup Vault,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_1_create_a_vault/creating_an_sfs_turbo_backup_vault.rst,Creating an SFS Turbo Backup Vault,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_2_associate_a_resource_with_the_vault.rst,Step 2: Associate a Resource with the Vault,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_3_create_a_backup/creating_a_cloud_disk_backup.rst,Creating a Cloud Disk Backup,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_3_create_a_backup/creating_a_cloud_server_backup.rst,Creating a Cloud Server Backup,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_3_create_a_backup/creating_an_sfs_turbo_backup.rst,Creating an SFS Turbo Backup,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/management_permissions/creating_a_user_and_granting_cbr_permissions.rst,Creating a User and Granting CBR Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/managing_tasks.rst,Managing Tasks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/optional_migrating_resources_from_csbs_vbs.rst,(Optional) Migrating Resources from CSBS/VBS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/policy_management/applying_a_policy_to_a_vault.rst,Applying a Policy to a Vault,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/policy_management/creating_a_backup_policy.rst,Creating a Backup Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/policy_management/creating_a_replication_policy.rst,Creating a Replication Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/policy_management/deleting_a_policy.rst,Deleting a Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/policy_management/modifying_a_policy.rst,Modifying a Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/policy_management/removing_a_policy_from_a_vault.rst,Removing a Policy from a Vault,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/policy_management/viewing_the_policy_of_a_vault.rst,Viewing the Policy of a Vault,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quotas.rst,Quotas,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/recording_cbr_operations_using_cts.rst,Recording CBR Operations Using CTS,,,,,,,,,,,,,,,fail,backend_error,,,2,,
umn/source/restoring_data/creating_a_disk_from_a_cloud_disk_backup.rst,Creating a Disk from a Cloud Disk Backup,/home/ubuntu/repotesting/cloud-backup-recovery/umn/source/_static/images/en-us_image_0159365094.png,substitution_image,47,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays a location pin icon, which directly corresponds to the RST instruction to 'select a region'.",
