document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/central_network_operation_guide/central_networks/central_networks.rst,Central Networks,en-us_image_0000002479757549.png,screenshot,pass,1.00,"Image shows a 'Create Central Network' dialog with Name, Description, and Policy fields (Region, Enterprise Router, ASN, Operation), matching Figure 1. | The dialog aligns with the 'Creating a Central Network' section and Table 1 parameters (Name, Description, Policy with Region and Enterprise Router). | Interactive controls (Cancel, OK, Add Enterprise Router, Delete) are visible.",
umn/source/central_network_operation_guide/central_networks/central_networks.rst,Central Networks,en-us_image_0000002446788280.png,screenshot,pass,1.00,"Image shows the 'Basic Information' tab of a central network (gcn-78e7) with Name, Status, Created At, Enterprise Routers, ID, Cross-Site Connections, Description. | Matches Figure 2 'Viewing the basic information about a central network' and the 'Viewing a Central Network' section. | No interactive buttons are visible, only edit/copy icons.",
umn/source/central_network_operation_guide/central_networks/central_networks.rst,Central Networks,en-us_image_0000002446790368.png,screenshot,pass,1.00,"Image shows a 'Delete This Central Network' dialog requiring the user to enter 'DELETE' to confirm, matching Figure 3. | Aligns with the 'Deleting a Central Network' section step to enter DELETE in the dialog box. | Interactive controls (Cancel, OK, Delete) are visible.",
umn/source/central_network_operation_guide/central_networks/central_networks.rst,Central Networks,en-us_image_0000002125143789.png,icon,pass,0.93,"Image is a small location/map-pin icon, consistent with the |image1|..|image4| references used for 'Click ... in the upper left corner to select a region and a project.' | Used across multiple sections (Creating, Viewing, Modifying, Deleting) as the region/project selector icon. | As an isolated pictogram, it provides limited detail beyond the region-selection purpose.",The icon alone does not show the region/project selection dropdown it triggers.
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,en-us_image_0000002446606818.png,screenshot,pass,1.00,"Shows the Cross-Site Connection Bandwidths tab with a table of cross-site connections. | Displays 'No bandwidth assigned. Assign ...' in the Global Connection Bandwidth column, matching the assign-bandwidth step. | Matches Figure 1 'Assigning a cross-site connection bandwidth' in the Assigning section.",
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,en-us_image_0000002449948666.png,screenshot,pass,1.00,"Shows a Monitoring Data panel with Inbound Traffic, Outbound Traffic, and Inbound PPS charts. | Corresponds to clicking the monitoring icon in the Monitoring column. | Matches Figure 2 'Cross-site connection bandwidth monitoring' in the Viewing Monitoring Metrics section.",
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,en-us_image_0000002449789746.png,screenshot,pass,1.00,Shows the 'Change Bandwidth' dialog with Global Connection Bandwidth and Bandwidth fields. | Includes the note that assigned bandwidth cannot exceed the global connection bandwidth. | Matches Figure 3 'Modifying a bandwidth' in the Changing section.,
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,en-us_image_0000002449949814.png,screenshot,pass,1.00,Shows the 'Delete this cross-site connection bandwidth?' confirmation dialog. | Displays the connection details table and Cancel/OK buttons. | Matches Figure 4 'Deleting a cross-site connection bandwidth' in the Deleting section.,
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,en-us_image_0000002461583304.png,screenshot,pass,1.00,Shows a dialog warning that the unbound global connection bandwidth is still being billed. | Contains the 'Go to Delete' button referenced in the deleting steps. | Matches Figure 5 'Confirming whether to delete the global connection bandwidth'.,
