document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000001508295281.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002125143777.png,substitution_image,150,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"A small location-pin / map-marker icon used as the region and project selector. | Referenced in the steps as the icon to click in the upper left corner to select a region and project. | Generic UI symbol, not specific to cross-site connection bandwidths.",No textual or contextual detail beyond the icon glyph itself.
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002089584360.png,substitution_image,151,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"A small location-pin / map-marker icon used as the region and project selector. | Referenced in the monitoring steps as the icon to click to select a region and project. | Generic UI symbol, not specific to cross-site connection bandwidths.",No textual or contextual detail beyond the icon glyph itself.
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002125143773.png,substitution_image,152,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"A small location-pin / map-marker icon used as the region and project selector. | Referenced in the changing-bandwidth steps as the icon to click to select a region and project. | Generic UI symbol, not specific to cross-site connection bandwidths.",No textual or contextual detail beyond the icon glyph itself.
umn/source/central_network_operation_guide/central_networks/cross-site_connection_bandwidths.rst,Cross-Site Connection Bandwidths,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002089584348.png,substitution_image,153,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"A small location-pin / map-marker icon used as the region and project selector. | Referenced in the deleting-bandwidth steps as the icon to click to select a region and project. | Generic UI symbol, not specific to cross-site connection bandwidths.",No textual or contextual detail beyond the icon glyph itself.
umn/source/central_network_operation_guide/central_networks/overview.rst,Overview,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002445430860.png,figure,19,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/central_network_operation_guide/central_networks/overview.rst,Overview,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002478587813.png,figure,56,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/central_network_operation_guide/central_networks/policies.rst,Policies,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002089584376.png,substitution_image,95,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a small location-pin icon used as |image1| in step 2 to select a region and project. | It is a generic UI symbol, not a full interface, so detail relevance is limited. | It supports the login/region-selection step common to all procedures.",No surrounding UI context is visible to confirm exact placement.
umn/source/central_network_operation_guide/central_networks/policies.rst,Policies,/home/ubuntu/repotesting/cloud-connect/umn/source/_static/images/en-us_image_0000002125143785.png,substitution_image,96,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Image is a small location-pin icon used as |image2| in step 2 of the Applying a Policy procedure. | It is a generic region/project selector symbol with limited detail. | It is consistent with the documented step to select a region and project.,No surrounding UI context is visible to confirm exact placement.
