document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001854551680.png,substitution_image,40,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001868229221.png,substitution_image,41,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001207457192.png,substitution_image,379,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001207617538.png,substitution_image,380,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001252018205.png,substitution_image,381,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001207129076.png,substitution_image,382,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001207618830.png,substitution_image,383,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,/home/ubuntu/repotesting/cloud-container-engine/umn/source/_static/images/en-us_image_0000001207129902.png,substitution_image,384,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
