document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_usage_guidelines.rst,API Usage Guidelines,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/attaching_disks_to_a_node.rst,Attaching Disks to a Node,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/creating_a_vpc_and_subnet.rst,Creating a VPC and Subnet,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/how_to_obtain_parameters_in_the_api_uri.rst,How to Obtain Parameters in the API URI,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_the_account_id.rst,Obtaining the Account ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/space_allocation_of_a_data_disk.rst,Space Allocation of a Data Disk,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/add-ons/add-on_upgrade_checks/checks_before_an_nginx_ingress_controller_upgrade.rst,Checks Before an NGINX Ingress Controller Upgrade,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/add-ons/add-on_upgrade_checks/general_check_items.rst,General Check Items,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/add-ons/cloud_native_ai_add-ons/cce_ai_suite_nvidia_gpu.rst,CCE AI Suite (NVIDIA GPU),,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/add-ons/container_network_add-ons/coredns.rst,CoreDNS,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/add-ons/container_network_add-ons/nginx_ingress_controller.rst,NGINX Ingress Controller,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/add-ons/container_network_add-ons/nodelocal_dnscache.rst,NodeLocal DNSCache,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/auto_scaling/node_scaling/modifying_the_node_scale-in_concurrency_settings.rst,Modifying the Node Scale-In Concurrency Settings,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
