document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/namespace_and_network.rst,Namespace and Network,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/obtaining_an_account_id.rst,Obtaining an Account ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/getting_started.rst,Getting Started,,,fail,,kein valides Bild,No model result was produced.
umn/source/container_group/overview.rst,Overview,en-us_image_0000001991238669.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/namespaces/creating_a_namespace.rst,Creating a Namespace,en-us_image_0201693831.png,other,pass,1.00,"Image is a simple schematic diagram (not a UI screenshot or icon), classified as 'other'. | Diagram shows a VPC container with two Namespace boxes, each containing a Subnet, matching the RST description that each namespace requires a separate subnet within a VPC. | Directly corresponds to Figure 1 'Relationship between namespaces and VPC subnets' referenced in the 'Relationship Between Namespaces and Networks' section. | Labels VPC, Namespace, and Subnet are clearly visible and consistent with the document text. | No interactive controls or buttons are present.","No IP/CIDR details or network planning elements are shown, but these are not required by the figure caption."
umn/source/service_overview/application_scenarios.rst,Application Scenarios,en-us_image_0197840533.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,en-us_image_0197840757.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,en-us_image_0197841641.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,en-us_image_0197831172.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/service_overview/region_and_az.rst,Region and AZ,en-us_image_0184026531.png,other,fail,0.00,Local color check detected #3298ff.,
