document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/namespace_and_network.rst,Namespace and Network,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/namespace_and_network.rst,Namespace and Network,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0000001909077313.png,figure,21,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0000001508295281.png,figure,67,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_an_account_id.rst,Obtaining an Account ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_an_account_id.rst,Obtaining an Account ID,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0000001909236985.png,figure,15,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/getting_started.rst,Getting Started,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/getting_started.rst,Getting Started,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0000001874007888.png,substitution_image,130,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/container_group/overview.rst,Overview,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0000001991238669.png,figure,21,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197840533.png,figure,30,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197840757.png,figure,45,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197841641.png,figure,33,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197831172.png,figure,55,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/service_overview/region_and_az.rst,Region and AZ,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0184026531.png,figure,20,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
