document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/namespace_and_network.rst,Namespace and Network,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_an_account_id.rst,Obtaining an Account ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/getting_started.rst,Getting Started,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/container_group/overview.rst,Overview,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0000001991238669.png,figure,21,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a diagram illustrating a Pod structure containing a Main container, Sidecar container, and Volume. | This directly matches the text description of a pod running multiple containers that work together.",
umn/source/namespaces/creating_a_namespace.rst,Creating a Namespace,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0201693831.png,figure,26,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a schematic diagram illustrating the relationship between VPC, Namespace, and Subnet. | It directly supports the 'Relationship Between Namespaces and Networks' section of the document. | The visual hierarchy correctly shows namespaces and subnets contained within a VPC, matching the textual description.",
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197840533.png,figure,30,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The diagram clearly illustrates the CI/CD pipeline and deployment to CCI environments, directly matching the DevOps/Continuous Delivery section.",
umn/source/service_overview/application_scenarios.rst,Application Scenarios,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197840757.png,figure,45,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The diagram shows traffic routing via ELB to CCE for daily load and CCI for peak bursts, perfectly aligning with the Services with Fluctuating Traffic section.",
umn/source/service_overview/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197841641.png,figure,33,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a technical diagram illustrating a Pod structure with a main container and a sidecar container sharing a volume. | It directly corresponds to the 'Pod' section's description of pods running multiple containers that need to work together. | No contradictions found with the document text.,
umn/source/service_overview/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/cloud-container-instance/umn/source/_static/images/en-us_image_0197831172.png,figure,55,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a technical diagram showing pods organized by labels (app, env) and grouped by color. | It directly illustrates the 'Label' section's explanation of using key-value pairs to group and select pods. | No contradictions found with the document text.",
