document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/ansible/connection.rst,How to configure a connection between two ansible components,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/ansible/galaxy.rst,Ansible Galaxy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/ansible/role.rst,Ansible role,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/ansible/tasks.rst,Ansible tasks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bash/bash_create.rst,How to execute a Bash script on a compute,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bash/env_vars.rst,Environment variables for Bash script,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bash/env_vars_config.rst,Environment variables for a connection,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bash/index.rst,How to use Bash,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bash/relationship.rst,How to configure a connection between two Bash components,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bash/upload.rst,How to upload a file to a compute,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/bastion_host/admin_network.rst,How to define an admin network,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bastion_host/bastion_host.rst,How to define a bastion host,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bastion_host/bastion_host_scenarios.rst,Usecases of a bastion host,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/bastion_host/index.rst,How to use Bastion host,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/connect_private_network.rst,How to connect a compute to a network,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/create_new_app.rst,How to create a new application,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/deploy_app.rst,How to choose a cloud provider to deploy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/deploy_soft_comp.rst,How to deploy a service catalog on a compute,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/index.rst,Getting started,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/specify_compute_params.rst,"How to specify CPU, RAM, and an operating system for a compute",,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/specify_image_flavor.rst,"How to specify a flavor, image, keypair, and availability zone for a compute",,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/start_deploy.rst,How to deploy & debug,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/start_undeploy.rst,How to undeploy & purge,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/google/auto_created_subnets.rst,Design your application with dynamic subnets,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/google/how_to_deploy.rst,How to deploy your application on Google Cloud,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/google/index.rst,Google Cloud,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/google/multi_regions.rst,Design your application with static subnets in multiple regions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/index.rst,Quick introduction,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/network/dns.rst,How to create a DNS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/network/fixed_ip.rst,How to specify a fixed IP for a compute,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/network/ip_ranges.rst,How to create or reuse a private network,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/orchestration_workflow.rst,How the orchestration engine works,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/register.rst,How to create a user account & login,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/releases.rst,Release notes,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/save_template.rst,How to save a design as a template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/secrets.rst,How to define secrets for your application,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/security_group/auto_generate.rst,How to auto-generate security group,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/security_group/define_explicitly.rst,How to define the security group explicitly,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_catalogs/apache.rst,Apache Webserver,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_catalogs/mysql.rst,MySQL server,/home/ubuntu/repotesting/cloud-create/umn/source/_static/images/service-catalogs/mysql1.png,figure,21,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the MySQLServer component placed on a Compute node, directly illustrating the deployment step.",
umn/source/service_catalogs/mysql.rst,MySQL server,/home/ubuntu/repotesting/cloud-create/umn/source/_static/images/service-catalogs/mysql2.png,figure,32,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the MySQLDatabase component connected to MySQLServer, with the name, user, and password fields highlighted, matching the database creation instructions.",
umn/source/service_catalogs/nextcloud.rst,Nextcloud,/home/ubuntu/repotesting/cloud-create/umn/source/_static/images/service-catalogs/nextcloud.png,figure,13,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,Matches RST description of selecting the Nextcloud template. | Shows version dropdown as expected.,
umn/source/service_catalogs/nextcloud.rst,Nextcloud,/home/ubuntu/repotesting/cloud-create/umn/source/_static/images/service-catalogs/nextcloud1.png,figure,23,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,Matches RST description of v1 template architecture. | Shows single VM deployment with all components.,
umn/source/service_catalogs/nextcloud.rst,Nextcloud,/home/ubuntu/repotesting/cloud-create/umn/source/_static/images/service-catalogs/nextcloud2.png,figure,35,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"Matches RST description of v2 template architecture. | Shows two VMs: Compute for app, Compute_2 for database.",
