document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/common_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
umn/source/cloud_service_monitoring/viewing_metrics.rst,Viewing Metrics,en-us_image_0000001220595446.png,icon,pass,1.00,The image shows a small expand/fullscreen icon (two diagonal arrows pointing outward) in a square button. | The RST references this as |image1| in step 7: 'click |image1| to view monitoring details on an enlarged graph.' | The expand icon semantically matches the action of enlarging a graph to view monitoring details. | The icon is consistent with a UI control for expanding/enlarging a view.,
umn/source/cloud_service_monitoring/viewing_metrics.rst,Viewing Metrics,en-us_image_0000001264836141.png,icon,pass,1.00,The image shows a small plus (+) icon in a square button. | The RST references this as |image2| in step 8: 'click |image2| to create alarm rules for the metric.' | The plus icon semantically matches the action of creating/adding new alarm rules. | The icon is consistent with a UI control for adding or creating a new item.,
umn/source/data_dump/adding_a_dump_task.rst,Adding a Dump Task,en-us_image_0000001693747229.png,screenshot,pass,1.00,"Image is a UI screenshot titled 'Add Dump Task', matching the document title and Figure 1 caption. | Visible fields (Name, Resource Type, Dimension, Monitoring Scope, Destination Resource Type, Project Name, Destination with Kafka/Topic) align with Table 1 parameters in the RST. | The screenshot corresponds to procedure step 5 (configure parameters on the Add Dump Task page). | Interactive controls (dropdowns, 'All resources' button, 'Create Kafka' link) are visible, consistent with a configuration page.","The example values in the image (dataShareJob-f3qt, Bare Metal Server) differ from the RST example values (dataShareJob-ECSMetric, Elastic Cloud Server), but these are illustrative and not a contradiction. | The 'Add' submit button mentioned in step 6 is not visible in the captured viewport."
umn/source/event_monitoring/viewing_event_monitoring_data.rst,Viewing Event Monitoring Data,en-us_image_0000001693521761.png,screenshot,pass,1.00,"Image shows the Event Monitoring page with title 'Event Monitoring' matching Figure 1 caption | Time range buttons (1h, 3h, 12h, 1d, 7d, 30d) match the RST description of viewing events in various time periods | Bar chart displays system events over time with System Event and Custom Event legend | Event list table includes Event Type, Event Name, Event Source, Quantity, Last Occurred At, and Operation columns | Operation column shows 'View Graph' and 'Create Alarm Rule' links as described in step 4 | Search bar 'Select a property or enter a keyword' matches step 6 description",
umn/source/event_monitoring/viewing_event_monitoring_data.rst,Viewing Event Monitoring Data,en-us_image_0000002464270489.png,screenshot,pass,1.00,"Image shows a specific event graph view titled 'System Event | Failed to de...' matching Figure 2 'Viewing graphs' | Time range buttons and custom date range picker are visible, matching the RST description of viewing monitoring data in specified periods | Bar chart shows event count over time for the specific event | Table below shows Monitored Object/ID, Event Severity, Event Status, Operator, Occurred At, and Operation columns | Operation column contains 'View Event' link matching step 5 description | The view corresponds to clicking 'View Graph' in the Operation column as described in step 4",
umn/source/event_monitoring/viewing_event_monitoring_data.rst,Viewing Event Monitoring Data,en-us_image_0000002464136293.png,screenshot,pass,1.00,"Image shows the Event Monitoring page with multiple events selected via checkboxes, matching Figure 3 'Viewing event monitoring details in batches' | Three rows are checked (highlighted with pink borders) and '3 items selected' text appears at bottom left | An arrow button is visible in the lower right corner, highlighted with a red border, matching the RST description of clicking the arrow to view monitoring details | The event list shows System Event entries with View Graph and Create Alarm Rule in Operation column | Time range buttons and bar chart are consistent with the Event Monitoring page layout",
umn/source/faqs/server_monitoring/how_can_i_create_an_agency.rst,How Can I Create an Agency?,en-us_image_0110267213.png,icon,partial,0.77,"The image is a small gray location/map-pin symbol, an isolated UI icon rather than a full screenshot. | In the RST, |image1| is used in Procedure step 2 to 'select a region and project', and a location pin is a fitting symbol for region selection. | The icon is referenced within the Procedure section, so it is contextually relevant to the agency-creation steps. | The visual content (a teardrop location marker with a center dot) is clearly and unambiguously visible. | No element of the image contradicts the surrounding text.","The image is a generic location pin; it does not show the actual console UI, region list, or project selector that step 2 describes. | No label or text accompanies the icon to confirm it is the region/project selector control."
umn/source/faqs/server_monitoring/how_can_i_fix_the_ssh_dial_error_during_batch_agent_installation.rst,"How Can I Fix the ""SSH dial error"" During Batch Agent Installation?",en-us_image_0000002451256404.png,screenshot,pass,1.00,"The image is a terminal/console screenshot showing the exact 'SSH dial error' message described in the Symptom section. | The displayed text 'SSH dial error: ssh: handshake failed: ssh: unable to authenticate, attempted methods [none], no supported methods remain' matches the figure caption 'Batch Agent installation failed'. | The image is referenced as Figure 1 in the Symptom section, so it is directly relevant to that section. | No interactive controls or buttons are visible, only plain error text on a dark console background.","No surrounding UI (window chrome, prompt, or console title) is visible to confirm the exact application context. | The image does not show the Cloud Eye console or the batch install command itself, only the resulting error output."
umn/source/faqs/server_monitoring/how_do_i_change_the_process_collection_frequency_by_modifying_the_configuration_file.rst,How Do I Change the Process Collection Frequency by Modifying the Configuration File?,en-us_image_0000002461366529.png,screenshot,pass,1.00,"The image is a terminal screenshot showing the user navigating to /usr/local/uniagent/extension/install/telescope/conf and displaying custom_conf.json. | The JSON content shown (flush_metric_batch_size=50, flush_metric_period=60) exactly matches the RST example for updating 50 processes per minute. | The screenshot directly illustrates the Linux step 2 of modifying the configuration file. | No contradiction between the image content and the RST description.","The image does not show the vi editor session itself, only the cat output of the file."
umn/source/faqs/server_monitoring/how_do_i_enable_or_disable_metric_collection_by_modifying_the_configuration_file.rst,How Do I Enable or Disable Metric Collection by Modifying the Configuration File?,en-us_image_0000002461365577.png,screenshot,pass,1.00,Terminal screenshot showing the custom_conf.json file with cpu_usage and cpu_usage_idle set to true | Matches Figure 1 caption: Enabling metric collection for cpu_usage and cpu_usage_idle | File path /usr/local/uniagent/extension/install/telescope/conf matches the Linux path in the RST | Configuration keys telescope.metric.cpu_usage.enable and telescope.metric.cpu_usage_idle.enable match the RST example,
umn/source/faqs/server_monitoring/how_do_i_enable_or_disable_metric_collection_by_modifying_the_configuration_file.rst,How Do I Enable or Disable Metric Collection by Modifying the Configuration File?,en-us_image_0000002462468769.png,screenshot,pass,1.00,Terminal screenshot showing the custom_conf.json file with cpu_usage and cpu_usage_idle set to false | Matches Figure 2 caption: Disabling metric collection for cpu_usage and cpu_usage_idle | File path /usr/local/uniagent/extension/install/telescope/conf matches the Linux path in the RST | Configuration keys telescope.metric.cpu_usage.enable and telescope.metric.cpu_usage_idle.enable match the RST example,
umn/source/getting_started/querying_metrics_of_a_cloud_service.rst,Querying Metrics of a Cloud Service,en-us_image_0000001693016033.png,screenshot,pass,1.00,"Image is labeled as Figure 1 'Viewing graphs' in the RST and shows a monitoring dashboard with multiple metric graphs | Time range buttons (3h, 12h, 1d, 7d), Auto Refresh toggle, Select Metric button, Period dropdown, search box, and View Resource Details button are all visible | Max/Min values are displayed in the upper right corner of each graph panel as described | Six graph panels (Disk Read Bandwidth, Disk Write Bandwidth, Disk Read IOPS, Disk Write IOPS, Average Queue Length, Disk I/O Utilization) match the cloud service monitoring context",The 1h time range button is not clearly visible (possibly cut off on the left) | The exact cloud service name is not visible in the screenshot
umn/source/getting_started/querying_metrics_of_a_cloud_service.rst,Querying Metrics of a Cloud Service,en-us_image_0000001089785046.png,icon,pass,1.00,"Referenced as |image1| in step 7 for enlarging a graph | The icon shows two diagonal arrows pointing outward, which is a standard expand/enlarge symbol | Matches the RST description of clicking an icon in the upper right corner to display an enlarged graph","The icon is very small and low resolution, making fine details hard to discern"
umn/source/getting_started/querying_metrics_of_a_cloud_service.rst,Querying Metrics of a Cloud Service,en-us_image_0000001220441482.png,icon,pass,1.00,"Referenced as |image2| in step 8 for creating an alarm rule | The icon shows a plus sign (+), which is a standard symbol for adding/creating a new item | Matches the RST description of clicking an icon to create an alarm rule for a metric","The icon is very small and low resolution, making fine details hard to discern"
umn/source/getting_started/using_custom_monitoring.rst,Using Custom Monitoring,en-us_image_0167222995.png,icon,pass,0.90,"The image is a small expand/maximize icon (two diagonal outward arrows), matching the |image1| reference used to open metric details. | The RST step 6 instructs users to click this icon in the upper right corner of a graph to view metric details, which aligns with the icon's expand semantics. | The icon is placed within the 'Viewing Custom Monitoring' section, consistent with its purpose of expanding a metric graph. | No contradiction between the icon and the surrounding text.","The image is a generic expand symbol without surrounding UI context, so its exact placement (upper right corner of a graph) cannot be visually confirmed from the image alone. | No label or button chrome is visible, so it is identified purely as an isolated icon."
umn/source/my_dashboards/configuring_a_graph.rst,Configuring a Graph,en-us_image_0000001881909965.png,screenshot,pass,1.00,"Image shows a graph titled 'Elastic IP and Bandwidth-Bandwidths: Inbound Bandwidth' with a context menu open showing Copy, Edit, Delete, and Change Legend Name options. | This matches Figure 1 'Managing a graph' referenced in the line chart configuration procedure (step 6). | The three-dot menu button is highlighted with a red box, consistent with the RST instruction to click the menu to manage the graph. | All menu options (Copy, Edit, Delete, Change Legend Name) match the RST description exactly.",
umn/source/my_dashboards/configuring_a_graph.rst,Configuring a Graph,en-us_image_0000001835931196.png,screenshot,pass,1.00,"Image shows a bar chart titled 'Distributed Cache Service-DCS R...' with 'Top 3 (Descending Order)' label and a 'Metric Sorting' dialog. | The dialog displays Metric, Ops per Second, Quantity (with - 3 + controls), and Sorting Order (Descending/Ascending radio buttons). | This matches Figure 2 'Sorting metrics' referenced in the bar chart configuration procedure (step 6). | The sorting icon is highlighted with a red box, consistent with the RST instruction to click it to configure Quantity and Sorting Order.",
umn/source/my_dashboards/configuring_a_graph.rst,Configuring a Graph,en-us_image_0000001967826817.png,icon,pass,1.00,"Image is a small circular icon with three horizontal dots (ellipsis), representing a 'more options' menu button. | This is |image1| referenced in step 6 of the line chart procedure: 'Click |image1| to copy, delete, or edit the graph, or change its legend name.' | The icon is the standard three-dot menu symbol used to access graph management options. | Consistent with the highlighted button shown in Figure 1.",
umn/source/my_dashboards/configuring_a_graph.rst,Configuring a Graph,en-us_image_0000001744042857.png,icon,pass,1.00,"Image is a small icon depicting a sorting symbol (two vertical bars with a directional arrow). | This is |image2| referenced in step 6 of the bar chart procedure: 'Click |image2| to configure Quantity and Sorting Order.' | The icon visually represents a sort/ordering function, matching its described purpose. | Consistent with the highlighted button shown in Figure 2.",
umn/source/my_dashboards/configuring_a_graph.rst,Configuring a Graph,en-us_image_0000002353540498.png,icon,pass,1.00,"Image is a small circular icon with three horizontal dots (ellipsis), representing a 'more options' menu button. | This is |image3| referenced in step 7 of the bar chart procedure: 'Click |image3| to copy, edit, or delete the graph.' | The icon is the standard three-dot menu symbol used to access graph management options. | Identical in appearance to |image1|, which is consistent since both serve the same purpose (accessing the graph management menu).",
