document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/common_parameters/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/server_monitoring/how_can_i_create_an_agency.rst,How Can I Create an Agency?,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/getting_started/querying_metrics_of_a_cloud_service.rst,Querying Metrics of a Cloud Service,/home/ubuntu/repotesting/cloud-eye/umn/source/_static/images/en-us_image_0000001693016033.png,figure,32,screenshot,True,False,True,"Interactive buttons (e.g., 'Select Metric', time range tabs) are not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,The image shows the detailed monitoring page with graphs as described in step 5. | Hard fail triggered due to button colors not matching the required magenta or plain white.,
umn/source/getting_started/using_custom_monitoring.rst,Using Custom Monitoring,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/my_dashboards/configuring_a_graph.rst,Configuring a Graph,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/my_dashboards/deleting_a_dashboard.rst,Deleting a Dashboard,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/my_dashboards/deleting_a_graph.rst,Deleting a Graph,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/my_dashboards/viewing_a_graph.rst,Viewing a Graph,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/my_dashboards/viewing_my_dashboards.rst,Viewing My Dashboards,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/permissions_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/product_introduction/region_and_az.rst,Region and AZ,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/product_introduction/what_is_cloud_eye.rst,What Is Cloud Eye?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quota_adjustment.rst,Quota Adjustment,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_groups/creating_a_resource_group.rst,Creating a Resource Group,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_groups/managing_resource_groups/deleting_a_resource_group.rst,Deleting a Resource Group,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_groups/viewing_resource_groups/alarm_rules.rst,Alarm Rules,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/resource_groups/viewing_resource_groups/resource_overview.rst,Resource Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/server_monitoring/agent_installation_and_configuration/installing_and_configuring_the_agent_on_a_linux_ecs_or_bms/modifying_the_dns_server_address_and_adding_security_group_rules_linux.rst,Modifying the DNS Server Address and Adding Security Group Rules (Linux),,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/server_monitoring/agent_installation_and_configuration/installing_and_configuring_the_agent_on_a_windows_ecs/modifying_the_dns_server_address_and_adding_security_group_rules_windows.rst,Modifying the DNS Server Address and Adding Security Group Rules (Windows),,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/server_monitoring/agent_installation_and_configuration/installing_the_agents_in_batches_on_linux_ecss.rst,Installing the Agents in Batches on Linux ECSs,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/server_monitoring/viewing_metrics/viewing_process_monitoring_metrics.rst,Viewing Process Monitoring Metrics,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/server_monitoring/viewing_metrics/viewing_server_monitoring_metrics.rst,Viewing Server Monitoring Metrics,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/task_center.rst,Task Center,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/using_the_alarm_function/alarm_rule_management/viewing_details_of_an_alarm_rule.rst,Viewing Details of an Alarm Rule,/home/ubuntu/repotesting/cloud-eye/umn/source/_static/images/en-us_image_0000001425588773.png,figure,22,screenshot,True,False,True,"Interactive controls (search input, icons) are not magenta or plain white, and no magenta elements are present in the UI.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image is a screenshot of the alarm rule details page, matching the RST title and procedure. | It visually confirms the 'Basic Information', 'Monitored Object', and 'Alarm Policy' sections described in the documentation. | Hard fail triggered due to non-magenta/white interactive controls without any magenta UI elements.",The 'Alarm Notifications' section described in the RST is not visible in the screenshot.
umn/source/using_the_alarm_function/one-click_monitoring.rst,One-Click Monitoring,/home/ubuntu/repotesting/cloud-eye/umn/source/_static/images/en-us_image_0000001693305821.png,figure,33,screenshot,True,False,True,"The interactive toggle switch is grey, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image shows the One-Click Monitoring toggle for API Gateway, matching the RST step to enable monitoring. | Red box highlights the toggle control as described in the instructions.",
