document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0277985093.jpg,figure,20,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/attack_defense/blocking_network_attacks.rst,Blocking Network Attacks,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,97,icon,True,False,False,,1,2,2,3,3,0.67,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a generic navigation UI element. | It is referenced in the RST as the button to click in the navigation pane to access Security > Cloud Firewall. | The icon is not specific to blocking network attacks but serves as a navigation entry point. | The visual clearly matches a standard hamburger/menu icon used in cloud management consoles.",No specific Cloud Firewall branding or context is visible in the icon itself. | The icon is generic and could represent any navigation menu in any application.
umn/source/attack_defense/blocking_virus-infected_files.rst,Blocking Virus-infected Files,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,52,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), a standard navigation symbol. | The RST instructs 'click |image1| and choose Security > Cloud Firewall', which is consistent with a hamburger menu opening a navigation pane. | The icon is a generic UI element, not specific to antivirus or Cloud Firewall functionality. | Used in two separate sections (Enabling Antivirus and Modifying the Virus Defense Action) for the same navigation step.",The icon does not show any text or labels specific to Cloud Firewall or Security. | No indication of the navigation pane content that would appear after clicking the icon.
umn/source/attack_defense/ips_rule_management/customizing_ips_signatures.rst,Customizing IPS Signatures,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,154,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small hamburger-style menu icon (three horizontal bars), matching the |image1| reference used in step 2 to open the left navigation pane. | It is an isolated UI symbol/pictogram rather than a full interface screenshot, so it is classified as an icon. | The icon is semantically relevant to the procedure for navigating to Security > Cloud Firewall within the IPS signature customization steps. | No visible interactive button set is present; it is a single symbolic menu toggle.","The image does not show the navigation pane contents (Security, Cloud Firewall) that the text says appear after clicking the icon. | No labels or context are visible in the icon itself to confirm it is the CFW management console menu."
umn/source/attack_defense/ips_rule_management/modifying_the_protection_action_of_an_intrusion_prevention_rule.rst,Modifying the Protection Action of an Intrusion Prevention Rule,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,79,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small hamburger-menu icon (three horizontal lines with a small accent mark on the left), matching the |image1| placeholder used in step 2 of the procedure. | It functions as the navigation entry point to reach Security > Cloud Firewall, which is consistent with the documented login/navigation steps. | It is an isolated symbolic UI graphic rather than a full application or page screenshot, so it is classified as an icon. | The icon is generic and does not depict IPS rule actions, so its topical relevance to the core topic (modifying protection actions) is indirect.",No text labels or menu items are visible on the icon itself. | The image does not show the resulting Cloud Firewall Dashboard or any IPS rule interface. | No visual indication of the specific menu it opens beyond the generic hamburger symbol.
umn/source/attack_defense/viewing_attack_defense_information_on_the_dashboard.rst,Viewing Attack Defense Information on the Dashboard,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,56,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small hamburger-style menu icon (three horizontal bars), matching the RST reference |image1| used in step 2 to open the navigation pane. | It is an isolated symbolic UI graphic, not a full screenshot, so it is classified as an icon. | The icon is semantically relevant to the navigation procedure for reaching Security > Cloud Firewall, though it is generic and not specific to attack defense content. | No contradiction between the icon and the surrounding RST text.",The image does not show the navigation pane or the Security/Cloud Firewall menu items it is meant to open. | No label or context is visible in the icon itself to confirm it is the specific menu control described.
umn/source/configuring_access_control_policies_to_control_traffic/adding_blacklist_or_whitelist_items_to_block_or_allow_traffic.rst,Adding Blacklist or Whitelist Items to Block or Allow Traffic,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,89,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small hamburger/navigation menu icon (three horizontal bars), matching the |image1| reference used in step 2 to open the navigation pane. | It is semantically consistent with the instruction to click the navigation icon and choose Security > Cloud Firewall. | The icon is an isolated UI symbol, not a full screenshot, so it is classified as an icon. | No contradiction between the icon and the surrounding procedure text.",The icon is generic and does not show the 'Security' or 'Cloud Firewall' menu items it is meant to open. | No surrounding console UI is visible to confirm the exact placement of the navigation icon.
umn/source/configuring_access_control_policies_to_control_traffic/domain_name_management/adding_a_domain_name_group.rst,Adding a Domain Name Group,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,115,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small hamburger-menu pictogram (three horizontal bars), an isolated UI symbol, so it is classified as an icon. | In the RST it is used as |image1| in the step 'click |image1| and choose Security > Cloud Firewall', which is consistent with a navigation/menu icon. | The icon is relevant to the navigation steps in the 'Adding a Domain Name Group' section. | The visual content clearly shows a menu icon, providing direct visual evidence. | No contradiction between the icon and the surrounding RST text.","The image is a generic menu icon without labels, so it does not itself confirm the 'Security > Cloud Firewall' path. | No surrounding UI context is visible to confirm it is the navigation pane control."
umn/source/configuring_access_control_policies_to_control_traffic/domain_name_management/deleting_a_domain_name_group.rst,Deleting a Domain Name Group,/home/ubuntu/repotesting/cloud-firewall/umn/source/_static/images/en-us_image_0000001259322747.png,substitution_image,28,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small hamburger-menu icon (three horizontal bars), matching the RST reference |image1| used in step 2 to open the left navigation pane. | It is an isolated UI symbol, not a full screenshot, so it is classified as an icon. | The icon is semantically consistent with the instruction to click it and then choose Security > Cloud Firewall. | No contradiction between the icon and the surrounding text.",The icon does not show the navigation pane contents (Security > Cloud Firewall) that the text describes after clicking it. | No label or context is visible in the image to confirm it specifically opens the Cloud Firewall navigation.
