document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/attack_defense/blocking_network_attacks.rst,Blocking Network Attacks,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/attack_defense/blocking_virus-infected_files.rst,Blocking Virus-infected Files,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/attack_defense/ips_rule_management/customizing_ips_signatures.rst,Customizing IPS Signatures,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/attack_defense/ips_rule_management/modifying_the_protection_action_of_an_intrusion_prevention_rule.rst,Modifying the Protection Action of an Intrusion Prevention Rule,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/attack_defense/viewing_attack_defense_information_on_the_dashboard.rst,Viewing Attack Defense Information on the Dashboard,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/checking_the_dashboard.rst,Checking the Dashboard,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_access_control_policies_to_control_traffic/adding_blacklist_or_whitelist_items_to_block_or_allow_traffic.rst,Adding Blacklist or Whitelist Items to Block or Allow Traffic,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_access_control_policies_to_control_traffic/configuring_protection_rules_to_block_or_allow_traffic/adding_protection_rules_to_block_or_allow_traffic.rst,Adding Protection Rules to Block or Allow Traffic,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
umn/source/configuring_access_control_policies_to_control_traffic/configuring_protection_rules_to_block_or_allow_traffic/example_1_allowing_the_inbound_traffic_from_a_specified_ip_address.rst,Example 1: Allowing the Inbound Traffic from a Specified IP Address,,,,,,,,,,,,,,,fail,backend_error,403,,1,,
