document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id_and_name.rst,Obtaining a Project ID and Name,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendixes/obtaining_a_project_id_and_name.rst,Obtaining a Project ID and Name,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002119077729.png,figure,20,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendixes/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendixes/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002396491200.png,figure,90,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendixes/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002483999810.png,figure,100,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start.rst,Before You Start,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002083557630.png,figure,78,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002083397786.png,figure,62,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002119077481.png,figure,68,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002083557722.png,figure,74,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002119077517.png,substitution_image,345,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,/home/ubuntu/repotesting/cloud-search-service/umn/source/_static/images/en-us_image_0000002083397766.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/examples/creating_a_pay-per-use_elasticsearch_cluster.rst,Creating a Pay-per-Use Elasticsearch Cluster,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
