document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendixes/obtaining_a_project_id_and_name.rst,Obtaining a Project ID and Name,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendixes/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/examples/creating_a_pay-per-use_elasticsearch_cluster.rst,Creating a Pay-per-Use Elasticsearch Cluster,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/using_css_to_accelerate_database_query_and_analysis.rst,Using CSS to Accelerate Database Query and Analysis,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/css_resource_monitoring_and_alarms.rst,CSS Resource Monitoring and Alarms,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/backup_and_restoration/creating_snapshots_to_back_up_data.rst,Creating Snapshots to Back Up Data,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/connecting_to_clusters/connecting_mrs_hive_to_a_cluster.rst,Connecting MRS Hive to a Cluster,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/connecting_to_clusters/connecting_to_a_cluster_using_java/connecting_to_a_cluster_through_spring_boot.rst,Connecting to a Cluster Through Spring Boot,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/connecting_to_clusters/connecting_to_a_cluster_using_java/connecting_to_a_cluster_through_the_elasticsearch_java_api_client.rst,Connecting to a Cluster Through the Elasticsearch Java API Client,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/connecting_to_clusters/connecting_to_a_cluster_using_java/connecting_to_a_cluster_using_the_high_level_rest_client.rst,Connecting to a Cluster Using the High Level REST Client,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/connecting_to_clusters/connecting_to_a_cluster_using_java/connecting_to_a_cluster_using_the_low_level_rest_client.rst,Connecting to a Cluster Using the Low Level REST Client,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/connecting_to_clusters/connecting_to_a_cluster_using_php.rst,Connecting to a Cluster Using PHP,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/core_service_enhancements/configuring_decoupled_storage_and_compute.rst,Configuring Decoupled Storage and Compute,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/core_service_enhancements/configuring_enhanced_aggregation.rst,Configuring Enhanced Aggregation,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/core_service_enhancements/configuring_query_traffic_isolation.rst,Configuring Query Traffic Isolation,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/core_service_enhancements/configuring_read_write_splitting_between_leader_and_follower.rst,Configuring Read/Write Splitting Between Leader and Follower,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/core_service_enhancements/enabling_the_index_recycle_bin.rst,Enabling the Index Recycle Bin,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/core_service_enhancements/switching_between_hot_and_cold_data.rst,Switching Between Hot and Cold Data,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/core_service_enhancements/tracking_query_resource_consumption.rst,Tracking Query Resource Consumption,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/creating_a_cluster.rst,Creating a Cluster,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/ingesting_data/ingesting_data_using_self-managed_logstash.rst,Ingesting Data Using Self-Managed Logstash,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/managing_alarms/configuring_open_distro_alert_notifications_via_smn.rst,Configuring Open Distro Alert Notifications (via SMN),,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/managing_alarms/synchronizing_alerts_and_metrics_to_prometheus.rst,Synchronizing Alerts and Metrics to Prometheus,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/managing_cluster_changes/changing_the_security_mode.rst,Changing the Security Mode,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/elasticsearch/managing_cluster_changes/upgrading_the_cluster_version.rst,Upgrading the Cluster Version,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/elasticsearch/managing_clusters/managing_failed_tasks_for_clusters.rst,Managing Failed Tasks for Clusters,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/elasticsearch/managing_clusters/viewing_cluster_details.rst,Viewing Cluster Details,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/elasticsearch/managing_logs/querying_logs.rst,Querying Logs,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/managing_the_index_lifecycle/automating_index_rollover_using_ism.rst,Automating Index Rollover Using ISM,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/managing_the_index_lifecycle/configuring_index_state_management_ism_policies.rst,Configuring Index State Management (ISM) Policies,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/managing_the_index_lifecycle/decoupling_storage_and_compute_using_ism.rst,Decoupling Storage and Compute Using ISM,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/monitoring/configuring_index-level_monitoring.rst,Configuring Index-Level Monitoring,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/elasticsearch/monitoring/using_cloud_eye_to_monitor_clusters.rst,Using Cloud Eye to Monitor Clusters,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
