document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/management_operations/backup/deleting_a_backup.rst,Deleting a Backup,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,43,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small location pin icon used as |image1| for region/project selection in step 1b | Icon is consistent with a region selector in a management console | Relevant to the login/navigation procedure but not directly about backup deletion | No contradiction with the RST description of clicking the icon to select region and project,"Icon is very small and low-resolution, making fine details hard to discern | No surrounding UI context visible to confirm it is in the upper left corner of the console"
umn/source/management_operations/backup/managing_backup_tags.rst,Managing Backup Tags,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,83,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to click it in the upper left corner to select a region and project. | It is a small isolated UI symbol (icon), not a full screenshot. | The icon is relevant to the navigation step of the procedure but not directly to backup tag management. | The visual clearly shows a map/location pin symbol, matching the context of region selection.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it is in the upper left corner of a console."
umn/source/management_operations/backup/managing_backup_tags.rst,Managing Backup Tags,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148563132.png,substitution_image,84,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a downward chevron/arrow icon, consistent with the RST instruction to click it on the left of a backup name to view details. | It is a small isolated UI symbol (icon), not a full screenshot. | The icon is relevant to the step of viewing backup details before managing tags, but not directly about tag management itself. | The visual clearly shows a down-pointing chevron, a common UI affordance for expanding or viewing details.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm it appears next to a backup name in a list."
umn/source/management_operations/backup/using_backups_to_create_images.rst,Using Backups to Create Images,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,49,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker symbol, matching the isolated UI symbol definition of an icon. | In the RST it is referenced as |image1| in Procedure step 1b: 'Click |image1| in the upper left corner of the management console and select a region and a project.' | A location pin is semantically appropriate for selecting a region/project, so it aligns with the surrounding instruction. | The icon is part of the login/region-selection procedure rather than the core backup-to-image topic, so topic relevance is moderate. | No contradiction between the icon and the text description.","The image is a generic location pin without any label, so it cannot be confirmed to be the exact console control shown in the live UI. | No surrounding console interface is visible to verify the icon's placement in the upper-left corner."
umn/source/management_operations/backup_policies/associating_ecss_with_a_backup_policy.rst,Associating ECSs with a Backup Policy,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,48,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small location pin icon used in step 1b to select region and project in the management console | The icon is a standard UI symbol for region/location selection, consistent with the RST instruction to 'select a region and a project' | It is a navigation element in the login procedure, not directly related to the core topic of associating ECSs with a backup policy","The icon is very small and low-resolution, making it difficult to confirm exact visual details | No surrounding UI context is visible to confirm its placement in the upper left corner of the console"
umn/source/management_operations/backup_policies/editing_a_backup_policy.rst,Editing a Backup Policy,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,49,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small location-pin icon used as a region/project selector in the management console | Referenced in RST step 1b: 'Click |image1| in the upper left corner of the management console and select a region and a project' | Part of the login/navigation procedure rather than the core backup policy editing action | Icon is consistent with a standard region selector pictogram in cloud management consoles | No contradictions with the RST text,"Icon is very small and low-resolution, making it difficult to confirm exact visual details | The surrounding UI context (upper left corner placement) is not visible in the isolated icon image"
umn/source/management_operations/backup_policies/enabling_and_disabling_a_backup_policy.rst,Enabling and Disabling a Backup Policy,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,29,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin symbol, matching the RST reference |image1| used in step 1b to select a region and project. | It is an isolated UI symbol (icon), not a full screenshot or page interface. | The icon semantically aligns with the 'select a region and a project' action described in the Procedure section. | No contradiction between the image and the surrounding text.","The image does not show the surrounding management console UI, so its exact placement in the upper-left corner cannot be visually confirmed. | No label or text accompanies the icon to confirm it is the region/project selector."
umn/source/management_operations/backup_policies/managing_backup_policy_tags.rst,Managing Backup Policy Tags,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,70,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin pictogram, matching the RST reference |image1| used to select a region and project in the upper-left corner. | It is a navigation/region selector icon, only indirectly related to the backup policy tags topic but part of the login procedure. | The visual clearly shows an isolated map-marker symbol with no UI interface, consistent with an icon.","No surrounding console UI is shown, so the exact placement in the upper-left corner cannot be visually confirmed. | The icon is monochrome and small, so its exact label or tooltip is not visible."
umn/source/management_operations/backup_policies/managing_backup_policy_tags.rst,Managing Backup Policy Tags,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148563132.png,substitution_image,71,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small downward chevron/arrow pictogram, matching the RST reference |image2| clicked to reveal the Tags tab of a backup policy. | It is a dropdown/expand control symbol, part of the procedure for accessing the Tags panel. | The visual clearly shows an isolated chevron symbol with no full interface, consistent with an icon.","No surrounding table or Tags panel is shown, so the exact context of the click cannot be visually confirmed. | The icon is small and low-resolution, so any associated label is not visible."
umn/source/management_operations/using_backups_to_restore_ecss.rst,Using Backups to Restore ECSs,/home/ubuntu/repotesting/cloud-server-backup-service/umn/source/_static/images/en-us_image_0148411635.png,substitution_image,75,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location pin / map marker icon used as a region and project selector in the management console. | The RST references this icon in step 1b: 'Click |image1| in the upper left corner of the management console and select a region and a project.' | The icon is a generic UI symbol for region selection, which is consistent with its described purpose in the procedure. | It is a supporting element in the login procedure rather than the main topic of the document (restoring ECSs).","The icon is very small and low-resolution, making it difficult to confirm exact visual details beyond its general shape as a location pin. | No surrounding UI context is visible to confirm its placement in the upper left corner of the console."
