document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002471373426.png,figure,29,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002471213444.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/application_examples/security_auditing.rst,Security Auditing,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656750031.png,substitution_image,53,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a location pin / map marker pictogram, an isolated symbolic icon. | RST step 2 uses |image1| to 'select the desired region and project', which a location icon appropriately represents. | The icon is consistent with the CTS console navigation procedure and does not contradict the text.","No surrounding UI context is shown; the icon is isolated, so its exact placement in the console cannot be verified."
umn/source/application_examples/security_auditing.rst,Security Auditing,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656750027.png,substitution_image,54,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a three-line hamburger menu pictogram, an isolated symbolic icon. | RST step 3 uses |image2| to open the menu and choose 'Management & Deployment > Cloud Trace Service', which a hamburger menu icon appropriately represents. | The icon is consistent with the CTS console navigation procedure and does not contradict the text.","No surrounding UI context is shown; the icon is isolated, so its exact placement in the console cannot be verified."
umn/source/configuring_key_event_notifications.rst,Configuring Key Event Notifications,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656630097.png,substitution_image,145,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), a standard navigation symbol | RST references it as the button to click in the upper left corner to access Management & Deployment > Cloud Trace Service | It is a generic UI navigation element, not specific to key event notifications | The icon is consistent with the described action of opening a navigation menu",No specific CTS branding or context visible in the icon itself | Cannot confirm it is specifically the upper-left menu button of the Huawei Cloud console from the icon alone
umn/source/configuring_key_event_notifications.rst,Configuring Key Event Notifications,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656750047.png,substitution_image,146,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), identical in appearance to image1 | RST references it in the Managing Key Event Notifications section as the button to click in the upper left corner | It serves the same navigation purpose as image1 but in a different section of the document | The icon is consistent with the described action of opening a navigation menu",No specific CTS branding or context visible in the icon itself | Cannot confirm it is specifically the upper-left menu button of the Huawei Cloud console from the icon alone
umn/source/management_trackers/configuring_a_tracker.rst,Configuring a Tracker,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656750069.png,substitution_image,105,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin icon, consistent with the RST instruction to click it to select the desired region and project. | It is a generic UI navigation icon, not specific to the tracker configuration topic, so topic match is moderate. | The RST explicitly references this image in step 2 of the Procedure for region/project selection, which matches the icon's purpose. | The visual clearly shows a location pin symbol, providing strong visual evidence for its role as a region selector.",No surrounding UI context is visible; the icon is shown in isolation without the console header or region dropdown.
umn/source/management_trackers/configuring_a_tracker.rst,Configuring a Tracker,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656750065.png,substitution_image,106,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger-menu icon (three horizontal lines), consistent with the RST instruction to click it to open the navigation menu and choose Management & Deployment > Cloud Trace Service. | It is a generic UI navigation icon, not specific to the tracker configuration topic, so topic match is moderate. | The RST explicitly references this image in step 3 of the Procedure for opening the service navigation, which matches the icon's purpose. | The visual clearly shows three horizontal bars forming a standard hamburger menu symbol, providing strong visual evidence.",No surrounding UI context is visible; the icon is shown in isolation without the console header or navigation panel.
umn/source/permissions_management.rst,Permissions Management,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656630065.png,figure,25,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/querying_traces/querying_archived_traces.rst,Querying Archived Traces,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002626510656.png,substitution_image,104,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,Hamburger menu icon (three horizontal lines) used as |image1| in step 2 to open the navigation menu | Matches the RST instruction 'Click |image1| in the upper left corner and choose Management & Deployment > Cloud Trace Service' | Generic UI navigation icon; no specific CTS content visible,No service-specific content visible; it is a generic menu toggle icon
umn/source/querying_traces/querying_archived_traces.rst,Querying Archived Traces,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002626350754.png,substitution_image,105,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,Hamburger menu icon (three horizontal lines) used as |image2| in step 2 of the LTS section | Matches the RST instruction 'Click |image2| in the upper left corner and choose Management & Deployment > Cloud Trace Service' | Identical in appearance to |image1|; generic navigation icon,No service-specific content visible; it is a generic menu toggle icon
umn/source/querying_traces/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656630129.png,substitution_image,58,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Hamburger menu icon (three horizontal lines) used in step 2 to open the navigation menu. | Generic UI symbol, not specific to trace content but consistent with the navigation instruction.",No surrounding console context visible to confirm it is the upper-left menu.
umn/source/querying_traces/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002626510698.png,substitution_image,59,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Circular refresh/reload icon matching step 6 'Click to view the latest information about traces'. | Generic symbol consistent with a refresh action on the trace list.,No label or surrounding UI to confirm exact placement.
umn/source/querying_traces/querying_real-time_traces.rst,Querying Real-Time Traces,/home/ubuntu/repotesting/cloud-trace-service/umn/source/_static/images/en-us_image_0000002656630127.jpg,substitution_image,60,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Downward chevron/expand icon matching step 7 'Click on the left of a trace to expand its details'. | Generic expand symbol consistent with the described action.,No surrounding trace row visible to confirm context.
