document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001466731780.png,figure,31,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/advanced_queries/viewing_a_query.rst,Viewing a Query,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,36,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), referenced in step 2 as the element to click in the upper left corner | It is a generic navigation icon, not directly depicting the 'viewing a query' action but part of the navigation procedure | The icon is small and symbolic, consistent with its use as a UI reference in the procedure steps",The icon does not show the Management & Deployment or Config menu items mentioned in the same step | No context of the upper-left corner placement is visible in the isolated icon
umn/source/permissions_management/creating_an_iam_user_and_granting_permissions_to_access_config.rst,Creating an IAM User and Granting Permissions to Access Config,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001842296713.png,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/resource_compliance/rules/adding_a_custom_rule.rst,Adding a Custom Rule,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000002015407113.png,substitution_image,193,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small hamburger/menu icon, consistent with |image1| referenced in step 2 of 'Creating a Function with FunctionGraph' ('Click |image1| in the upper left corner'). | It is a generic navigation menu symbol rather than a topic-specific graphic. | No contradiction with the RST, which only uses it as a navigation cue.","The icon is low-resolution and isolated, so the surrounding service list (Compute > FunctionGraph) is not visible."
umn/source/resource_compliance/rules/adding_a_custom_rule.rst,Adding a Custom Rule,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,194,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small hamburger/menu icon, consistent with |image2| referenced in step 2 of 'Adding a Custom Rule' ('Click |image2| in the upper left corner'). | It is a generic navigation menu symbol rather than a topic-specific graphic. | No contradiction with the RST, which only uses it as a navigation cue to reach Config.","The icon is low-resolution and isolated, so the 'Management & Deployment > Config' menu is not visible."
umn/source/resource_compliance/rules/editing_a_rule.rst,Editing a Rule,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,129,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small hamburger menu icon (three horizontal lines) | It is referenced in the RST as the icon to click in the upper left corner for navigation | The icon is used identically across all four sections (image1 through image4) | It is a navigation element, not directly illustrating the rule editing actions","The icon is very small and low-resolution, making it hard to confirm exact appearance | No surrounding UI context is visible to confirm its placement in the upper left corner"
umn/source/resource_compliance/viewing_noncompliant_resources.rst,Viewing Noncompliant Resources,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,34,icon,True,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), referenced in the RST as |image1| in step 2: 'Click |image1| in the upper left corner.' | It is a small symbolic graphic used as a navigation trigger, consistent with its role in the procedure. | The icon is relevant to the navigation steps for reaching the Resource Compliance page but does not directly depict the non-compliant resources view itself.","The icon is very small and low-resolution, making fine details hard to discern. | No surrounding UI context is visible to confirm its exact placement in the upper-left corner of the console."
umn/source/resource_list/viewing_resource_changes.rst,Viewing Resource Changes,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,41,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small hamburger menu icon (three horizontal lines) used as the navigation trigger in step 2 of the procedure | Referenced in RST as |image1| for clicking in the upper left corner to access Management & Deployment > Config | Icon is consistent with a standard service navigation menu button in a management console | Does not directly illustrate the main topic of viewing resource changes but supports the navigation step,"Icon is very small and low-resolution, making it difficult to confirm exact visual details | No surrounding UI context visible to confirm it is specifically the upper-left navigation menu"
umn/source/resource_list/viewing_resource_compliance_data.rst,Viewing Resource Compliance Data,/home/ubuntu/repotesting/config/umn/source/_static/images/en-us_image_0000001711484518.png,substitution_image,34,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Hamburger menu icon (three horizontal lines) used as the navigation trigger in step 2 | Matches the RST reference 'Click |image1| in the upper left corner' for accessing Management & Deployment > Config | Generic navigation icon, not specific to the resource compliance topic | Image is very small and low resolution, making fine details hard to discern",Icon is too small to confirm exact styling or context | No surrounding UI visible to confirm it is in the upper left corner of the console
