document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000001828945753.png,figure,23,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/dataarts_studio_instance_id_and_workspace_id.rst,DataArts Studio Instance ID and Workspace ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/dataarts_studio_instance_id_and_workspace_id.rst,DataArts Studio Instance ID and Workspace ID,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000001716158249.png,figure,21,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000001668278494.png,figure,82,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000001716290189.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/dataarts_factory_apis/script_development_apis/executing_a_script.rst,Executing a Script,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/dataarts_factory_apis/script_development_apis/executing_a_script.rst,Executing a Script,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000001668210950.png,substitution_image,107,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/getting_started/beginners_dli-powered_data_development_based_on_e-commerce_bi_reports/step_2_develop_data.rst,Step 2: Develop Data,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269210029.png,substitution_image,216,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"A small yellow circular plus icon used inline as |image1| for connecting/dragging nodes in the job orchestration step. | It is an isolated symbolic graphic, not a full UI screenshot. | Relevant to the 'Developing and Scheduling a Job' section where nodes are connected.",No surrounding UI context visible; only the isolated icon is shown.
umn/source/getting_started/beginners_dli-powered_data_development_based_on_e-commerce_bi_reports/step_2_develop_data.rst,Step 2: Develop Data,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269210073.png,substitution_image,217,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"A small blue play-triangle icon used inline as |image2| for testing the job. | It is an isolated symbolic graphic, not a full UI screenshot. | Relevant to the step 'Click |image2| to test the job'.",No surrounding UI context visible; only the isolated icon is shown.
umn/source/getting_started/beginners_dli-powered_data_development_based_on_e-commerce_bi_reports/step_2_develop_data.rst,Step 2: Develop Data,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269129929.png,substitution_image,218,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"A small blue cloud-with-up-arrow icon used inline as |image3| for the Submit action. | It is an isolated symbolic graphic, not a full UI screenshot. | Relevant to the step 'Click Save, Submit (|image3|)'.",No surrounding UI context visible; only the isolated icon is shown.
umn/source/getting_started/beginners_dli-powered_data_development_based_on_e-commerce_bi_reports/step_2_develop_data.rst,Step 2: Develop Data,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002234250604.png,substitution_image,219,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"A small blue document-with-play-circle icon used inline as |image4| for the Execute action. | It is an isolated symbolic graphic, not a full UI screenshot. | Relevant to the step 'and Execute (|image4|)'.",No surrounding UI context visible; only the isolated icon is shown.
umn/source/getting_started/experienced_users_mrs_hive-powered_data_governance_based_on_taxi_trip_data/step_5_design_data_architecture.rst,Step 5: Design Data Architecture,,,,,,,,,,,,,,,fail,backend_error,,,,,2,,
umn/source/getting_started/experienced_users_mrs_hive-powered_data_governance_based_on_taxi_trip_data/step_6_develop_data.rst,Step 6: Develop Data,,,,,,,,,,,,,,,warning,,API response did not contain valid parsed JSON.,,200,length,1,,
umn/source/getting_started/novices_dws-powered_data_integration_and_development_based_on_movie_scores/step_3_develop_data.rst,Step 3: Develop Data,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002234250848.png,substitution_image,240,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"A small yellow circular plus symbol, used in the RST as |image1| for selecting/dragging nodes in the job canvas. | Generic add/plus icon; semantically plausible for adding nodes but not specific to the job orchestration.","Icon is low-resolution and isolated, so its exact UI context is not visible."
umn/source/service_overview/functions.rst,Functions,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269108049.png,figure,57,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/service_overview/functions.rst,Functions,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269188109.png,figure,96,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/service_overview/functions.rst,Functions,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002234228716.png,figure,146,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/service_overview/functions.rst,Functions,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269108033.png,figure,183,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
