document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/dataarts_studio_instance_id_and_workspace_id.rst,DataArts Studio Instance ID and Workspace ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/dataarts_factory_apis/script_development_apis/executing_a_script.rst,Executing a Script,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/consultation_and_billing/can_i_delete_dataarts_studio_workspaces.rst,Can I Delete DataArts Studio Workspaces?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/consultation_and_billing/what_should_i_do_if_a_user_cannot_view_workspaces_after_i_have_assigned_the_required_policy_to_the_user.rst,What Should I Do If a User Cannot View Workspaces After I Have Assigned the Required Policy to the User?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/dataarts_factory/how_do_i_check_which_jobs_invoke_a_cdm_job.rst,How Do I Check Which Jobs Invoke a CDM Job?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/dataarts_factory/how_do_i_configure_notifications_for_all_jobs.rst,How Do I Configure Notifications for All Jobs?,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002234236264.png,figure,23,screenshot,True,False,True,"The 'OK' button is red, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"The image displays the 'Configure Notification' dialog box, which directly corresponds to Step 3 in the RST text. | The 'OK' button is colored red, violating the mandatory rule that interactive buttons must be magenta or plain white.",
umn/source/faqs/dataarts_factory/what_are_the_differences_and_relationships_between_environment_variables_job_parameters_and_script_parameters.rst,"What Are the Differences and Relationships Between Environment Variables, Job Parameters, and Script Parameters?",/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002234076288.png,figure,26,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows the 'Environment Variable' configuration UI, matching the RST section on environment variables. | Visible fields for variables and constants align with the RST description of workspace environment variables.",
umn/source/faqs/dataarts_factory/what_are_the_differences_and_relationships_between_environment_variables_job_parameters_and_script_parameters.rst,"What Are the Differences and Relationships Between Environment Variables, Job Parameters, and Script Parameters?",/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269195581.png,figure,37,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays the 'Parameter Setup' UI for a job, corresponding to the RST section on job parameters. | The 'Variable Parameter' and 'Constant Parameter' sections match the RST explanation of job-level parameters.",
umn/source/faqs/dataarts_factory/what_are_the_differences_and_relationships_between_environment_variables_job_parameters_and_script_parameters.rst,"What Are the Differences and Relationships Between Environment Variables, Job Parameters, and Script Parameters?",/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269195577.png,figure,50,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a SQL script editor with a parameter input field at the bottom, matching the RST description of configuring script parameters for independent execution. | The SQL code uses a parameter variable, consistent with the RST example.",
umn/source/faqs/dataarts_factory/what_are_the_differences_and_relationships_between_environment_variables_job_parameters_and_script_parameters.rst,"What Are the Differences and Relationships Between Environment Variables, Job Parameters, and Script Parameters?",/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269115493.png,figure,57,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays job properties with a 'Script Parameter' configuration section, aligning with the RST section on configuring script parameters via job scheduling. | The UI shows how parameters are assigned based on node attributes, as described in the RST.",
umn/source/faqs/dataarts_factory/what_should_i_do_if_a_parameter_value_in_a_request_header_contains_more_than_512_characters.rst,What Should I Do If a Parameter Value in a Request Header Contains More Than 512 Characters?,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269115709.png,figure,16,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the 'Request Header' dialog with the 512/512 character limit, matching the symptom description.",
umn/source/faqs/dataarts_factory/what_should_i_do_if_a_parameter_value_in_a_request_header_contains_more_than_512_characters.rst,What Should I Do If a Parameter Value in a Request Header Contains More Than 512 Characters?,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269115725.png,figure,29,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image illustrates step 1 of the solution, showing the request header parameter configured with the variable '{para}'.",
umn/source/faqs/dataarts_factory/what_should_i_do_if_a_parameter_value_in_a_request_header_contains_more_than_512_characters.rst,What Should I Do If a Parameter Value in a Request Header Contains More Than 512 Characters?,/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002234076524.png,figure,41,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image illustrates step 2 of the solution, showing the 'Parameter Setup' dialog with the variable 'para' and its value.",
umn/source/faqs/dataarts_factory/what_should_i_do_if_a_shell_python_node_fails_and_error_session_is_down_is_reported.rst,"What Should I Do If a Shell/Python Node Fails and Error ""session is down"" Is Reported?",/home/ubuntu/repotesting/data-arts-studio/umn/source/_static/images/en-us_image_0000002269195801.png,substitution_image,99,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image displays the `sshd_config` parameters `ClientAliveInterval` and `ClientAliveCountMax` exactly as described in the 'Possible Causes' section.,
