document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0191919629.jpg,figure,55,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0000001782070012.png,figure,23,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0000001135802808.png,figure,86,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0170647338.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/dis_sdk_usage_guide/configuring_sample_projects.rst,Configuring Sample Projects,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0124306705.png,figure,62,screenshot,True,False,False,,1,0,1,1,0,0.22,fail,,,,200,stop,1,"RST labels this as Figure 3 'Java Build Path' showing Libraries tab and Add External JARs step | Image actually shows the Import Projects dialog, identical to Figure 1, not the Java Build Path page | No Libraries tab, no Add External JARs button, no JAR Selection dialog visible | Clear contradiction between the image content and the RST description for this figure",Java Build Path page with Libraries tab is not shown | Add External JARs button is not visible | JAR Selection dialog is not visible | dis-sdk folder path selection is not shown
umn/source/faqs/general_questions/what_is_dis.rst,What Is DIS?,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0000001199305476.png,figure,17,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/step_1_creating_a_dis_stream.rst,Step 1: Creating a DIS Stream,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0120206164.png,substitution_image,87,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small location pin/marker icon, consistent with the RST reference to clicking an icon to select a region and project | The icon is used as |image1| in step 2 of the procedure: 'Click |image1| in the upper left corner of the page and select a region and project' | A location pin is semantically appropriate for region selection in a cloud console | The icon is small and isolated, fitting the 'icon' classification","No surrounding UI context is visible to confirm its exact placement in the upper left corner | The icon is very small, making it difficult to assess fine visual details"
umn/source/managing_a_dump_task/creating_a_dump_task.rst,Creating a Dump Task,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0238223179.png,substitution_image,157,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small blue location-pin / map-marker symbol, consistent with a region/project selector icon. | In the RST, |image1| and |image2| (both this file) are used in the step 'Click ... in the upper left corner of the page and select a region and project', which matches a location-pin selector. | The icon is an isolated UI symbol, not a full screenshot, so it is classified as an icon. | No contradiction between the icon and the surrounding navigation instructions.","The image is a generic location pin; the surrounding console UI (upper-left corner placement, region/project menu) is not visible in the image itself. | No label or text in the image confirms it is specifically the region/project selector."
umn/source/managing_dis_streams/deleting_a_stream.rst,Deleting a Stream,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0120206196.png,substitution_image,34,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Small location pin / map marker icon in blue | Referenced in RST step 2 as the element to click to select a region and project | A location pin icon is semantically appropriate for a region/project selector | Icon is small and isolated, consistent with an inline UI symbol",No surrounding UI context visible to confirm exact placement in the upper left corner of the page
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0000001623208020.png,substitution_image,99,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location/region pin icon, consistent with the RST instruction 'Click |image1| in the upper left corner of the page and select a region and project.' | It serves as a region/project selector icon in the DIS console navigation. | The icon is generic and does not provide specific detail about the scaling operation itself. | No contradictions with the RST text.",The icon is too small to show any surrounding UI context such as the upper-left corner placement or the region/project selection dropdown.
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0000001671447933.png,substitution_image,100,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small pencil/edit icon, consistent with the RST instruction 'Click |image2| next to Auto Scaling.' | It represents the edit action to open the Auto-Scaling Parameter dialog. | The icon is generic and does not show the surrounding Auto Scaling row context. | No contradictions with the RST text.",The icon is too small to show the 'Auto Scaling' label or the stream details page context it appears on.
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0120206196.png,substitution_image,101,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location/region pin icon, consistent with the RST instruction 'Click |image3| in the upper left corner of the page and select a region and project.' under Manual Scaling. | It serves the same region/project selector function as in the Auto Scaling section. | The icon is generic and does not provide specific detail about the manual scaling operation. | No contradictions with the RST text.",The icon is too small to show any surrounding UI context such as the Stream Management page or the Scale Up/Down button.
umn/source/managing_dis_streams/scaling_up_down_a_stream.rst,Scaling Up/Down a Stream,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0120396589.png,substitution_image,102,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small blue location/region pin icon, consistent with the RST instruction 'Click |image4| in the upper left corner of the page and select a region and project.' under Viewing Scale-Up/Down Logs. | It serves the same region/project selector function as in other sections. | The icon is generic and does not provide specific detail about the log viewing operation. | No contradictions with the RST text.",The icon is too small to show any surrounding UI context such as the Scale-Up/Down Logs tab or the stream details page.
umn/source/managing_dis_streams/viewing_stream_monitoring_metrics.rst,Viewing Stream Monitoring Metrics,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0120206196.png,substitution_image,68,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select a region and a project.' | The image is a small location pin/marker icon, consistent with a region/project selector in a cloud console UI. | It is a small symbolic graphic (icon) rather than a full screenshot. | The icon is relevant to the navigation instructions but does not show the full context of the upper-left corner area.",The surrounding UI context (upper left corner of the console) is not visible; only the isolated icon is shown. | No text label is visible on the icon to confirm it is specifically the region/project selector.
umn/source/managing_dis_streams/viewing_stream_monitoring_metrics.rst,Viewing Stream Monitoring Metrics,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0127307205.jpg,substitution_image,69,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Referenced as |image2| in the Time Range table row: 'Click |image2| next to Custom, and then set the start time and end time.' | The image is a small calendar icon, consistent with a date/time picker control. | It is a small symbolic graphic (icon) used to indicate the custom time range selection action. | The icon semantically matches the described action of setting start and end times.",The surrounding UI context (the 'Custom' label and time range area) is not visible; only the isolated icon is shown. | No text or additional UI elements are visible to confirm the exact placement next to 'Custom'.
umn/source/overview/what_is_dis.rst,What Is DIS?,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0164044795.png,figure,16,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
