document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/authentication.rst,Authentication,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/dis_sdk_usage_guide/configuring_sample_projects.rst,Configuring Sample Projects,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0124306701.png,figure,31,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image correctly displays the 'Import Projects' dialog box referenced in step 2c. | The UI layout, project list, and navigation buttons match the description of importing an existing project into the workspace.",
umn/source/dis_sdk_usage_guide/configuring_sample_projects.rst,Configuring Sample Projects,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0000001499513972.png,figure,48,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image correctly shows the 'Resource' properties page referenced in step 3a. | It clearly displays the 'Text file encoding' setting with 'UTF-8' selected, directly matching the configuration instruction.",
umn/source/dis_sdk_usage_guide/configuring_sample_projects.rst,Configuring Sample Projects,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0124306705.png,figure,62,screenshot,True,False,False,,1,0,1,1,1,0.27,fail,,200,completed,1,"The image shows the 'Import Projects' dialog, which is identical to Figure 1. | The RST text references this image for step 3b, which describes opening the 'JAR Selection' dialog within the 'Java Build Path' properties. | The visual content does not match the described step or the expected figure caption.",The actual 'JAR Selection' or 'Java Build Path' dialog is not shown.
umn/source/faqs/dump_questions/how_does_a_schema_support_default_fields_or_null_fields.rst,How Does a Schema Support Default Fields or NULL Fields?,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0200877126.png,figure,12,screenshot,True,False,True,"Interactive buttons are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image displays the 'Source Data Schema' UI. | Shows the JSON input and generated Avro schema with 'type': 'string'. | Illustrates the example of not supporting default fields as described in the text. | Hard fail triggered due to non-magenta/white interactive buttons.,
umn/source/faqs/dump_questions/how_does_a_schema_support_default_fields_or_null_fields.rst,How Does a Schema Support Default Fields or NULL Fields?,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0200879188.png,figure,23,screenshot,True,False,True,"Interactive buttons are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,"Image displays the 'Source Data Schema' UI with the 'Null' checkbox checked. | Shows the generated Avro schema with 'type': ['null', 'string'] and 'default': null. | Illustrates the example of supporting default fields as described in the text. | Hard fail triggered due to non-magenta/white interactive buttons.",
umn/source/faqs/general_questions/what_is_dis.rst,What Is DIS?,/home/ubuntu/repotesting/data-ingestion-service/umn/source/_static/images/en-us_image_0000001199305476.png,figure,17,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a diagram illustrating the data flow process described in the text. | It accurately depicts data sources sending records to DIS, which transforms them and forwards them to OBS. | The visual directly supports the 'Data Flows' section of the document.",
