document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
dev_guide/source/flink_jar_jobs/flink_jar_job_examples.rst,Flink Jar Job Examples,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
dev_guide/source/flink_jar_jobs/flink_jar_job_examples.rst,Flink Jar Job Examples,/home/ubuntu/repotesting/data-lake-insight/umn/source/_static/images/en-us_image_0000001618446021.png,figure,225,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
dev_guide/source/flink_jar_jobs/flink_jar_job_examples.rst,Flink Jar Job Examples,/home/ubuntu/repotesting/data-lake-insight/umn/source/_static/images/en-us_image_0000001102485176.png,substitution_image,238,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_elasticsearch.rst,Reading Data from Kafka and Writing Data to Elasticsearch,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_elasticsearch.rst,Reading Data from Kafka and Writing Data to Elasticsearch,/home/ubuntu/repotesting/data-lake-insight/umn/source/_static/images/en-us_image_0000001318422061.png,figure,47,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_gaussdbdws.rst,Reading Data from Kafka and Writing Data to GaussDB(DWS),,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_gaussdbdws.rst,Reading Data from Kafka and Writing Data to GaussDB(DWS),/home/ubuntu/repotesting/data-lake-insight/umn/source/_static/images/en-us_image_0000001318262121.png,figure,48,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_rds.rst,Reading Data from Kafka and Writing Data to RDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_rds.rst,Reading Data from Kafka and Writing Data to RDS,/home/ubuntu/repotesting/data-lake-insight/umn/source/_static/images/en-us_image_0000001318102237.png,figure,61,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_mysql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from MySQL CDC and Writing Data to GaussDB(DWS),,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_mysql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from MySQL CDC and Writing Data to GaussDB(DWS),/home/ubuntu/repotesting/data-lake-insight/umn/source/_static/images/en-us_image_0000001269022192.png,figure,32,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
