document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
dev_guide/source/flink_jar_jobs/flink_jar_job_examples.rst,Flink Jar Job Examples,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_elasticsearch.rst,Reading Data from Kafka and Writing Data to Elasticsearch,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_gaussdbdws.rst,Reading Data from Kafka and Writing Data to GaussDB(DWS),,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_kafka_and_writing_data_to_rds.rst,Reading Data from Kafka and Writing Data to RDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_mysql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from MySQL CDC and Writing Data to GaussDB(DWS),,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/flink_opensource_sql_jobs/reading_data_from_postgresql_cdc_and_writing_data_to_gaussdbdws.rst,Reading Data from PostgreSQL CDC and Writing Data to GaussDB(DWS),,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/spark_jar_jobs/using_spark_jar_jobs_to_read_and_query_obs_data.rst,Using Spark Jar Jobs to Read and Query OBS Data,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_css/pyspark_example_code.rst,PySpark Example Code,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_css/scala_example_code.rst,Scala Example Code,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_gaussdbdws/pyspark_example_code.rst,PySpark Example Code,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
dev_guide/source/spark_jar_jobs/using_spark_jobs_to_access_data_sources_of_datasource_connections/connecting_to_gaussdbdws/scala_example_code.rst,Scala Example Code,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
