document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001782191918.png,figure,36,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001782032750.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/getting_started/task_creation_process.rst,Task Creation Process,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/getting_started/task_creation_process.rst,Task Creation Process,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000002087555974.png,figure,12,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/getting_started/task_creation_process.rst,Task Creation Process,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000002087715866.png,figure,32,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/getting_started/task_creation_process.rst,Task Creation Process,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000002087555982.png,figure,53,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758430137.jpg,figure,100,screenshot,True,False,False,,2,2,2,3,1,0.67,partial,,,,200,stop,1,"Image shows SQL Server Agent > Jobs list with a 'Script Job as > CREATE To > New Query Editor Window' context menu. | This content matches the Agent JOB script-creation step (RST Figure 5) rather than the Database Link 'Creating the script' step (RST Figure 3) where it is placed. | The figure caption in the RST (Figure 3, DBLink) does not match the visible Jobs/Script Job content, indicating a mismatch.","No Linked Servers context is visible, so it cannot illustrate the DBLink script creation described for Figure 3."
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710471040.jpg,figure,138,screenshot,True,False,False,,2,2,2,3,1,0.67,partial,,,,200,stop,1,"Image shows Linked Servers (TEST, TEST1) with a 'Script Linked Server as > CREATE To > New Query Editor Window' context menu. | This content matches the Database Link script-creation step (RST Figure 3) rather than the Agent JOB 'Creating a script' step (RST Figure 5) where it is placed. | The figure caption in the RST (Figure 5, Agent JOB) does not match the visible Linked Servers content, indicating a mismatch.","No Jobs list or 'Script Job as' menu is visible, so it cannot illustrate the Agent JOB script creation described for Figure 5."
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758430141.jpg,figure,220,screenshot,True,False,False,,1,1,2,3,1,0.50,fail,,,,200,stop,1,"Image shows Database Properties > Options page with Recovery model set to Full and snapshot isolation options. | This content matches the recovery model / isolation level steps (RST Figures 7/9) rather than the 'Max Degree of Parallelism' step (RST Figure 7) where it is placed. | No Max Degree of Parallelism field is visible, contradicting the Figure 7 caption.",The Advanced node and Max Degree of Parallelism box described in the RST are not present in this image.
umn/source/faqs/general_operations/constraints_and_operation_suggestions_on_many-to-one_scenario.rst,Constraints and Operation Suggestions on Many-to-One Scenario,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758549529.png,figure,24,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/faqs/general_operations/constraints_and_operation_suggestions_on_many-to-one_scenario.rst,Constraints and Operation Suggestions on Many-to-One Scenario,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710470616.png,figure,35,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/real-time_disaster_recovery/dr_scenarios/from_mysql_to_taurusdb_cluster.rst,From MySQL to TaurusDB Cluster,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710630300.png,substitution_image,287,icon,True,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small circular refresh/reload arrow icon, consistent with a UI symbol used to refresh task status. | The RST references this image as |image1| in the context of clicking it in the upper-right corner to view the latest task status on the Disaster Recovery Management page. | A refresh icon is semantically appropriate for the described action of viewing the latest task status. | The icon is small and slightly blurry but clearly identifiable as a circular arrow refresh symbol. | No contradiction between the image content and the surrounding text description.","The image is very small and low-resolution, making it difficult to confirm exact styling or color details. | No surrounding UI context is visible to confirm it is specifically from the DRS console upper-right corner."
umn/source/real-time_disaster_recovery/task_management/step_4_compare_dr_items.rst,Step 4: Compare DR Items,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758549857.png,substitution_image,84,icon,True,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small circular arrow refresh icon, consistent with its use in the RST as a clickable element to view comparison results. | The RST states 'click |image1|, and view the comparison result of each comparison item' in the Object-Level Comparison tab, which aligns with a refresh/reload icon. | The icon is a generic UI refresh symbol, not specific to DR comparison, but it is contextually appropriate for the procedure step. | No contradictions between the image and the document text.",The icon does not show any DR-specific content or labels; it is a generic refresh symbol. | No surrounding UI context is visible to confirm it belongs to the Object-Level Comparison tab.
umn/source/real-time_disaster_recovery/task_management/task_life_cycle/editing_a_dr_task.rst,Editing a DR Task,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710630300.png,substitution_image,66,icon,True,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small circular refresh/reload arrow icon, consistent with the RST description of clicking an icon to view the latest task status. | The icon is referenced in Method 1, step 5, where the user views and manages the DR task on the Disaster Recovery Management page. | A refresh icon is semantically appropriate for the action of viewing the latest task status. | The image is small and slightly blurry but the circular arrow shape is clearly recognizable as a refresh symbol.","The image does not show the surrounding UI context (upper-right corner placement, page layout) that the RST describes. | No label or tooltip is visible to confirm the icon's specific function beyond the generic refresh meaning."
umn/source/real-time_migration/between_self-built_databases/from_mysql_to_mysql.rst,From MySQL to MySQL,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758429581.png,substitution_image,423,icon,True,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small circular refresh/reload icon, consistent with its use as a clickable UI symbol in the migration object selection area. | The RST states 'click |image1| in the upper right corner before selecting migration objects to ensure that the objects to be selected are from the changed source database,' which matches a refresh icon's purpose. | The icon is a generic UI symbol (circular arrow) and does not specifically depict MySQL or migration content, but it is contextually appropriate for the procedure. | The image is very small and slightly blurry, limiting the amount of visual detail that can be assessed.",The image is too small and blurry to confirm exact styling or whether it matches the actual DRS console button appearance. | No surrounding UI context is visible to confirm placement in the 'upper right corner' as described.
umn/source/real-time_migration/between_self-built_databases/from_mysql_to_mysql.rst,From MySQL to MySQL,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758429809.png,substitution_image,424,icon,True,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small circular refresh/reload icon, consistent with its use as a clickable UI symbol for refreshing task status. | The RST states 'You can click |image2| in the upper right corner to view the latest task status,' which matches a refresh icon's purpose. | The icon is a generic UI symbol (circular arrow) and does not specifically depict MySQL or migration content, but it is contextually appropriate for the task management step. | The image is very small and slightly blurry, limiting the amount of visual detail that can be assessed.",The image is too small and blurry to confirm exact styling or whether it matches the actual DRS console button appearance. | No surrounding UI context is visible to confirm placement in the 'upper right corner' as described.
umn/source/real-time_migration/interconnecting_with_cloud_eye/viewing_monitoring_metrics.rst,Viewing Monitoring Metrics,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710471068.png,substitution_image,43,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin / map-marker symbol, consistent with an isolated UI icon. | In the RST, |image1| is referenced in step 2 as the control clicked in the upper left corner to select a region and project, which matches a location/region selector icon. | The icon is part of the 'Viewing Metrics' procedure, so it is relevant to the section. | The visual clearly shows a location pin, providing strong visual evidence for a region selector.","The image is a generic location pin without surrounding UI context, so the exact console placement cannot be confirmed from the image alone. | No label or text accompanies the icon to explicitly confirm it is the region/project selector."
umn/source/real-time_migration/out_of_the_cloud/from_dds_to_mongodb.rst,From DDS to MongoDB,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758549869.png,substitution_image,383,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small circular refresh/reload icon, consistent with its use as a UI symbol in the DRS console | The RST references this icon in the Migrate Object section: 'click |image1| in the upper right corner before selecting migration objects to ensure that the objects to be selected are from the changed source database' | The visual (circular arrow) matches the described refresh/reload action | The icon is generic and not specific to DDS or MongoDB, but is contextually appropriate for the migration procedure","The icon is very small and low-resolution, making it difficult to confirm exact styling details | No surrounding UI context is visible to confirm it appears in the upper right corner of a specific panel"
umn/source/real-time_migration/out_of_the_cloud/from_dds_to_mongodb.rst,From DDS to MongoDB,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758429809.png,substitution_image,384,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small circular refresh/reload icon, consistent with its use as a UI symbol in the DRS console | The RST references this icon in the final procedure step: 'You can click |image2| in the upper right corner to view the latest task status' | The visual (circular arrow) matches the described refresh action for updating task status | The icon is generic and not specific to DDS or MongoDB, but is contextually appropriate for the Online Migration Management page","The icon is very small and low-resolution, making it difficult to confirm exact styling details | No surrounding UI context is visible to confirm it appears in the upper right corner of the task management page"
umn/source/real-time_migration/task_management/step_4_compare_migration_items.rst,Step 4: Compare Migration Items,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758549373.png,figure,11,other,False,False,False,,3,3,3,3,3,1.00,pass,,"Expected 2 image results, but received 1 unique valid results. Missing results for: /home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758429533.png",,200,stop,1,"The image is a four-step process flowchart showing: Validate Objects, Validate All Rows/Values, Double Check During Cutover, and Stop Task. | Each step in the diagram corresponds exactly to sub-steps a, b, c, d in the RST 'Creating a comparison task' section. | The descriptive text under each step in the diagram aligns with the RST descriptions (e.g., comparing at object level after full migration, checking data-level inconsistency during off-peak hours, double-checking before cutover, stopping the task). | The figure is labeled 'Figure 1 Comparison process' in the RST, matching the diagram's purpose.",
umn/source/real-time_migration/task_management/task_life_cycle/editing_a_migration_task.rst,Editing a Migration Task,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710470728.png,substitution_image,125,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small circular-arrow refresh/reload icon, consistent with its use in the RST as a button to refresh migration objects after a source database change. | The RST states 'click |image1| in the upper right corner before selecting migration objects to ensure that the objects to be selected are from the changed source database,' which matches a refresh icon. | The icon is placed in the Migrate Object parameter description within the Set Task step, which is topically relevant to editing a migration task. | The visual content (a circular arrow) is clearly a refresh symbol, providing adequate visual evidence for its described function.","The image is very small and low-resolution, making it difficult to confirm exact styling or context beyond the basic refresh symbol. | No surrounding UI context is visible to confirm it is specifically in the upper-right corner of a page."
