document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/before_you_start/basic_concepts.rst,Basic Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/getting_started/task_creation_process.rst,Task Creation Process,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/backup_migration/task_management/editing_migration_task_information.rst,Editing Migration Task Information,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710470528.png,substitution_image,41,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays a pencil icon, which semantically matches the instruction to click to modify information.",
umn/source/backup_migration/task_management/editing_migration_task_information.rst,Editing Migration Task Information,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710630012.png,substitution_image,42,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image shows a green checkmark, which aligns with the instruction to submit or confirm the change.",
umn/source/backup_migration/task_management/editing_migration_task_information.rst,Editing Migration Task Information,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758429613.png,substitution_image,43,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays a red 'X' icon, which corresponds to the instruction to cancel the change.",
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710471044.jpg,figure,44,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the SQL script output for creating login accounts, matching the RST Figure 1 description. | The script content aligns with the code block provided in the Login Account section.",
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710630532.jpg,figure,92,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image displays the Object Explorer in SQL Server Management Studio, highlighting 'Server Objects' and 'Linked Servers'. | This matches the RST Figure 2 caption 'Viewing database links' and the instructions in the Database Link section.",
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758430137.jpg,figure,100,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the context menu for scripting a job in SQL Server Management Studio. | This corresponds to RST Figure 3 'Creating the script' in the Agent JOB section.,
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710630536.jpg,figure,130,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image displays the Object Explorer with 'SQL Server Agent' and 'Jobs' expanded. | This matches RST Figure 4 'Viewing Jobs' and the instructions in the Agent JOB section.,
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710471040.jpg,figure,138,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the context menu for scripting a linked server in SQL Server Management Studio. | This corresponds to RST Figure 5 'Creating a script' in the Database Link section.,
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001710471048.jpg,figure,194,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image displays the Database Properties window for 'drs_test_1' on the 'Files' tab. | This matches RST Figure 6 'Checking temporary files' and the instructions in the Key Configuration section regarding tempdb.,
umn/source/faqs/backup_migration/manual_configuration.rst,Manual Configuration,/home/ubuntu/repotesting/data-replication-service/umn/source/_static/images/en-us_image_0000001758430141.jpg,figure,220,screenshot,False,False,False,,1,1,2,2,0,0.40,fail,,200,completed,1,"Image shows the 'Options' tab in Database Properties with 'Recovery model: Full'. | However, RST Figure 7 is captioned 'Max Degree of Parallelism', which contradicts the image content. | The image content actually matches the description for Figure 9 in the RST.",The actual 'Max Degree of Parallelism' setting is not visible in this image.
