document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_project_id.rst,Obtaining Project ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/before_you_start.rst,Before You Start,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/calling_apis/response.rst,Response,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_partitioned_tables.rst,Creating and Managing DWS Partitioned Tables,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_tables.rst,Creating and Managing DWS Tables,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/creating_and_managing_dws_database_objects/selecting_a_dws_table_storage_model.rst,Selecting a DWS Table Storage Model,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_data_query/sql_on_hudi/introduction_to_hudi.rst,Introduction to Hudi,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_data_query/subquery_expressions.rst,Subquery Expressions,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_data_query/union_operators.rst,UNION Operators,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_data_query/with_expressions.rst,WITH Expressions,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_database_security_management/dws_user_and_permissions_management/dws_database_permissions_management.rst,DWS Database Permissions Management,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_development_design_proposal/dws_sql_statement_development_specifications/ddl_operations.rst,DDL Operations,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_development_design_proposal/dws_stored_procedure_development_specifications.rst,DWS Stored Procedure Development Specifications,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_hot_and_cold_data_management.rst,DWS Hot and Cold Data Management,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_materialized_views/asynchronous_materialized_views/nested_materialized_views/creating_a_nested_materialized_view.rst,Creating a Nested Materialized View,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_materialized_views/asynchronous_materialized_views/nested_materialized_views/refreshing_a_nested_materialized_view.rst,Refreshing a Nested Materialized View,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_materialized_views/asynchronous_materialized_views/partitioned_materialized_views/creating_a_partitioned_materialized_view.rst,Creating a Partitioned Materialized View,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/overview.rst,Overview,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/advanced_sql_tuning/optimizing_data_skew.rst,Optimizing Data Skew,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/advanced_sql_tuning/optimizing_statement_pushdown.rst,Optimizing Statement Pushdown,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/advanced_sql_tuning/optimizing_statistics.rst,Optimizing Statistics,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/advanced_sql_tuning/optimizing_subqueries.rst,Optimizing Subqueries,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/advanced_sql_tuning/proactive_preheating_and_tuning_of_disk_cache.rst,Proactive Preheating and Tuning of Disk Cache,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/advanced_sql_tuning/sql_statement_rewriting_rules.rst,SQL Statement Rewriting Rules,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/advanced_sql_tuning/tuning_operators.rst,Tuning Operators,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/configuration_parameter_hints.rst,Configuration Parameter Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/dictionary_code_hint.rst,Dictionary Code Hint,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/drive_hints.rst,Drive Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/hint_that_disables_subquery_pull-up.rst,Hint That Disables Subquery Pull-up,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/join_operation_hints.rst,Join Operation Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/join_order_hints.rst,Join Order Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/plan_hint_cases.rst,Plan Hint Cases,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/plan_hint_optimization.rst,Plan Hint Optimization,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/rows_hints.rst,Rows Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/scan_operation_hints.rst,Scan Operation Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/skew_hints.rst,Skew Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/stream_operation_hints.rst,Stream Operation Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/hint-based_tuning/sublink_name_hints.rst,Sublink Name Hints,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/reviewing_and_modifying_a_table_definition.rst,Reviewing and Modifying a Table Definition,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/sql_execution_plan.rst,SQL Execution Plan,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning/sql_query_execution_process.rst,SQL Query Execution Process,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning_examples/case_adding_not_null_for_join_columns.rst,Case: Adding NOT NULL for JOIN Columns,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning_examples/case_adjusting_the_partial_clustering_key.rst,Case: Adjusting the Partial Clustering Key,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning_examples/case_adjusting_the_table_storage_mode_in_a_medium_table.rst,Case: Adjusting the Table Storage Mode in a Medium Table,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/dws_performance_tuning/sql_tuning_examples/case_configuring_cost_param_for_better_query_performance.rst,Case: Configuring cost_param for Better Query Performance,,,fail,,kein valides Bild,No model result was produced.
