document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_project_id.rst,Obtaining Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_project_id.rst,Obtaining Project ID,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000002531894011.jpg,figure,55,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_the_cluster_id.rst,Obtaining the Cluster ID,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000002531894009.png,figure,88,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start.rst,Before You Start,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start.rst,Before You Start,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000002500014136.png,figure,50,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/response.rst,Response,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/response.rst,Response,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000002531894007.png,figure,21,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_partitioned_tables.rst,Creating and Managing DWS Partitioned Tables,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_partitioned_tables.rst,Creating and Managing DWS Partitioned Tables,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000002568591613.png,substitution_image,471,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_partitioned_tables.rst,Creating and Managing DWS Partitioned Tables,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000002537513428.png,substitution_image,472,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_partitioned_tables.rst,Creating and Managing DWS Partitioned Tables,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000002537673762.png,substitution_image,473,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_tables.rst,Creating and Managing DWS Tables,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/creating_and_managing_dws_tables.rst,Creating and Managing DWS Tables,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000001972893569.png,substitution_image,280,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/selecting_a_dws_table_storage_model.rst,Selecting a DWS Table Storage Model,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/creating_and_managing_dws_database_objects/selecting_a_dws_table_storage_model.rst,Selecting a DWS Table Storage Model,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000001188323816.png,figure,14,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/dws_data_query/sql_on_hudi/introduction_to_hudi.rst,Introduction to Hudi,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/dws_data_query/sql_on_hudi/introduction_to_hudi.rst,Introduction to Hudi,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000001811491577.png,substitution_image,38,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/dws_data_query/subquery_expressions.rst,Subquery Expressions,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/dws_data_query/subquery_expressions.rst,Subquery Expressions,/home/ubuntu/repotesting/data-warehouse-service/umn/source/_static/images/en-us_image_0000001787832492.png,substitution_image,178,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
