document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/adding_audit_scope.rst,Adding Audit Scope,/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001074398929.png,substitution_image,93,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Image is a hamburger menu icon (three horizontal lines) used as a navigation element | Referenced in step 2 as the icon to click before choosing Security > Database Security Service | The icon is a standard navigation menu symbol consistent with management console UI patterns | It is a prerequisite navigation step rather than directly related to the audit scope topic,No surrounding UI context visible to confirm it is specifically the service menu in the management console | No label or tooltip visible to confirm its exact function
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001438417909.png,figure,31,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001560437302.png,figure,117,screenshot,True,False,False,,3,2,3,3,2,0.88,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows a Reports/Report Management page with a table of generated reports, matching the RST description of viewing report status and downloading reports | The instance dropdown shows 'DBSS-test17' consistent with a DBSS audit instance | The Operation column shows 'Download' and 'Delete' links, with the first 'Download' highlighted in a red box, matching the RST instruction to download a report | The RST mentions 'click Preview or choose More > Download' but the image shows 'Download' and 'Delete' directly without a 'More' dropdown or 'Preview' button","The RST mentions a 'Preview' option that is not visible in the image | The RST mentions a 'More' dropdown for downloading, but the image shows a direct 'Download' link"
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001438388809.jpg,substitution_image,122,icon,False,False,False,,2,2,3,2,3,0.78,partial,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows a hamburger menu icon (three horizontal lines), which is a standard navigation icon | The RST references this as |image1| in the step 'Select a region and click |image1|. Choose Security > Database Security Service', consistent with a menu icon for navigation | The icon is small and symbolic, fitting the 'icon' classification","The image is very small and low-resolution, making it difficult to confirm exact details of the icon | Cannot verify if this is the exact icon used in the specific console version referenced"
umn/source/best_practices/auditing_an_rds_db_instance_without_agents.rst,Auditing an RDS DB Instance (Without Agents),/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0297146326.png,substitution_image,123,icon,False,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image shows a calendar icon, which is the standard UI element for date/time selection | The RST references this as |image2| in the step 'click |image2| to set the start time and end time of the report', which perfectly matches a calendar icon | The icon is small and symbolic, fitting the 'icon' classification | No contradictions between the RST description and the visual content of the icon","The image is small and slightly blurry, but the calendar shape is clearly identifiable"
umn/source/enabling_or_disabling_sql_injection_detection.rst,Enabling or Disabling SQL Injection Detection,/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001074398929.png,substitution_image,110,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Hamburger menu icon (three horizontal lines) used as a navigation trigger | Referenced in step 2: 'click |image1|, and choose Security > Database Security Service' | It is a generic navigation icon, not specific to SQL injection detection | Serves as the entry point to access the Database Security Service",The icon is generic and does not show any SQL injection-specific content
umn/source/faqs/operations/how_do_i_check_the_version_of_database_audit.rst,How Do I Check the Version of Database Audit?,/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001074398929.png,substitution_image,28,icon,True,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small hamburger menu icon (three horizontal lines) used as |image1| in step 3 of the procedure | Referenced in RST as the button to click to navigate to Security > Database Security Service | Generic navigation icon; not specific to database audit version checking but part of the navigation steps,"No context shown around the icon (no surrounding UI to confirm it is a menu button in the management console) | The icon is very small and low-resolution, making fine details unclear"
umn/source/faqs/troubleshooting/database_audit_is_unavailable.rst,Database Audit Is Unavailable,/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001074398929.png,substitution_image,135,icon,False,False,False,,1,1,1,2,3,0.48,fail,,,,200,stop,1,Image is a small icon showing three horizontal lines (hamburger/list menu icon) | Defined as |image1| in the RST but not clearly referenced in the visible body text | Too small and pixelated to determine exact UI context | No clear contradiction with the document content,"The RST defines |image1| but does not show where it is used in the visible text | Cannot determine which specific UI element or section this icon corresponds to | Image is very small and pixelated, making it difficult to identify the exact UI context"
umn/source/faqs/troubleshooting/database_audit_is_unavailable.rst,Database Audit Is Unavailable,/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0000001072223296.png,substitution_image,136,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Image is a small downward chevron/arrow icon, consistent with a 'view details' or 'expand' UI element | Used as |image2| in step 4: 'Click |image2| next to the database to view the information of its agent' | The chevron icon is a common UI pattern for expanding or revealing additional information | Matches the context of clicking an icon next to a database entry to view agent information","Image is very small and pixelated, making it hard to confirm exact icon design | Cannot verify the exact UI context (which page or panel) this icon appears in"
umn/source/overview/deployment_architecture.rst,Deployment Architecture,/home/ubuntu/repotesting/database-security-service/umn/source/_static/images/en-us_image_0273147489.png,figure,11,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
