document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/deh_management/adjusting_deh_resource_quotas.rst,Adjusting DeH Resource Quotas,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0275513364.png,substitution_image,51,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location-pin icon, consistent with a region/project selector in the upper-left corner of a management console. | The RST step 2 instructs the user to click this icon to select the desired region and project, which aligns with a location/region selector symbol. | The icon is part of the navigation flow for viewing quotas but does not directly illustrate quota information or DeH resources. | No contradiction between the icon's appearance and its described function in the document.","The icon is very small and low-resolution; finer details of the UI context (e.g., surrounding menu) are not visible. | No label or text accompanies the icon in the image itself to confirm it is specifically a region selector."
umn/source/deh_management/adjusting_deh_resource_quotas.rst,Adjusting DeH Resource Quotas,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0152727234.png,substitution_image,52,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"The image is a small bar-chart icon (three vertical bars of decreasing height), which is a common symbol for resource usage or quota visualization. | The RST step 3 instructs the user to click this icon in the upper-right corner to display the Quotas page, which is semantically consistent with a bar-chart/usage icon. | The icon is directly tied to the step that leads to viewing quota information, making it highly relevant to the section. | No contradiction between the icon's appearance and its described function in the document.",The icon is very small and low-resolution; surrounding UI context is not visible. | No text label in the image confirms it is specifically the 'Quotas' button.
umn/source/deh_management/releasing_a_deh.rst,Releasing a DeH,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,40,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is used in Procedure step 2 to indicate clicking the region/project selector in the upper-left corner, which a location pin icon conventionally represents. | The icon is semantically consistent with 'select the desired region and project' and does not contradict the surrounding text. | No interactive controls (buttons, menus) are visible; it is a static symbol.",The image alone does not show the management console context or the region/project dropdown it triggers. | No label or text accompanies the icon to confirm it is the region selector.
umn/source/deh_management/releasing_dehs_in_batches.rst,Releasing DeHs in Batches,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0210485079.png,substitution_image,41,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is used in Procedure step 2 to indicate clicking the region/project selector, which a location pin icon appropriately represents. | The icon is relevant to the Procedure section where the user selects the desired region and project before navigating to Dedicated Host. | The visual content (a teardrop location marker with a central dot) is clearly visible and unambiguous.","The image does not show the surrounding management console UI, so the exact placement in the upper-left corner cannot be verified from the image alone. | No label or text accompanies the icon, so its meaning relies on the RST context."
umn/source/faqs/deh_faqs/what_are_the_differences_between_dehs_and_bmss.rst,What Are the Differences Between DeHs and BMSs?,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001441682817.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/key_operations_recorded_by_cts/viewing_cts_traces.rst,Viewing CTS Traces,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001850888056.png,substitution_image,48,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Referenced as |image1| in step 2: 'Click |image1| in the upper left corner and select the desired region and project' | The image is a location pin / map marker icon, which is a standard UI symbol for region or location selection | The icon is small and isolated, consistent with an inline UI symbol in a navigation bar | Semantically appropriate for selecting a region in a cloud management console","No surrounding UI context visible (no navigation bar, no label) | Cannot confirm the exact placement in the upper left corner from the icon alone"
umn/source/key_operations_recorded_by_cts/viewing_cts_traces.rst,Viewing CTS Traces,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0210486176.jpg,substitution_image,49,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"Referenced as |image2| in step 6: 'Click |image2| on the left of the record to be queried to extend its details' | The image is a downward-pointing chevron (v-shape), a standard UI symbol for expanding/collapsing a row | Semantically appropriate for expanding trace details in a table row | The icon is small and isolated, consistent with an inline expand control in a data table",No surrounding table context visible | Cannot confirm exact placement on the left of a record from the icon alone
umn/source/managing_enterprise_projects.rst,Managing Enterprise Projects,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001248994857.png,figure,19,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/permission_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0259246060.jpg,figure,28,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/product_introduction/dedicated_host.rst,Dedicated Host,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0161118470.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
