document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/deh_management/adjusting_deh_resource_quotas.rst,Adjusting DeH Resource Quotas,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/deh_management/changing_the_name_of_a_deh.rst,Changing the Name of a DeH,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/deh_management/configuring_auto_placement_for_dehs.rst,Configuring Auto Placement for DeHs,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/deh_management/releasing_a_deh.rst,Releasing a DeH,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/ecs_management/managing_the_ecss_on_a_deh_in_batches.rst,Managing the ECSs on a DeH in Batches,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001850888056.png,substitution_image,45,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which directly corresponds to the RST instruction to click it to select a region and project.",
umn/source/ecs_management/migrating_ecss.rst,Migrating ECSs,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001850888056.png,substitution_image,58,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,2,"The image displays a location pin icon, which directly corresponds to the RST instruction to click the icon to select a region and project.",
umn/source/ecs_management/viewing_the_details_of_ecss_on_a_deh.rst,Viewing the Details of ECSs on a DeH,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001850888056.png,substitution_image,42,icon,False,False,False,,2,2,2,2,3,0.72,partial,,200,completed,1,"The image displays a location pin icon, which corresponds to the RST instruction for selecting a region and project. | The icon is a standard UI symbol used in cloud management consoles for region selection.",
umn/source/faqs/deh_faqs/does_each_deh_have_a_unique_id.rst,Does Each DeH Have a Unique ID?,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001540710213.png,figure,11,screenshot,True,False,True,"Interactive UI controls (toggle switch, edit icon) are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image displays a DeH details page with the ID field clearly visible and highlighted. | Directly supports the FAQ question about DeH unique IDs.,
umn/source/faqs/deh_faqs/how_can_i_query_the_number_of_available_resources_on_a_deh.rst,How Can I Query the Number of Available Resources on a DeH?,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001540675997.png,figure,11,screenshot,True,True,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image is a screenshot of the DeH console interface. | It clearly shows the vCPUs and Memory columns, directly matching the text's description of viewing available resources. | The visible interactive buttons are magenta, satisfying the mandatory UI color rule.",
umn/source/faqs/deh_faqs/what_are_the_differences_between_dehs_and_bmss.rst,What Are the Differences Between DeHs and BMSs?,/home/ubuntu/repotesting/dedicated-host/umn/source/_static/images/en-us_image_0000001441682817.png,figure,14,other,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image directly illustrates the section's topic by visually contrasting DeH and BMS architectures. | It accurately depicts DeH accommodating multiple ECS instances (User A) with visible unused resources, aligning with the text. | It shows BMS as a single dedicated block, matching the description of it being used as a whole server.",
