document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
umn/source/best_practices/configuring_redundant_or_active_standby_connections.rst,Configuring Redundant or Active/Standby Connections,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000001500493814.png,figure,15,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/best_practices/configuring_redundant_or_active_standby_connections.rst,Configuring Redundant or Active/Standby Connections,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000001551687625.png,figure,27,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/enabling_direct_connect/obtaining_the_resource_id.rst,Obtaining the Resource ID,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000001408184657.png,substitution_image,15,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,Small downward chevron/arrow icon referenced in step 4 as the element to click on the left of the connection name | Icon is consistent with a link or expand indicator next to a connection name in a Direct Connect console | Matches the RST instruction to click this element to proceed with obtaining the resource ID,No surrounding UI context visible to confirm it is specifically in the Direct Connect Connections list | Cannot verify the exact placement relative to a connection name from the icon alone
umn/source/getting_started/enabling_direct_connect/process_description.rst,Process Description,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000001169908623.png,figure,12,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/management/connections/managing_connection_tags.rst,Managing Connection Tags,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000002429106732.png,substitution_image,128,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"A location/region pin icon, used in the RST as the |image1|/|image2|/|image3| reference for selecting a region and project in the upper left corner. | It is a small symbolic UI icon rather than a full interface screenshot. | Relevant to the login/navigation steps common to all three tag-management procedures.","No surrounding UI context is shown, so the exact menu it opens is not visible."
umn/source/management/managing_historical_connections/modifying_a_historical_connection.rst,Modifying a Historical Connection,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000001527134977.png,substitution_image,28,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker pictogram, an isolated UI symbol, so it is classified as an icon. | In the RST, |image1| is referenced in Procedure step 2: 'Click |image1| in the upper left corner and select a region and a project,' which matches a region/location selector icon. | The location-pin glyph is semantically consistent with selecting a region, supporting its use in the procedure. | The icon is generic (region selector) and not specific to historical connections, so topic and detail match are moderate rather than exact. | No visible interactive button frame or control is present in the image itself, only the symbol.","The image does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed. | No label or text accompanies the icon to confirm it is the region/project selector. | The icon is monochrome and small, so it cannot be tied to a specific service or page."
umn/source/management/managing_operations_or_hosted_connections/managing_hosted_connections/modifying_a_hosted_connection.rst,Modifying a Hosted Connection,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000002429106732.png,substitution_image,34,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker symbol, matching the |image1| reference in step 2 ('Click |image1| in the upper left corner and select a region and a project'). | A location pin is a conventional icon for region/project selection, so it is semantically consistent with the procedure text. | The icon is an isolated symbolic graphic with no surrounding UI, so it is classified as an icon rather than a screenshot. | No interactive controls (buttons, menus) are visible within the image itself.",The image does not show the management console context (upper-left corner placement) described in the text. | No label or tooltip is visible to confirm it is specifically the region/project selector.
umn/source/management/managing_operations_or_hosted_connections/managing_hosted_connections/viewing_a_hosted_connection.rst,Viewing a Hosted Connection,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000002429106732.png,substitution_image,23,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location pin/marker icon, consistent with a region/project selector in a management console. | The RST step 2 says 'Click |image1| in the upper left corner and select a region and a project,' which aligns with a location/region icon. | The icon is a generic navigation element, not specific to hosted connections or Direct Connect. | The visual clearly shows a location pin symbol, matching the described usage.","The icon is very small and low-resolution, making it hard to confirm exact design details. | No surrounding UI context is visible to confirm it appears in the upper left corner of a console."
umn/source/management/managing_operations_or_hosted_connections/managing_hosted_connections/viewing_a_hosted_connection.rst,Viewing a Hosted Connection,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000001560319725.png,substitution_image,24,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small downward-pointing chevron/arrow icon, commonly used for expand or view-more actions. | The RST step 6 says 'click |image2| to view its settings,' which is consistent with a dropdown/expand chevron. | The icon is a generic UI element, not specific to hosted connections or Direct Connect. | The visual clearly shows a small V-shaped or downward chevron symbol.","The icon is very small and low-resolution, making it difficult to confirm exact design details. | No surrounding UI context is visible to confirm it appears in a table row or settings panel."
umn/source/management/managing_operations_or_hosted_connections/managing_operations_connections/modifying_an_operations_connection.rst,Modifying an Operations Connection,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000002429106732.png,substitution_image,32,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small gray location-pin / map-marker symbol, matching the |image1| reference in step 2 ('Click |image1| in the upper left corner and select a region and a project'). | A location pin is the conventional icon for a region/project selector, so it is semantically consistent with the procedure text. | The icon is an isolated symbolic graphic, not a full UI screenshot, so it is classified as an icon. | No visible interactive controls, labels, or buttons are present in the isolated image.","The image does not show the surrounding management console UI, so its exact placement in the upper-left corner cannot be visually confirmed. | No text or label accompanies the icon to explicitly identify it as the region/project selector."
umn/source/management/managing_operations_or_hosted_connections/managing_operations_connections/viewing_an_operations_connection.rst,Viewing an Operations Connection,/home/ubuntu/repotesting/direct-connect/umn/source/_static/images/en-us_image_0000002429106732.png,substitution_image,23,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin / map-marker symbol, matching the region/project selector referenced in step 2 of the procedure. | It is an isolated UI symbol (icon), not a full screenshot or page interface. | The icon is semantically consistent with 'select a region and a project' in the Direct Connect management console procedure. | No visible interactive controls or buttons are present in the isolated icon.","The image does not show the surrounding management console UI, so its exact placement in the upper-left corner cannot be verified. | No label or text accompanies the icon to confirm it is the region/project selector."
