document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0216824199.jpg,figure,57,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/backing_up_and_restoring_instance_data/configuring_an_automatic_backup_policy.rst,Configuring an Automatic Backup Policy,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,69,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,The image is a location pin icon used as a region/project selector in the DCS console | The RST references it in step 2: 'Click |image1| in the upper left corner and select a region and a project' | The icon is consistent with a region selector control in a cloud console UI | It is a prerequisite step for navigating to the backup configuration page,The image does not show the full console context (upper left corner placement) | No text label is visible on the icon to confirm it is specifically a region selector
umn/source/backing_up_and_restoring_instance_data/downloading_a_backup_file.rst,Downloading a Backup File,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,57,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin (map marker) icon, consistent with a region/project selector in a cloud console. | The RST step 2 instructs to click this icon in the upper left corner to select a region and a project, which semantically matches a location pin symbol. | The icon is placed within the Procedure section and supports the navigation steps for accessing the DCS console. | No visible interactive controls or buttons are present; it is an isolated symbolic graphic.","The image does not show surrounding UI context (e.g., the upper-left corner of the console) to confirm exact placement. | No label or text accompanies the icon to explicitly confirm it is the region/project selector."
umn/source/backing_up_and_restoring_instance_data/manually_backing_up_a_dcs_instance.rst,Manually Backing Up a DCS Instance,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,46,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin / map-marker symbol, consistent with an isolated UI icon. | In the RST, |image1| is used in step 2 to indicate clicking the region/project selector in the upper-left corner, which matches a location icon. | The icon is referenced within the Procedure section of the DCS backup guide, so it is contextually relevant. | The visual clearly shows a location pin glyph, providing direct visual evidence for the region selector reference. | No contradiction between the icon and the surrounding text.",The image is a generic location pin; it does not show the actual console UI or the region/project menu it opens. | No label or text accompanies the icon to confirm it is the region selector.
umn/source/data_migration_guide/migrating_data_between_dcs_instances/online_migration_between_instances.rst,Online Migration Between Instances,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001549115173.png,substitution_image,207,icon,False,False,False,,2,2,3,2,3,0.78,partial,,,,200,stop,1,"Image is a small location pin/map marker icon, consistent with a region selector UI element | The RST references this as |image1| in step 2: 'Click |image1| in the upper left corner of the console and select the region' | The icon is a generic location symbol, not specific to DCS migration but appropriate for a region selector | Used in the 'Creating an Online Migration Task' section as expected",The icon is a generic location pin without any DCS-specific branding or text | Cannot confirm from the icon alone that it appears in the upper left corner of the DCS console
umn/source/data_migration_guide/migration_from_another_cloud/migrating_redis_from_another_cloud_online.rst,Migrating Redis from Another Cloud Online,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001549115173.png,substitution_image,150,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,Image is a small location pin / map marker icon | Used in RST step 2 as the region selector icon in the upper left corner of the console | Icon is generic and not specific to Redis migration but matches the described UI element,No surrounding UI context visible to confirm it is the region selector in the DCS console
umn/source/data_migration_guide/migration_process.rst,Migration Process,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0167650535.png,figure,9,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/creating_an_instance/preparing_required_resources.rst,Preparing Required Resources,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001214124082.png,substitution_image,71,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a small location-pin / map-marker symbol, matching the |image1| reference used in step 2 to select a region and project. | It is an isolated UI symbol (icon), not a full screenshot or page interface. | The icon is semantically consistent with a region/project selector in a management console, which aligns with the VPC/subnet preparation procedure. | No contradiction between the icon and the surrounding RST text.","The image alone does not show the surrounding console UI, so the exact placement ('upper left corner') cannot be verified from the image. | No label or text accompanies the icon to confirm it specifically denotes region/project selection."
umn/source/managing_dcs_instances/analyzing_big_keys_and_hot_keys.rst,Analyzing Big Keys and Hot Keys,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,118,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location pin icon used as a region selector in the DCS console | It is referenced in step 2 of the Big Key Analysis Procedure as the element to click for selecting a region and project | The icon is a standard navigation element, not directly illustrating big key analysis functionality | The visual content (a gray location pin) is consistent with a region/project selector button in a cloud console UI",The icon does not show any context of the DCS console interface around it | No label or text is visible on the icon to confirm its specific function beyond a generic location marker
