document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/backing_up_and_restoring_instance_data/configuring_an_automatic_backup_policy.rst,Configuring an Automatic Backup Policy,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,69,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which directly corresponds to the instruction to select a region and project.",
umn/source/backing_up_and_restoring_instance_data/configuring_an_automatic_backup_policy.rst,Configuring an Automatic Backup Policy,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001256735725.png,substitution_image,70,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a toggle switch, matching the step to slide it to the right to enable automatic backup.",
umn/source/backing_up_and_restoring_instance_data/downloading_a_backup_file.rst,Downloading a Backup File,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,57,icon,False,False,False,,1,2,2,2,3,0.62,partial,,200,completed,1,The image shows a generic location pin icon. | It aligns with the procedure step for selecting a region and project. | It is a symbolic UI element rather than a contextual screenshot of the backup download process.,No surrounding console interface or context is visible. | The icon is abstract and does not depict specific backup download actions or UI.
umn/source/data_migration_guide/migrating_data_between_dcs_instances/backup_import_between_dcs_redis_instances.rst,Backup Import Between DCS Redis Instances,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001990974029.png,figure,147,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a terminal command line interface executing the 'info keyspace' command, which directly aligns with the RST instructions for verifying migration data integrity.",
umn/source/data_migration_guide/migrating_data_between_dcs_instances/backup_import_between_dcs_redis_instances.rst,Backup Import Between DCS Redis Instances,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001549115173.png,substitution_image,154,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a location pin icon, which corresponds to the RST reference for selecting the region in the DCS console interface.",
umn/source/data_migration_guide/migrating_data_between_dcs_instances/online_migration_between_instances.rst,Online Migration Between Instances,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001955094688.png,figure,111,screenshot,True,False,True,"Interactive radio buttons are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the migration type selection UI with 'Full' and 'Full + Incremental' options. | Matches the RST description for selecting migration type.,
umn/source/data_migration_guide/migrating_data_between_dcs_instances/online_migration_between_instances.rst,Online Migration Between Instances,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001990974029.png,figure,161,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image displays terminal output of the 'info keyspace' command. | Aligns with the verification step in the RST document.,
umn/source/data_migration_guide/migrating_data_between_dcs_instances/online_migration_between_instances.rst,Online Migration Between Instances,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0000001549115173.png,substitution_image,207,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image is a location pin icon. | Matches the |image1| reference used for selecting the region in the console.,
umn/source/data_migration_guide/migrating_data_from_self-hosted_redis_to_dcs/migrating_self-built_redis_online.rst,Migrating Self-Built Redis Online,/home/ubuntu/repotesting/distributed-cache-service/umn/source/_static/images/en-us_image_0291862872.png,figure,101,screenshot,True,False,True,"Interactive radio buttons are blue, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Matches the RST section on selecting migration type. | Clearly shows the 'Full' and 'Full + Incremental' options described in the text.,
