document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733265081.jpg,figure,63,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733265073.png,figure,29,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685146158.png,figure,26,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/backups_and_restorations/backup_principles.rst,Backup Principles,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685147442.png,figure,11,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/getting_started/overview.rst,Overview,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146485.png,figure,25,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,,local_hard_fail,0,Local color check detected #3298ff.,
umn/source/parameter_template_management/applying_a_parameter_template.rst,Applying a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685147590.png,substitution_image,33,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location/region pin icon, consistent with step 2's instruction to select a region and project. | It is a generic UI navigation icon, not specific to DDM or parameter templates, but it is part of the documented procedure. | The RST explicitly references this image as the element to click for region selection, and the icon visually matches that purpose.",No surrounding UI context is visible; only the isolated icon is shown. | The specific label or tooltip for the icon is not visible in the image.
umn/source/parameter_template_management/applying_a_parameter_template.rst,Applying a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146405.png,substitution_image,34,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with step 3's instruction to open the navigation menu and choose Databases > Distributed Database Middleware. | It is a generic UI navigation icon, not specific to DDM or parameter templates, but it is part of the documented procedure. | The RST explicitly references this image as the element to click to access the service navigation, and the icon visually matches that purpose.",No surrounding UI context is visible; only the isolated icon is shown. | The specific label or menu items that appear after clicking are not visible in the image.
umn/source/parameter_template_management/comparing_two_parameter_templates.rst,Comparing Two Parameter Templates,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685307262.png,substitution_image,31,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select a region and a project' in step 2. | It is a small symbolic graphic (icon), not a screenshot of the parameter template comparison interface. | The icon is part of the navigation procedure to reach the Parameter Templates page, so it is tangentially related to the main topic of comparing parameter templates. | The visual clearly shows a standard location/map pin symbol, matching the described use case for region selection.",No surrounding UI context is visible; only the isolated icon is shown. | The actual region/project selection dropdown or panel is not depicted.
umn/source/parameter_template_management/comparing_two_parameter_templates.rst,Comparing Two Parameter Templates,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733266445.png,substitution_image,32,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click in the upper left corner to open navigation in step 3. | It is a small symbolic graphic (icon), not a screenshot of the parameter template comparison interface. | The icon is part of the navigation procedure to reach Databases > Distributed Database Middleware, so it is tangentially related to the main topic. | The visual clearly shows three horizontal bars, a standard hamburger/menu icon used for navigation.",No surrounding UI context is visible; only the isolated icon is shown. | The actual navigation menu with 'Databases > Distributed Database Middleware' options is not depicted.
umn/source/parameter_template_management/creating_a_parameter_template.rst,Creating a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146325.png,substitution_image,39,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select a region and a project' in step 2. | It is a small symbolic UI element (icon), not a full screenshot. | The icon is part of the navigation procedure to reach the parameter template creation page, indirectly related to the main topic. | The visual clearly shows a map/location pin symbol, matching the described function of selecting a region.",No surrounding UI context is visible to confirm this is specifically the region selector in the DDM management console. | The icon is generic and could represent any location/region selector in any application.
umn/source/parameter_template_management/creating_a_parameter_template.rst,Creating a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146317.png,substitution_image,40,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click it and 'choose Databases > Distributed Database Middleware' in step 3. | It is a small symbolic UI element (icon), not a full screenshot. | The icon is part of the navigation procedure to reach the DDM section, indirectly related to the parameter template creation topic. | The visual clearly shows three horizontal lines, the standard hamburger menu symbol for opening a navigation menu.",No surrounding UI context is visible to confirm this is specifically the navigation menu in the DDM management console. | The icon is generic and could represent any hamburger menu in any application.
umn/source/parameter_template_management/deleting_a_parameter_template.rst,Deleting a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733266501.png,substitution_image,27,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with step 2's instruction to click an icon in the upper left corner to select a region and project. | The icon is a standard UI symbol for region/location selection in cloud management consoles. | It is referenced as |image1| in the Procedure section of the document. | The icon is clearly visible and identifiable as a map/location pin.","The image does not show the full management console interface, only the isolated icon. | No surrounding UI context is visible to confirm the exact placement in the upper left corner."
umn/source/parameter_template_management/deleting_a_parameter_template.rst,Deleting a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685307318.png,substitution_image,28,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with step 3's instruction to click an icon in the upper left corner to navigate to Databases > Distributed Database Middleware. | The hamburger menu is a standard UI symbol for opening a navigation menu. | It is referenced as |image2| in the Procedure section of the document. | The icon is clearly visible and identifiable as a three-line menu symbol.","The image does not show the full management console interface, only the isolated icon. | No surrounding UI context is visible to confirm the exact placement in the upper left corner."
umn/source/parameter_template_management/editing_a_parameter_template.rst,Editing a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685307326.png,substitution_image,43,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select a region and a project' in step 2. | It is a small symbolic graphic (icon) used as an inline reference in the procedure, not a full screenshot. | The icon is relevant to the navigation procedure but not directly to the parameter template editing topic itself. | No contradictions between the image and the RST description.",The image does not show the actual management console interface or the region/project selection dropdown. | No surrounding UI context is visible to confirm this is the specific icon in the upper left corner of the DDM console.
umn/source/parameter_template_management/editing_a_parameter_template.rst,Editing a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146397.png,substitution_image,44,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to open a navigation menu and choose 'Databases > Distributed Database Middleware' in step 3. | It is a small symbolic graphic (icon) used as an inline reference in the procedure, not a full screenshot. | The icon is relevant to the navigation procedure but not directly to the parameter template editing topic itself. | No contradictions between the image and the RST description.",The image does not show the actual navigation menu or the 'Databases > Distributed Database Middleware' path. | No surrounding UI context is visible to confirm this is the specific icon in the upper left corner of the page.
umn/source/parameter_template_management/replicating_a_parameter_template.rst,Replicating a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146365.png,substitution_image,33,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location/map-pin icon, matching step 2's instruction to click the icon in the upper left corner to select a region and a project. | It is a small isolated symbolic graphic, so it is classified as an icon rather than a screenshot. | The icon is semantically consistent with region/project selection in a management console procedure.","No surrounding UI context is visible to confirm the exact console layout. | The icon is monochrome and small, so specific branding or label text is not visible."
umn/source/parameter_template_management/replicating_a_parameter_template.rst,Replicating a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733266489.png,substitution_image,34,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger/menu icon (three horizontal lines), matching step 3's instruction to click the icon in the upper left corner to open the navigation menu for Databases > Distributed Database Middleware. | It is a small isolated symbolic graphic, so it is classified as an icon rather than a screenshot. | The icon is semantically consistent with opening a navigation menu in a management console.","No surrounding UI context is visible to confirm the exact console layout. | The icon is monochrome and small, so specific branding or label text is not visible."
umn/source/parameter_template_management/viewing_application_records_of_a_parameter_template.rst,Viewing Application Records of a Parameter Template,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685307386.png,substitution_image,28,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'select a region and a project' in step 2. | It is a standard UI symbol for region/location selection in a management console. | The icon is small and isolated, matching the 'icon' classification.",No surrounding UI context is visible; only the isolated icon is shown. | The specific console or application is not identifiable from the icon alone.
