document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/account_management/managing_permissions/managing_permissions.rst,Managing Permissions,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000002454002032.png,figure,205,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image is a terminal screenshot displaying the output of SHOW GRANTS commands. | It directly illustrates the SHOW GRANTS section described in the RST document. | The commands and output format exactly match the examples provided in the documentation.,
umn/source/auditing/querying_traces.rst,Querying Traces,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146333.png,substitution_image,46,icon,False,False,False,,2,2,3,3,3,0.83,pass,,200,completed,1,"The image displays a downward chevron icon, which aligns with the textual instruction to click an element on the left of a trace to view details.",
umn/source/connection_management/changing_the_security_group_of_a_ddm_instance.rst,Changing the Security Group of a DDM Instance,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685147562.png,substitution_image,28,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a pencil icon, which is a standard UI symbol for editing. | It directly corresponds to the instruction to click the icon beside the Security Group field to change it.",
umn/source/connection_management/changing_the_security_group_of_a_ddm_instance.rst,Changing the Security Group of a DDM Instance,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001733146369.png,substitution_image,29,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a green checkmark icon, a standard symbol for confirmation or 'OK'. | It matches the procedure step to click after specifying a new security group.",
umn/source/connection_management/changing_the_security_group_of_a_ddm_instance.rst,Changing the Security Group of a DDM Instance,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685307302.png,substitution_image,30,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a magenta 'X' icon, a standard symbol for canceling or closing. | It aligns with the instruction to click to cancel the security group change.",
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685307398.png,figure,23,screenshot,True,False,True,"Interactive toggle button is gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Screenshot matches the 'single group' scenario description in the RST. | Clearly shows the 'Access Control' toggle in the 'Network Information' area.,
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685147654.png,figure,31,screenshot,True,False,True,"Interactive toggle buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Screenshot matches the 'multiple groups' scenario description in the RST. | Shows the 'Access Control' column with toggles for each group.,
