document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/before_you_start/concepts.rst,Concepts,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/calling_apis/returned_values.rst,Returned Values,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685307398.png,figure,23,screenshot,True,False,True,"Interactive toggle button is gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Screenshot matches the 'single group' scenario description in the RST. | Clearly shows the 'Access Control' toggle in the 'Network Information' area.,
umn/source/connection_management/configuring_access_control.rst,Configuring Access Control,/home/ubuntu/repotesting/distributed-database-middleware/umn/source/_static/images/en-us_image_0000001685147654.png,figure,31,screenshot,True,False,True,"Interactive toggle buttons are gray, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Screenshot matches the 'multiple groups' scenario description in the RST. | Shows the 'Access Control' column with toggles for each group.,
umn/source/faqs/general_questions/how_do_i_select_and_configure_a_security_group.rst,How Do I Select and Configure a Security Group?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/step_1_create_a_ddm_instance_and_an_rds_for_mysql_instance.rst,Step 1: Create a DDM Instance and an RDS for MySQL Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/instance_management/administrator_account.rst,Administrator Account,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/instance_management/modifying_parameters_of_a_ddm_instance.rst,Modifying Parameters of a DDM Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/monitoring_management/viewing_metrics/viewing_instance_metrics.rst,Viewing Instance Metrics,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/applying_a_parameter_template.rst,Applying a Parameter Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/comparing_two_parameter_templates.rst,Comparing Two Parameter Templates,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/creating_a_parameter_template.rst,Creating a Parameter Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/deleting_a_parameter_template.rst,Deleting a Parameter Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/editing_a_parameter_template.rst,Editing a Parameter Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/modifying_the_description_of_a_parameter_template.rst,Modifying the Description of a Parameter Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/replicating_a_parameter_template.rst,Replicating a Parameter Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/viewing_application_records_of_a_parameter_template.rst,Viewing Application Records of a Parameter Template,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/parameter_template_management/viewing_parameter_change_history.rst,Viewing Parameter Change History,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/core_functions.rst,Core Functions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/regions_and_azs.rst,Regions and AZs,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shard_configuration/operation_guide.rst,Operation Guide,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/shard_configuration/overview_and_application_scenarios.rst,Overview and Application Scenarios,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/sql_syntax/functions.rst,Functions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/sql_syntax/supported_sql_statements/truncate_table/hint-table.rst,HINT-TABLE,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/task_center.rst,Task Center,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
