document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0000002394290998.png,figure,69,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
umn/source/configuring_a_topic/creating_a_rocketmq_topic.rst,Creating a RocketMQ Topic,/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,93,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a location pin / map marker icon, consistent with the RST instruction to 'select a region' in step 2. | The icon is used as an inline image (|image1|) in the 'Creating a Topic' section for navigation purposes. | It is a small symbolic graphic (icon) rather than a full screenshot. | The icon semantically matches the concept of selecting a geographic region.","The icon is very small and low-resolution; surrounding UI context (e.g., the upper-left corner placement) is not visible."
umn/source/configuring_a_topic/creating_a_rocketmq_topic.rst,Creating a RocketMQ Topic,/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0000001143589128.png,substitution_image,94,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"Image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to click it and navigate to 'Application > Distributed Message Service for RocketMQ' in step 3. | The icon is used as an inline image (|image2|) in the 'Creating a Topic' section for navigation purposes. | It is a small symbolic graphic (icon) rather than a full screenshot. | The hamburger menu is a standard UI element for opening a navigation menu, matching the described action.",The icon is very small and low-resolution; the full navigation menu it would open is not visible.
umn/source/configuring_a_topic/managing_topics/deleting_a_rocketmq_topic.rst,Deleting a RocketMQ Topic,/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,47,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a location pin icon, consistent with the RST instruction to 'Click |image1| in the upper left corner to select a region.' | The icon is a standard UI symbol for region selection in cloud consoles. | It supports the navigation steps in the 'Deleting a Topic' procedure but does not directly depict topic deletion.","The image does not show the surrounding console UI context (e.g., the upper-left corner placement). | No label or text accompanies the icon to confirm it is specifically the region selector."
umn/source/configuring_a_topic/managing_topics/deleting_a_rocketmq_topic.rst,Deleting a RocketMQ Topic,/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0000001143589128.png,substitution_image,48,icon,False,False,False,,2,2,2,3,3,0.77,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to 'Click |image2| and choose Application > Distributed Message Service for RocketMQ.' | The hamburger menu is a standard navigation icon in cloud consoles for opening a service menu. | It supports the navigation steps in the 'Deleting a Topic' procedure but does not directly depict topic deletion.",The image does not show the surrounding console UI context or the menu that would appear after clicking. | No label or text accompanies the icon to confirm it is specifically the navigation menu trigger.
umn/source/faqs/connection_faqs/how_do_i_handle_instance_connection_failure_remotingtoomuchrequestexception_senddefaultimpl_call_timeout.rst,"How Do I Handle Instance Connection Failure ""RemotingTooMuchRequestException: sendDefaultImpl call timeout""",/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0000002506403071.png,substitution_image,39,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a small location pin icon, consistent with the RST instruction to 'Click |image1| in the upper left corner of the console and select a region.' | The icon is used as an inline reference in the Solution section, step 2, for navigating the cloud console. | A location pin is a standard UI symbol for region selection in cloud consoles. | No contradiction between the image content and its described usage in the RST.",The image does not show the full console UI context (upper left corner placement). | No visible text or label on the icon to confirm it is specifically a region selector.
umn/source/faqs/connection_faqs/how_do_i_handle_instance_connection_failure_remotingtoomuchrequestexception_senddefaultimpl_call_timeout.rst,"How Do I Handle Instance Connection Failure ""RemotingTooMuchRequestException: sendDefaultImpl call timeout""",/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0000002474323040.png,substitution_image,40,icon,False,False,False,,2,2,2,2,3,0.72,partial,,,,200,stop,1,"The image is a hamburger menu icon (three horizontal lines), consistent with the RST instruction to 'Click |image2| and choose Application > Distributed Message Service for RocketMQ.' | The icon is used as an inline reference in the Solution section, step 3, for opening a navigation menu in the cloud console. | A hamburger menu is a standard UI symbol for opening a service/navigation menu. | No contradiction between the image content and its described usage in the RST.",The image does not show the full console UI context or the menu that would appear after clicking. | No visible text or label on the icon to confirm it is specifically a service navigation menu.
umn/source/getting_started/getting_started_with_rocketmq_to_produce_and_consume_messages.rst,Getting Started with RocketMQ to Produce and Consume Messages,/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0000001992837069.png,figure,14,other,False,False,True,Forbidden color #3298ff was detected in the image.,0,0,0,0,0,0.00,fail,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,Local color check detected #3298ff.,
umn/source/getting_started/getting_started_with_rocketmq_to_produce_and_consume_messages.rst,Getting Started with RocketMQ to Produce and Consume Messages,/home/ubuntu/repotesting/distributed-message-service-rocketmq/umn/source/_static/images/en-us_image_0000002374122761.png,figure,234,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,Images with the forbidden color were not sent to the AI API.,,200,stop,1,"Image is Figure 2 'Recording instance connection addresses', matching Step 2 step 7 of the RST. | Shows the Connection area with Instance Address (Private Network) IPv4 on port 8100 and gRPC on 8080, consistent with the security group table. | Public Access shown as Disabled, matching the 'do not enable public access' instruction.","IP addresses are redacted, so exact connection values cannot be verified."
