document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,,,fail,,kein valides Bild,No model result was produced.
doc/dev-guide/source/java/setting_up_the_java_development_environment.rst,Setting Up the Java Development Environment,,,fail,,kein valides Bild,No model result was produced.
umn/source/configuring_topics/configuring_kafka_topic_permissions.rst,Configuring Kafka Topic Permissions,en-us_image_0000001803832641.png,screenshot,pass,1.00,"Image shows the 'Default permissions' checkbox checked with an 'Effect' dropdown set to 'Publish', matching Figure 1 caption 'Granting the same permissions to all users'. | The RST states that selecting Default permissions and Publish grants all users the permission to publish messages, which is exactly what the screenshot displays. | Visible interactive controls (checkbox, dropdown) are present in the dialog.","No full dialog frame or title bar is visible, only the relevant portion of the permission dialog."
umn/source/configuring_topics/configuring_kafka_topic_permissions.rst,Configuring Kafka Topic Permissions,en-us_image_0000001803837729.png,screenshot,pass,1.00,"Image shows a Users(5) list (receive, test, send, send_receive) and a Selected(3) panel with receive=Subscribe, test=Publish/Subscribe, send=Publish, matching Figure 2 'Granting permissions to individual users'. | The RST states only test, send, and receive users can subscribe/publish while send_receive cannot, which aligns with send_receive being unchecked and absent from Selected. | Interactive controls (checkboxes, dropdowns, Delete links, search box) are visible.",The 'test' permission value is truncated ('Publish/Subscri...') in the screenshot.
umn/source/configuring_topics/configuring_kafka_topic_permissions.rst,Configuring Kafka Topic Permissions,en-us_image_0000001757003050.png,screenshot,pass,1.00,"Image shows Default permissions checked with Effect=Publish plus a Selected(2) panel containing receive=Subscribe and test=Publish/Subscribe, matching Figure 3 'Granting topic permissions to users'. | The RST explains that with both default and individual permissions, the union is used so test and receive can subscribe and publish while others only publish, consistent with the displayed configuration. | Interactive controls (checkbox, dropdown, Delete links, search box) are visible.",The 'test' permission value is truncated ('Publish/Subscri...') in the screenshot.
umn/source/configuring_topics/configuring_kafka_topic_permissions.rst,Configuring Kafka Topic Permissions,en-us_image_0000001803846097.png,screenshot,pass,1.00,"Image shows a topic row (topic-2035943983) with an expanded panel listing Default permissions: Publish and users receive=Subscribe, test=Publish/Subscribe, matching Figure 4 'Viewing authorized users and their permissions'. | This corresponds to RST step 8 where clicking the icon next to the topic name reveals authorized users and their permissions. | Interactive controls (Grant User Permission, Edit, More links) are visible.","Column headers are partially truncated (Part..., Repl..., etc.) in the screenshot."
umn/source/configuring_topics/configuring_kafka_topic_permissions.rst,Configuring Kafka Topic Permissions,en-us_image_0143929918.png,icon,pass,0.83,"Image is a small location/map-pin pictogram, used in the RST as |image1|/|image3| for 'Click ... in the upper left corner to select the region'. | It is an isolated symbolic UI icon rather than a full interface screenshot. | The icon is semantically relevant to the region-selection step in both the Setting and Deleting permissions procedures.","No surrounding UI context is shown, so the exact placement in the console cannot be verified from the image alone."
umn/source/configuring_topics/configuring_kafka_topic_permissions.rst,Configuring Kafka Topic Permissions,en-us_image_0000001160594580.png,icon,pass,0.83,"Image is a small downward chevron/arrow pictogram, used in the RST as |image2|/|image4| to expand a topic row and view authorized users. | It is an isolated symbolic UI icon rather than a full interface screenshot. | The icon is semantically relevant to the expand/view-permissions step in the procedure.","No surrounding UI context is shown, so the exact placement next to the topic name cannot be verified from the image alone."
umn/source/configuring_topics/creating_a_kafka_topic.rst,Creating a Kafka Topic,en-us_image_0000002028172432.png,screenshot,pass,1.00,"Image shows a 'Create Topic' form with all parameters listed in Table 2 of the RST | Fields include Topic Name, Partitions, Replicas, Aging Time, Synchronous Replication, Synchronous Flushing, Message Timestamp, and Max. Message Size | Value ranges and descriptions match the RST table (e.g., Partitions 1-200, Replicas 1 to broker quantity, Aging Time 1-720) | The form is clearly a UI screenshot of the console topic creation dialog | No contradictions between the image content and the RST description",The RST mentions this is for a cluster instance; the image shows Replicas range 1 to 3 which is consistent but the instance type label is not explicitly visible in the screenshot
umn/source/configuring_topics/creating_a_kafka_topic.rst,Creating a Kafka Topic,en-us_image_0143929918.png,icon,partial,0.77,"Image shows a small location pin/marker icon, consistent with a region selector | RST step 2 says 'Click |image1| in the upper left corner to select the region where your instance is located' | The icon is a standard location/region indicator used in cloud console navigation | It is part of the navigation steps to reach the topic creation page but is not directly about topic creation itself | No contradictions between the icon and its described purpose in the RST","The icon is very small and low-resolution, making it difficult to confirm exact visual details | No surrounding UI context is visible to confirm it is in the upper left corner of a console page"
umn/source/configuring_topics/managing_topics/changing_kafka_partition_quantity.rst,Changing Kafka Partition Quantity,en-us_image_0143929918.png,icon,pass,0.90,"The image is a small gray location/map-pin pictogram, an isolated UI symbol, so it is classified as an icon. | The RST references |image1| in step 2 of 'Repartitioning a Topic on the Console': 'Click |image1| in the upper left corner to select the region where your instance is located.' | A location pin icon semantically matches a region/location selector control, consistent with the described action. | The icon appears in the console navigation section, which is directly relevant to the procedure described in the document. | No contradiction between the icon and the surrounding text.","The image is a generic location pin; it does not show the surrounding console UI, so the 'upper left corner' placement cannot be visually confirmed from the image alone. | No label or text accompanies the icon to confirm it is specifically the region selector."
umn/source/configuring_topics/managing_topics/configuring_automatic_topic_creation.rst,Configuring Automatic Topic Creation,en-us_image_0143929918.png,icon,pass,0.83,"The image is a location pin/marker icon, consistent with the RST description of a region selector in the upper left corner of the console. | It is used in step 2 of the procedure to navigate to the correct region before accessing the Kafka instance. | The icon is a small symbolic graphic (pictogram) representing a geographic location, fitting the 'icon' classification.","The image does not show the full UI context (upper left corner of a console), only the isolated icon. | No text label is visible on the icon to confirm it is specifically a region selector."
umn/source/configuring_topics/managing_topics/configuring_automatic_topic_creation.rst,Configuring Automatic Topic Creation,en-us_image_0000001283221910.png,icon,pass,1.00,"The image shows a toggle switch in the 'on' (enabled) state, directly representing the 'Automatic Topic Creation' toggle mentioned in step 5 of the procedure. | The RST states 'click |image2| or |image3| next to Automatic Topic Creation', and this image represents the enabled state of that toggle. | The toggle is a small UI symbol (interactive control), fitting the 'icon' classification. | The magenta/pink color indicates the active/enabled state, which is consistent with enabling automatic topic creation.","No surrounding UI context is visible (e.g., the label 'Automatic Topic Creation' next to the toggle). | The image does not show the full Parameters or Basic Information page where this toggle would appear."
