document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001862808485.png,figure,69,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001949896476.png,figure,20,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001980576777.png,figure,42,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001980456929.png,figure,52,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001980576785.png,figure,60,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001950565600.png,figure,70,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/dev-guide/source/java/setting_up_the_java_development_environment.rst,Setting Up the Java Development Environment,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/dev-guide/source/java/setting_up_the_java_development_environment.rst,Setting Up the Java Development Environment,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0171660980.png,figure,61,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
