document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/collecting_connection_information.rst,Collecting Connection Information,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/dev-guide/source/java/setting_up_the_java_development_environment.rst,Setting Up the Java Development Environment,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/configuring_topics/configuring_kafka_topic_permissions.rst,Configuring Kafka Topic Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/configuring_topics/creating_a_kafka_topic.rst,Creating a Kafka Topic,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/configuring_topics/managing_topics/configuring_automatic_topic_creation.rst,Configuring Automatic Topic Creation,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,51,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which directly corresponds to step 2's instruction to select the region.",
umn/source/configuring_topics/managing_topics/configuring_automatic_topic_creation.rst,Configuring Automatic Topic Creation,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001283221910.png,substitution_image,52,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays a magenta toggle switch in the 'on' position, matching the UI control for enabling Automatic Topic Creation described in step 5.",
umn/source/configuring_topics/managing_topics/configuring_automatic_topic_creation.rst,Configuring Automatic Topic Creation,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001191767177.png,substitution_image,53,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a gray toggle switch in the 'off' position, corresponding to the UI control for disabling Automatic Topic Creation mentioned in step 5.",
umn/source/configuring_topics/managing_topics/deleting_a_kafka_topic.rst,Deleting a Kafka Topic,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,111,icon,False,False,False,,1,2,2,2,3,0.62,partial,,200,completed,2,"The image displays a location pin icon, which aligns with the RST description of a region selector. | It is a UI element used in the initial step of the console workflow, not the core topic deletion action. | The icon is clearly visible and corresponds to the referenced |image1| directive.",The image does not show the actual topic deletion interface or command-line steps. | No textual labels or context are visible within the icon itself.
umn/source/configuring_topics/managing_topics/exporting_the_kafka_topic_list.rst,Exporting the Kafka Topic List,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0143929918.png,substitution_image,32,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image shows a location pin icon, which aligns with the instruction to select a region. | The icon is clearly visible and matches the textual description.",
umn/source/configuring_topics/managing_topics/exporting_the_kafka_topic_list.rst,Exporting the Kafka Topic List,/home/ubuntu/repotesting/distributed-message-service/umn/source/_static/images/en-us_image_0000001380403152.png,substitution_image,33,icon,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"The image displays an export icon (square with an outward arrow), matching the step to export the topic list. | The visual evidence directly supports the procedural instruction.",
umn/source/configuring_topics/managing_topics/modifying_kafka_topic_configurations.rst,Modifying Kafka Topic Configurations,,,,,,,,,,,,,,,fail,backend_error,,,2,,
umn/source/configuring_topics/managing_topics/modifying_kafka_topic_replicas.rst,Modifying Kafka Topic Replicas,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
umn/source/configuring_topics/managing_topics/reassigning_kafka_partitions.rst,Reassigning Kafka Partitions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/configuring_topics/managing_topics/viewing_kafka_topic_details.rst,Viewing Kafka Topic Details,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/connecting_to_an_instance/configuring_kafka_access_control/configuring_kafka_acl_users.rst,Configuring Kafka ACL Users,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
