document,title,image,image_type,result,score,reasons,missing_evidence
api-ref/source/api_calling/scenarios.rst,Scenarios,,,fail,,kein valides Bild,No model result was produced.
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/from_on-premises_mongodb_to_dds.rst,From On-Premises MongoDB to DDS,,,fail,,kein valides Bild,No model result was produced.
doc/best-practice/source/from_other_cloud_mongodb_to_dds.rst,From Other Cloud MongoDB to DDS,,,fail,,kein valides Bild,No model result was produced.
umn/source/backup_and_restore/setting_automated_backup_policy.rst,Setting Automated Backup Policy,en-us_image_0000001142893879.png,icon,pass,1.00,"The image shows a toggle switch in the off position (circle on left, gray track on right). | The RST references this as |image1| in step 4: 'If you want to enable the automated backup policy, click |image1|.' | A toggle in the off state is consistent with the action of enabling (turning on) the policy. | The icon is a standard UI toggle switch symbol, appropriate for this context.",No additional context needed; the icon clearly represents a toggle switch for enabling/disabling a policy.
umn/source/backup_and_restore/setting_automated_backup_policy.rst,Setting Automated Backup Policy,en-us_image_0000001096133892.png,icon,pass,1.00,"The image shows a circular refresh/reload arrow icon inside a square button frame. | The RST references this as |image2| in step 6: 'In the upper right corner of the backup list, click |image2| to refresh the list.' | A refresh icon is the standard symbol for reloading/refreshing a list or page. | The icon is consistent with the described action of refreshing the backup list to check status.",No additional context needed; the icon clearly represents a refresh action.
umn/source/backup_and_restore/setting_automated_backup_policy.rst,Setting Automated Backup Policy,en-us_image_0000001096453870.png,icon,pass,1.00,"The image shows a toggle switch in the on position (circle on right, blue/cyan track on left). | The RST references this as |image3| in the Disabling section, step 4: 'click |image3| to disable the automated backup policy.' | A toggle in the on state is consistent with the action of disabling (turning off) the policy. | The icon is a standard UI toggle switch symbol, appropriate for this context.",No additional context needed; the icon clearly represents a toggle switch for enabling/disabling a policy.
umn/source/connection_management/changing_a_security_group.rst,Changing a Security Group,en-us_image_0000001280327773.png,icon,pass,1.00,Pencil/edit icon matches the context of clicking to modify a security group | Used in the Network Information area on the Basic Information page as described in the RST | Icon is consistent with a UI edit/modify action for selecting a security group,No surrounding UI context visible; only the isolated icon is shown
umn/source/connection_management/changing_a_security_group.rst,Changing a Security Group,en-us_image_0000001236447314.png,icon,pass,1.00,Pencil/edit icon matches the context of clicking to change the security group in the Security Group area | Used on the Private Connection tab as described in the RST | Icon is consistent with a UI edit/modify action for selecting a security group,No surrounding UI context visible; only the isolated icon is shown
umn/source/connection_management/changing_a_security_group.rst,Changing a Security Group,en-us_image_0000001143053837.png,icon,pass,1.00,Green checkmark icon matches the context of submitting/confirming a security group change | Used as the confirm action in the procedure step | Icon is consistent with a UI accept/submit button,No surrounding UI context visible; only the isolated icon is shown
umn/source/connection_management/changing_a_security_group.rst,Changing a Security Group,en-us_image_0000001142773933.png,icon,pass,1.00,Red X icon matches the context of canceling a security group change | Used as the cancel action in the procedure step | Icon is consistent with a UI cancel/reject button,No surrounding UI context visible; only the isolated icon is shown
umn/source/connection_management/changing_the_database_port.rst,Changing the Database Port,en-us_image_0000001193610755.png,icon,pass,1.00,"Image shows a pencil/edit icon, matching the RST reference |image1| for clicking to edit the Database Port field in the Network Information area | The icon is consistent with a standard edit symbol used in cloud console UIs | Directly supports procedure step 3 of changing the database port",No surrounding UI context visible (just the isolated icon) | Cannot confirm the exact placement next to the Database Port field from the icon alone
umn/source/connection_management/changing_the_database_port.rst,Changing the Database Port,en-us_image_0000001143053853.png,icon,pass,1.00,"Image shows a pencil/edit icon, matching the RST reference |image2| for clicking to edit the Database Port field in the Basic Information area | The icon is consistent with a standard edit symbol used in cloud console UIs | Directly supports procedure step 4 of changing the database port",No surrounding UI context visible (just the isolated icon) | Cannot confirm the exact placement next to the Database Port field from the icon alone
umn/source/connection_management/changing_the_database_port.rst,Changing the Database Port,en-us_image_0000001096133910.png,icon,pass,1.00,"Image shows a green checkmark icon, matching the RST reference |image3| for submitting the port change | The checkmark is a standard confirmation/submit symbol in UI contexts | Directly supports the submit action in procedure step 4",No surrounding UI context visible (just the isolated icon) | Cannot confirm the exact button label or placement from the icon alone
umn/source/connection_management/changing_the_database_port.rst,Changing the Database Port,en-us_image_0000001096133912.png,icon,pass,1.00,"Image shows a red/pink X mark icon, matching the RST reference |image4| for canceling the port change | The X mark is a standard cancel/close symbol in UI contexts | Directly supports the cancel action in procedure step 4",No surrounding UI context visible (just the isolated icon) | Cannot confirm the exact button label or placement from the icon alone
umn/source/connection_management/enabling_or_disabling_ssl.rst,Enabling or Disabling SSL,en-us_image_0000001142893907.png,icon,pass,1.00,"Image shows a toggle switch in the off (gray) position, consistent with the SSL field being disabled before enabling. | Referenced as |image1| in the Enabling SSL section step 2, where the user clicks the toggle next to the SSL field. | The off-state toggle logically represents the current state before the user enables SSL.","No surrounding UI context (labels, page layout) is visible; only the isolated toggle symbol is shown."
umn/source/connection_management/enabling_or_disabling_ssl.rst,Enabling or Disabling SSL,en-us_image_0000001143133859.png,icon,pass,1.00,"Image shows a toggle switch in the off (gray) position, matching the SSL-disabled state before enabling. | Referenced as |image2| in the Enabling SSL section as the alternative path via the Connections navigation pane. | Consistent with the instruction to click the toggle next to the SSL field to enable SSL.","No surrounding UI context (labels, page layout) is visible; only the isolated toggle symbol is shown."
umn/source/connection_management/enabling_or_disabling_ssl.rst,Enabling or Disabling SSL,en-us_image_0000001142773959.png,icon,pass,1.00,"Image shows a toggle switch in the on (blue/cyan) position, consistent with SSL being currently enabled. | Referenced as |image3| in the Disabling SSL section step 2, where the user clicks the toggle to disable SSL. | The on-state toggle logically represents the current state before the user disables SSL.","No surrounding UI context (labels, page layout) is visible; only the isolated toggle symbol is shown."
umn/source/connection_management/enabling_or_disabling_ssl.rst,Enabling or Disabling SSL,en-us_image_0000001143053861.png,icon,pass,1.00,"Image shows a toggle switch in the on (blue/cyan) position, matching the SSL-enabled state before disabling. | Referenced as |image4| in the Disabling SSL section as the alternative path via the Connections navigation pane. | Consistent with the instruction to click the toggle next to the SSL field to disable SSL.","No surrounding UI context (labels, page layout) is visible; only the isolated toggle symbol is shown."
umn/source/faqs/database_connection/how_can_i_install_a_mongodb_client.rst,How Can I Install a MongoDB Client?,en-us_image_0000002529818314.png,screenshot,pass,1.00,"The image is a screenshot of the MongoDB download page showing platform and package options, matching the RST's Figure 1 reference. | It displays the 'RedHat / CentOS 8.0 x64' platform header and the 'Archive: mongodb-linux-x86_64-rhel80-4.2.25.tgz' entry highlighted with a red box, exactly as described in step 1b (version 4.2.25, tgz package). | The visible package names (server, mongos, utilities, mongo shell) are consistent with the MongoDB 4.2.25 release context stated in the document. | No visible interactive buttons; only text links and an annotation highlight box are present.","The full page URL or browser chrome is not visible, so the exact page context is inferred from the RST rather than the image alone."
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,en-us_image_0000001095974106.png,screenshot,pass,1.00,"Image shows the Robo 3T download page (robomongo.org/download) as referenced in step 1 | The 'Download Robo 3T' button is highlighted with a red box, matching the figure caption 'Downloading page' | Page displays Robo 3T 1.3 information and the download button as described in the RST",
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,en-us_image_0000001096133932.png,screenshot,pass,1.00,"Image shows the download dialog box with Windows/Mac/Linux tabs as described in step 2 | The specific file 'robo3t-1.3.1-windows-x86_64-7419c406.exe' is highlighted with a yellow box, matching the RST text exactly | Figure caption 'Downloading Robo 3T' aligns with the content shown",
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,en-us_image_0000001142893921.png,screenshot,pass,1.00,"Image shows the MongoDB Connections main window of Robo 3T, matching Figure 3 caption 'Main window' | The window displays connection management interface with Name, Address, Attributes, Auth, Database/User columns | This corresponds to step 4 'After the installation is complete, start the tool'",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_private_networks/connecting_to_a_cluster_instance_over_private_networks.rst,Connecting to a Cluster Instance Over Private Networks,en-us_image_0000001095974032.png,icon,pass,1.00,"The image is a small isolated download pictogram (downward arrow over a tray), matching the RST instruction to 'click |image1| next to the SSL field' to download the root certificate. | It is used in the SSL connection section, step 4, where the user downloads the SSL certificate, so it is semantically aligned with the connecting-to-a-cluster-instance topic. | The visual content (a download symbol) directly supports the described action of downloading the certificate from the Basic Information / Node Information area. | No contradiction between the icon and the surrounding text.","The image is a generic download icon without surrounding UI context, so the exact placement next to the SSL field cannot be visually confirmed."
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_private_networks/creating_a_cluster_instance.rst,Creating a Cluster Instance,en-us_image_0000001096453892.png,icon,partial,0.72,"The image is a small bar-chart-style icon (three vertical bars of decreasing height), consistent with a quota or usage indicator. | The RST references this image as a clickable element in the upper-right corner of the management console to access the Service Quota page. | The icon is semantically aligned with quota/monitoring functionality described in the Scenarios section. | No contradiction between the icon's appearance and its described purpose in the text.",The image does not show the surrounding UI context (upper-right corner of the console) to confirm placement. | No label or tooltip is visible on the icon to explicitly confirm it represents 'Service Quota'.
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_private_networks/overview.rst,Overview,en-us_image_0000001143053843.png,other,fail,0.00,Local color check detected #3298ff.,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,en-us_image_0000001095974050.png,screenshot,pass,1.00,"Shows the MongoDB Connections dialog in Robo 3T with an empty connection list | Matches Figure 1 caption 'Connections' in the RST | Displays Create, edit, remove, clone links and Connect/Cancel buttons as described | Corresponds to step 1 of the SSL Robo 3T connection procedure",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,en-us_image_0000001143133815.png,screenshot,pass,1.00,Shows the Connection Settings dialog on the Connection tab | Name field shows 'dds-cluster' and Address shows port 8635 | Matches Figure 2 caption 'Connection' in the RST | Corresponds to step 3a of the SSL Robo 3T procedure,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,en-us_image_0000001142773917.png,screenshot,pass,1.00,Shows the Authentication tab with Database set to 'admin' | User Name field shows 'rwuser' and Password is masked | Auth Mechanism is SCRAM-SHA-1 | Matches Figure 3 caption 'Authentication' in the RST,
