document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,processing_warning,image_reference_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_calling/scenarios.rst,Scenarios,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/api_calling/scenarios.rst,Scenarios,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001803204856.png,figure,11,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001803204868.jpg,figure,63,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0295762707.png,figure,19,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0180865321.png,figure,25,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001213229532.png,figure,34,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0232589882.png,figure,116,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0232605869.png,figure,186,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001198097583.png,figure,232,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001152137438.png,figure,276,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001199158158.png,figure,288,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001243756137.png,figure,321,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001213070166.png,figure,329,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001151977946.png,substitution_image,364,,,,,,,,,,,,fail,,,kein valides Bild,,,0,,
doc/best-practice/source/from_on-premises_mongodb_to_dds.rst,From On-Premises MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,,,0,,
