document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/api_calling/scenarios.rst,Scenarios,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/from_ecs-hosted_mongodb_to_dds.rst,From ECS-hosted MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/from_on-premises_mongodb_to_dds.rst,From On-Premises MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
doc/best-practice/source/from_other_cloud_mongodb_to_dds.rst,From Other Cloud MongoDB to DDS,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/backup_and_restore/setting_automated_backup_policy.rst,Setting Automated Backup Policy,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/connection_management/changing_a_security_group.rst,Changing a Security Group,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/connection_management/changing_the_database_port.rst,Changing the Database Port,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/connection_management/enabling_or_disabling_ssl.rst,Enabling or Disabling SSL,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/faqs/database_connection/how_can_i_install_a_mongodb_client.rst,How Can I Install a MongoDB Client?,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000002529818314.png,figure,26,screenshot,False,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,The image displays the MongoDB download page for the specified platform (RedHat/CentOS 8.0 x64). | It highlights the 'Archive' package with the exact filename mentioned in the text (mongodb-linux-x86_64-rhel80-4.2.25.tgz). | Directly illustrates step 1b of the installation procedure.,
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001095974106.png,figure,16,screenshot,True,False,True,"Interactive button 'Download Robo 3T' is green, not magenta or plain white.",3,3,3,3,3,1.00,fail,,200,completed,1,Image shows the Robo 3T download page as described in step 1.,
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001096133932.png,figure,24,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,Image shows the download dialog with the exact installer filename specified in step 2.,
umn/source/faqs/database_connection/how_do_i_install_robo_3t.rst,How Do I Install Robo 3T?,/home/ubuntu/repotesting/document-database-service/umn/source/_static/images/en-us_image_0000001142893921.png,figure,34,screenshot,True,False,False,,3,3,3,3,3,1.00,pass,,200,completed,1,"Image shows the main Robo 3T window with the MongoDB Connections dialog, matching the post-installation step.",
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_private_networks/connecting_to_a_cluster_instance_over_private_networks.rst,Connecting to a Cluster Instance Over Private Networks,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_private_networks/creating_a_cluster_instance.rst,Creating a Cluster Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_private_networks/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/connecting_to_a_cluster_instance_over_public_networks.rst,Connecting to a Cluster Instance Over Public Networks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/creating_a_cluster_instance.rst,Creating a Cluster Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_clusters/connecting_to_a_cluster_instance_over_public_networks/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_replica_sets/connecting_to_a_replica_set_instance_over_private_networks/connecting_to_a_replica_set_instance_over_private_networks.rst,Connecting to a Replica Set Instance Over Private Networks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_replica_sets/connecting_to_a_replica_set_instance_over_private_networks/creating_a_replica_set_instance.rst,Creating a Replica Set Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_replica_sets/connecting_to_a_replica_set_instance_over_private_networks/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_replica_sets/connecting_to_a_replica_set_instance_over_public_networks/connecting_to_a_replica_set_instance_over_public_networks.rst,Connecting to a Replica Set Instance Over Public Networks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_replica_sets/connecting_to_a_replica_set_instance_over_public_networks/creating_a_replica_set_instance.rst,Creating a Replica Set Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_replica_sets/connecting_to_a_replica_set_instance_over_public_networks/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_single_nodes/connecting_to_a_single-node_instance_over_private_networks/connecting_to_a_single_node_instance_over_private_networks.rst,Connecting to a Single Node Instance Over Private Networks,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_single_nodes/connecting_to_a_single-node_instance_over_private_networks/creating_a_single_node_instance.rst,Creating a Single Node Instance,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started_with_single_nodes/connecting_to_a_single-node_instance_over_private_networks/overview.rst,Overview,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
